PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"Aktivovat upozornění zprávou SMS",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"Výše vašeho kreditu Skype je",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Přidejte si číslo domů, aby vás přátelé mohli kontaktovat více způsoby",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Přidejte si mobilní číslo, aby vás přátelé mohli kontaktovat více způsoby",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Přidejte si číslo do práce, aby vás přátelé mohli kontaktovat více způsoby",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Zpět k poznámce pod čarou č. 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Zpět k poznámce pod čarou č. 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Zpět k poznámce pod čarou č. 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Zpět k poznámce pod čarou č. 4",,"Text",,"All",,"Commerce Server",,""
"Delete phone number: {NUMBER}",,"Odstranění telefonního čísla: {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"No, don't delete number {NUMBER}",,"Ne, číslo {NUMBER} zachovat",,"Text",,"All",,"Commerce Server",,""
"Yes, delete number {NUMBER}",,"Ano, odstranit číslo {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Cancel and return to account overview page",,"Zrušit a vrátit se na stránku s přehledem účtu",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,"Zrušit předplatné {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Obnovit nebo změnit heslo do sítě Facebook",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Obnovit nebo změnit heslo Microsoft",,"Text",,"All",,"Commerce Server",,""
"Change Skype password",,"Změnit heslo Skype",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Číslo, které se zobrazí při volání na telefony",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Ověřovací kód",,"Text",,"All",,"Commerce Server",,""
"Close pop-up",,"Zavřít automaticky otevřené okno",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Země/oblast",,"Text",,"All",,"Commerce Server",,""
"Country/region or Skype Name",,"Země/oblast nebo jméno Skype",,"Text",,"All",,"Commerce Server",,""
"Delete number {number}",,"Odstranit číslo {number}",,"Text",,"All",,"Commerce Server",,""
"Disable Caller id",,"Zakázat ID volajícího",,"Text",,"All",,"Commerce Server",,""
"Disable call forwarding",,"Zakázat přesměrování hovorů",,"Text",,"All",,"Commerce Server",,""
"Disable voice messages",,"Zakázat hlasové zprávy",,"Text",,"All",,"Commerce Server",,""
"Display billings and payments",,"Zobrazit fakturace a platby",,"Text",,"All",,"Commerce Server",,""
"Display settings and preferences",,"Zobrazit nastavení a předvolby",,"Text",,"All",,"Commerce Server",,""
"Display subscriptions.",,"Zobrazit předplatná.",,"Text",,"All",,"Commerce Server",,""
"Edit phone number",,"Upravit telefonní číslo",,"Text",,"All",,"Commerce Server",,""
"Learn more about using your Facebook account to sign in to Skype",,"Další informace o možnosti přihlášení do programu Skype pomocí účtu Facebook",,"Text",,"All",,"Commerce Server",,""
"Unlink your Facebook account ",,"Zrušit propojení s účtem sítě Facebook ",,"Text",,"All",,"Commerce Server",,""
"Find a new subscription",,"Najít nové předplatné",,"Text",,"All",,"Commerce Server",,""
"Footnote 1",,"Poznámka pod čarou č. 1",,"Text",,"All",,"Commerce Server",,""
"Footnote 2",,"Poznámka pod čarou č. 2",,"Text",,"All",,"Commerce Server",,""
"Footnote 3",,"Poznámka pod čarou č. 3",,"Text",,"All",,"Commerce Server",,""
"Footnote 4",,"Poznámka pod čarou č. 4",,"Text",,"All",,"Commerce Server",,""
"Get {PACKAGE_NAME} subscription",,"Pořiďte si předplatné {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Previous page",,"Předchozí stránka",,"Text",,"All",,"Commerce Server",,""
"Select country/region for your Skype Number",,"Vyberte zemi nebo oblast pro své číslo Skype",,"Text",,"All",,"Commerce Server",,""
"Select Your Skype Number",,"Vyberte si své číslo Skype",,"Text",,"All",,"Commerce Server",,""
"Hide billing and payments",,"Skrýt fakturace a platby",,"Text",,"All",,"Commerce Server",,""
"Hide settings and preferences",,"Skrýt nastavení a předvolby",,"Text",,"All",,"Commerce Server",,""
"Hide subscriptions.",,"Skrýt předplatná.",,"Text",,"All",,"Commerce Server",,""
"Link opens in {SPAN_START}iFrame{SPAN_END}.",,"Odkaz se otevře v prvku {SPAN_START}iFrame{SPAN_END}.",,"Text",,"All",,"Commerce Server",,""
"Change Caller ID number",,"Změna čísla ID volajícího",,"Text",,"All",,"Commerce Server",,""
"We'll display a number local to the place you're calling, if you have one.",,"Můžeme zobrazit číslo místně příslušné k lokalitě, ze které voláte, pokud jej máte.",,"Text",,"All",,"Commerce Server",,""
"Why you should complete your profile",,"Důvody k vyplnění profilu",,"Text",,"All",,"Commerce Server",,""
"over 50 countries/regions for {PLAN_NAME}.",,"více než 50 zemí/oblastí v rámci předplatného {PLAN_NAME}.",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minute left",,"zbývá {COUNT} minuta",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minutes left",,"zbývají {COUNT} minuty",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minutes left",,"zbývá {COUNT} minut",,"Text",,"All",,"Commerce Server",,""
"minute of Skype WiFi.",,"minuta v rámci produktu Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minutes of Skype WiFi.",,"minuty v rámci produktu Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minutes of Skype WiFi.",,"minut v rámci produktu Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minute to mobiles and landlines.",,"minuta na pevné linky a mobilní telefony.",,"Text",,"All",,"Commerce Server",,""
"minutes to mobiles and landlines.",,"minuty na pevné linky a mobilní telefony.",,"Text",,"All",,"Commerce Server",,""
"minutes to mobiles and landlines.",,"minut na pevné linky a mobilní telefony.",,"Text",,"All",,"Commerce Server",,""
"Learn more about using your Microsoft account to sign in to Skype",,"Další informace o možnosti přihlášení do programu Skype pomocí účtu Microsoft",,"Text",,"All",,"Commerce Server",,""
"Unlink your Microsoft account",,"Zrušit propojení s účtem Microsoft",,"Text",,"All",,"Commerce Server",,""
"Next page",,"Další stránka",,"Text",,"All",,"Commerce Server",,""
"You have",,"Máte:",,"Text",,"All",,"Commerce Server",,""
"You have no subscriptions",,"Nemáte žádná předplatná.",,"Text",,"All",,"Commerce Server",,""
"Page {NUMBER}",,"Stránka {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Page {NUMBER}. Selected",,"Stránka {NUMBER}. Vybrána",,"Text",,"All",,"Commerce Server",,""
"Feature is active.",,"Funkce je aktivní.",,"Text",,"All",,"Commerce Server",,""
"Feature is inactive.",,"Funkce je neaktivní.",,"Text",,"All",,"Commerce Server",,""
"Attention is needed.",,"Věnujte pozornost uvedeným informacím.",,"Text",,"All",,"Commerce Server",,""
"Phone number",,"Telefonní číslo",,"Text",,"All",,"Commerce Server",,""
