PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Category",,"Kategorie",,"None",,"All",,"InfoPath",,""
"Specify the category of this file.",,"Zadejte kategorii tohoto souboru.",,"None",,"All",,"InfoPath",,""
"Upload Data Connection File",,"Odeslat soubor datového připojení",,"None",,"All",,"InfoPath",,""
"Select File",,"Vybrat soubor",,"None",,"All",,"InfoPath",,""
"Browse to the data connection file you intend to upload.",,"Přejděte k souboru datového připojení, který chcete odeslat.",,"None",,"All",,"InfoPath",,""
"File name:",,"Název souboru:",,"None",,"All",,"InfoPath",,""
"Choose a file to upload",,"Zvolte soubor, který chcete odeslat.",,"None",,"All",,"InfoPath",,""
"Overwrite the file if it already exists",,"Přepsat soubor, pokud již existuje",,"None",,"All",,"InfoPath",,""
"u",,"u",,"None",,"All",,"InfoPath",,""
"Upload",,"Odeslat",,"None",,"All",,"InfoPath",,""
"Allow HTTP access to this file",,"Povolit webovým klientům přístup k tomuto souboru prostřednictvím protokolu HTTP",,"None",,"All",,"InfoPath",,""
"Web Accessibility",,"Webová přístupnost",,"None",,"All",,"InfoPath",,""
"Select whether clients such as Microsoft InfoPath can access this file over HTTP.",,"Vyberte, zda k tomuto souboru mohou prostřednictvím protokolu HTTP přistupovat klienti, například aplikace Microsoft InfoPath.",,"None",,"All",,"InfoPath",,""
"Activate to a Site Collection",,"Aktivovat v rámci kolekce webů",,"None",,"All",,"InfoPath",,""
"Deactivate from a Site Collection",,"Deaktivovat v rámci kolekce webů",,"None",,"All",,"InfoPath",,""
"Edit Data Connection File",,"Upravit soubor datového připojení",,"None",,"All",,"InfoPath",,""
"View Properties",,"Zobrazit vlastnosti",,"None",,"All",,"InfoPath",,""
"Configure InfoPath Forms Services",,"Konfigurovat službu InfoPath Forms Services",,"None",,"All",,"InfoPath",,""
"Manage Data Connection Files",,"Spravovat soubory datových připojení",,"None",,"All",,"InfoPath",,""
"Configure InfoPath Forms Services Web Service Proxy",,"Konfigurovat proxy server webové služby InfoPath Forms Services",,"None",,"All",,"InfoPath",,""
"Manage Form Templates",,"Spravovat šablony formulářů",,"None",,"All",,"InfoPath",,""
"Quiesce Form Template",,"Uvést šablonu formuláře do stavu nečinnosti",,"None",,"All",,"InfoPath",,""
"Remove Data Connection File",,"Odebrat soubor datového připojení",,"None",,"All",,"InfoPath",,""
"Remove",,"Odebrat",,"None",,"All",,"InfoPath",,""
"Upload Form Template",,"Odeslat šablonu formuláře",,"None",,"All",,"InfoPath",,""
"User Browser-enabled Form Templates",,"Šablony formulářů uživatelů s podporou prohlížeče",,"None",,"All",,"InfoPath",,""
"Allow users to browser-enable form templates",,"Povolit uživatelům nastavení podpory prohlížeče pro šablony formulářů",,"None",,"All",,"InfoPath",,""
"Render form templates that are browser-enabled by users",,"Vykreslovat šablony formulářů, pro které uživatelé nastavili podporu prohlížeče",,"None",,"All",,"InfoPath",,""
"Allow embedded SQL authentication",,"Povolit integrované ověřování SQL",,"None",,"All",,"InfoPath",,""
"Forms that connect to databases may embed SQL username and password in the connection string. The connection string can be read in cleartext in the UDC file associated with the solution, or in the solution manifest. Uncheck this box to block forms from using embedded SQL credentials.",,"Formuláře, které se připojují k databázím, mohou do připojovacího řetězce vkládat heslo a uživatelské jméno SQL. Připojovací řetězec lze přečíst jako nešifrovaný text v souboru UDC přidruženém k řešení nebo v manifestu řešení. Chcete-li zabránit, aby se u formulářů používala vložená pověření, zrušte zaškrtnutí tohoto políčka.",,"None",,"All",,"InfoPath",,""
"Embedded SQL Authentication",,"Integrované ověřování SQL",,"None",,"All",,"InfoPath",,""
"Allow cross-domain data access for user form templates that use connection settings in a data connection file",,"Povolit přístup k datům v jiné doméně pro uživatelské šablony formulářů požívající nastavení připojení ze souboru datového připojení",,"None",,"All",,"InfoPath",,""
"Form templates can contain data connections that access data from other domains. Select this check box to allow user form templates to access data from another domain.",,"Šablony formulářů mohou obsahovat datová připojení, která přistupují k datům v jiných doménách. Toto políčko zaškrtněte, chcete-li uživatelským šablonám formulářů povolit přístup k datům v jiné doméně.",,"None",,"All",,"InfoPath",,""
"Cross-Domain Access for User Form Templates",,"Přístup k jiným doménám pro uživatelské šablony formulářů",,"None",,"All",,"InfoPath",,""
"Allow user form templates to use authentication information contained in data connection files",,"Povolit uživatelským šablonám formulářů použití ověřovacích informací obsažených v souborech datových připojení",,"None",,"All",,"InfoPath",,""
"Data connection files can contain authentication information, such as an explicit username and password or a Microsoft Office Secure Store Application ID. Check this box to allow user form templates to use this authentication information.",,"Soubory datových připojení mohou obsahovat ověřovací informace, například explicitní uživatelské jméno a heslo nebo ID aplikace služby Zabezpečené úložiště přihlašovacích údajů Microsoft Office. Toto políčko zaškrtněte, chcete-li uživatelským šablonám formulářů povolit použití těchto ověřovacích informací.",,"None",,"All",,"InfoPath",,""
"Authentication to data sources (user form templates)",,"Ověřování zdrojů dat (uživatelské šablony formulářů)",,"None",,"All",,"InfoPath",,""
"Specify the maximum size of responses data connections are allowed to process.",,"Umožňuje zadat maximální velikost odpovědí, jejichž zpracování je pro datová připojení povoleno.",,"None",,"All",,"InfoPath",,""
"kilobytes",,"kB",,"None",,"All",,"InfoPath",,""
"This value must be a non-negative integer.",,"Tato hodnota musí být nezáporné celé číslo.",,"None",,"All",,"InfoPath",,""
"Data Connection Response Size",,"Velikost odpovědi datového připojení",,"None",,"All",,"InfoPath",,""
"Default data connection timeout:",,"Výchozí časový limit datového připojení:",,"None",,"All",,"InfoPath",,""
"This value must be a non-negative integer and less than or equal to the Maximum data connection timeout.",,"Tato hodnota musí být nezáporné celé číslo a musí být menší nebo rovna maximálnímu časovému limitu datového připojení.",,"None",,"All",,"InfoPath",,""
"Specify default and maximum timeouts for data connections from browser-enabled form. The connection timeout can be changed by code in the form template, but will never exceed the maximum timeout specified.",,"Umožňuje zadat výchozí a maximální časový limit pro datová připojení z formulářů s podporou prohlížeče. Časový limit připojení lze změnit kódem v šabloně formuláře, nikdy však nepřesáhne nastavený maximální časový limit.",,"None",,"All",,"InfoPath",,""
"Maximum data connection timeout:",,"Maximální časový limit datového připojení:",,"None",,"All",,"InfoPath",,""
"\r\n\t\t\tThis value must be a non-negative integer and greater than or equal to the Default data connection timeout.",,"\r\n\t\t\tTato hodnota musí být nezáporné celé číslo a musí být větší než nebo rovna výchozímu časovému limitu datového připojení.",,"None",,"All",,"InfoPath",,""
"milliseconds",,"ms",,"None",,"All",,"InfoPath",,""
"Data Connection Timeouts",,"Časové limity datových připojení",,"None",,"All",,"InfoPath",,""
"Require SSL for HTTP authentication to data sources",,"Pro ověřování HTTP ke zdrojům dat vyžadovat protokol SSL",,"None",,"All",,"InfoPath",,""
"If data connections in browser-enabled form templates require Basic Authentication or Digest Authentication, a password will be sent over the network. Check this box to require an SSL-encrypted connection for these authentication types.",,"Pokud datová připojení v šablonách formulářů s podporou prohlížeče vyžadují základní ověřování (Basic) nebo ověřování algoritmem Digest, heslo bude odesláno prostřednictvím sítě. Toto políčko zaškrtněte, pokud pro tyto typy ověřování vyžadujete připojení šifrované protokolem SSL.",,"None",,"All",,"InfoPath",,""
"HTTP data connections",,"Datová připojení HTTP",,"None",,"All",,"InfoPath",,""
"Number of actions per postback:",,"Počet akcí na jedno zpětné vystavení:",,"None",,"All",,"InfoPath",,""
