PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"en-us",,"cs-cz",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Menu > Microsoft Teams > Show All",,"Nabídka > Microsoft Teams > Zobrazit vše",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We just need you to sign in, and then we'll get you to your meeting.",,"Pokud se chcete dostat na schůzku, musíte se přihlásit.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Quit",,"Ukončit",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Restart",,"Restartovat",,"Text",,"All",,"Microsoft Teams for Mac",,""
"D'oh! Something went wrong...",,"Něco se pokazilo…",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Having trouble? Tell us about it.",,"Máte potíže? Řekněte nám o nich.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Get Latest",,"Získat nejnovější",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You’re using an unsupported version of Microsoft Teams",,"Používáte nepodporovanou verzi Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You've got the latest updates. Enjoy!",,"Máte nejnovější aktualizace. Ať se vám s nimi dobře pracuje!",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Looks like a few files are missing; re-install Microsoft Teams to try again.",,"Vypadá to, že několik souborů chybí. Přeinstalujte aplikaci Microsoft Teams a zkuste to znovu.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Couldn’t finish installing",,"Instalaci se nepodařilo dokončit",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hang tight! We’re getting you connected.",,"Vydržte! Připojujeme vás.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authentication failed",,"Ověření selhalo",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Modern authentication failed here, but you'll still be able to sign in. Your status code is {0}.",,"Moderní ověřování se nezdařilo, ale přesto se budete moct přihlásit. Váš stavový kód je {0}.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Sorry, we're having connection issues.",,"Bohužel se vyskytly potíže s připojením.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Go ahead and log in.",,"Přihlaste se.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Login to Microsoft Teams",,"Přihlásit se k Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
