PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Pracujeme na tom, abychom vám je co nejdříve zase zpřístupnili.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"Nemůžeme získat vaše aktivity.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,"Zvládněte snadno každou relevantní činnost, například zmínky, lajky a odpovědi.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Zde najdete oznámení.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"Teď zrovna nemůžeme aktualizovat vaše aktivity.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"vás přidal(a) do nedostupného kanálu.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"vás přidal(a) do nedostupného týmu.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"nedostupný kanál",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"nedostupný tým",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Přidat k oblíbeným položkám",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Follow channel",,"Sledovat kanál",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} added {1} to the conversation",,"{0} přidal(a) do konverzace uživatele {1}.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Address",,"Adresa",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1}",,"{0} a {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2}",,"{0}, {1} a {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} others",,"{0}, {1} a několik dalších ({2})",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older activities right now",,"Teď zrovna nemůžeme načíst vaše starší aktivity.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All channels",,"Všechny kanály",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Channels",,"Kanály",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your teams right now",,"Teď zrovna nemůžeme aktualizovat vaše týmy",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All teams",,"Všechny týmy",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Always, even if I'm active on desktop",,"Vždy, i když jsem na stolním počítači aktivní",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dev)",,"Microsoft Teams (Dev)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dogfood)",,"Microsoft Teams (Dogfood)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (TAP)",,"Microsoft Teams (TAP)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Bluetooth",,"Bluetooth",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Change audio output device",,"Změnit výstupní zvukové zařízení",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Device",,"Zařízení",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Headset",,"Sluchátko s mikrofonem",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Speaker",,"Reproduktor",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign in again with your current password.",,"Přihlaste se znovu pomocí aktuálního hesla.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams is now using modern authentication, a better, more secure way to sign in. Once you've signed in again, you won't need to re-enter credentials when you open any Office 365 application.",,"Aplikace Microsoft Teams nyní používá moderní ověřování, které umožňuje lepší, bezpečnější přihlášení. Až se znovu přihlásíte, nebudete při spuštění jakékoli aplikace sady Office 365 muset znovu zadávat přihlašovací údaje.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll get modern authentication, a single, better, and more secure sign in to all your Office 365 apps.",,"Získáte moderní ověřování, které umožňuje jednorázové, lepší a bezpečnější přihlášení do všech aplikací sady Office 365.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign back in to Microsoft Teams",,"Přihlaste se prosím znovu k aplikaci Microsoft Teams.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"({0} Guests)",,"({0} hostů)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"(1 Guest)",,"(1 host)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} (Guest)",,"{0} (host)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Back",,"Zpět",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sent a card",,"Odeslání karty",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hang up your current call before starting a new one.",,"Zavěste váš aktuální hovor před zahájením nového.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call busy",,"Obsazeno",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call canceled",,"Volání zrušeno",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call declined",,"Hovor byl odmítnut.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call dropped",,"Výpadek hovoru",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"hh\:mm\:ss",,"hh\:mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"mm\:ss",,"mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended",,"Hovor ukončen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended",,"Hovor skončil",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended {0}",,"Hovor ukončen: {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended {0}",,"Hovor skončil – {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call failed",,"Hovor selhal.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Missed",,"Zmeškaný hovor",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call missed",,"Zmeškaný hovor",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap to return to call",,"Klepnutím se vrátíte k volání",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call on hold",,"Přidržený hovor",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call",,"Zavolat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call started",,"Hovor zahájen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Calling",,"Volání",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're unable to search for people at the moment",,"Omlouváme se, ale nyní nelze vyhledávat uživatele",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Conversations",,"Konverzace",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Try @ mentioning the people you want to participate in this channel.",,"Zkuste zmínit (@) osoby, u nichž si přejete, aby se účastnily na tomto kanále.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Přidat k oblíbeným",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Remove from favorites",,"Odebrat z oblíbených",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this channel",,"Další možnosti pro tento kanál",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your channels right now",,"Teď zrovna nemůžeme aktualizovat vaše kanály.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load this channel right now.",,"Tento kanál teď nemůžeme načíst.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"channel",,"kanál",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversations right now",,"Teď zrovna nemůžeme aktualizovat vaše konverzace.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tabs",,"Karty",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Have private one-on-one and group conversations, and video calls.",,"Používejte soukromé osobní a skupinové konverzace a audiovizuální volání.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Start a private chat.",,"Zahajte soukromý chat.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're working on getting them back for you ASAP.",,"Pracujeme na tom, abychom je zprovoznili co nejdříve.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your chats",,"Nemůžeme načíst vaše chaty",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your chats right now",,"Teď zrovna nemůžeme aktualizovat vaše chaty.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your messages.",,"Nemůžeme získat vaše zprávy.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chat",,"Chat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older messages right now",,"Teď zrovna nemůžeme načíst vaše starší zprávy.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You",,"Vy",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversation right now",,"Teď zrovna nemůžeme aktualizovat vaši konverzaci.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to send:",,"Nelze odeslat:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sending:",,"Odesílání:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chats",,"Chaty",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're getting things ready...",,"Všechno se připravuje...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please give us a sec...",,"Dejte nám prosím chviličku...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We'll be done soon...",,"Brzy bude vše hotovo...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Almost there...",,"Už to skoro je...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"CLEAR LIST",,"VYMAZAT SEZNAM",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Files",,"Soubory",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Close",,"Zavřít",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hi! This feature is not quite finished and is coming soon.",,"Dobrý den! Tato funkce není ještě úplně hotová, ale brzy bude k dispozici.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"High importance",,"Vysoká důležitost",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Show picture picker",,"Zobrazovat výběr obrázku",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Send",,"Poslat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Type your message here",,"Sem napište svoji zprávu.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Open contact card",,"Otevřít kartu kontaktu",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this conversation",,"Další možnosti pro tuto konverzaci",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Control message",,"Řídicí zpráva",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we cannot access your content. Try again later.",,"K vašemu obsahu bohužel nemůžeme získat přístup. Zkuste to znovu později.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Reply",,"Odpovědět",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to start the chat.",,"Chat se nepodařilo zahájit.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"General",,"Obecné",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
