PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"©Microsoft Corp 2016.  All rights reserved.",,"©Microsoft Corp 2016. Všechna práva vyhrazena.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Switch the team the shift is assigned to",,"Přepnout tým, kterému je směna přiřazena",,"None",,"All",,"Microsoft Teams for iOS",,""
"Account",,"Účet",,"None",,"All",,"Microsoft Teams for iOS",,""
"Sorry, we failed to fetch the list of accruals.",,"Je nám líto, ale nepodařilo se načíst seznam časového rozlišení.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Sorry, you don't have permission to view accruals.",,"Je nám líto, ale nejste oprávněni zobrazit časové rozlišení.",,"None",,"All",,"Microsoft Teams for iOS",,""
"No accruals were found.",,"Žádná časová rozlišení nebyla nalezena.",,"None",,"All",,"Microsoft Teams for iOS",,""
"%.01f days",,"%.01f dny/dnů",,"None",,"All",,"Microsoft Teams for iOS",,""
"%.01f hours",,"%.01f hod.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Break",,"Přidat přestávku",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add New Time Clock Entry",,"Přidat novou položku hodiny",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add People",,"Přidat lidi",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add shift",,"Přidat směnu",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Shift",,"Přidat směnu",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Clock In/Out",,"Přidat čas příchodu a odchodu",,"None",,"All",,"Microsoft Teams for iOS",,""
"Your message is too long. Only the first %d characters will be sent.",,"Zpráva je příliš dlouhá. Odešle se pouze prvních %d znaků.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all entries",,"Odstraňování všech záznamů",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all time entries from %@ to %@",,"Odstraňování všech záznamů hodin od %@ do %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all time entries for %@",,"Odstraňování všech záznamů hodin pro %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break from %@ to %@",,"Odstraňování přestávky od %@ do %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break from %@ to %@ on %@",,"Odstraňování přestávky od %@ do %@ ze dne %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break for %@ on %@",,"Odstraňování přestávky od %@ dne %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Delete",,"Odstranit",,"None",,"All",,"Microsoft Teams for iOS",,""
"Delete Break",,"Odstranit přestávku",,"None",,"All",,"Microsoft Teams for iOS",,""
"You can enable access in privacy settings.",,"Přístup můžete povolit v nastavení ochrany osobních údajů.",,"None",,"All",,"Microsoft Teams for iOS",,""
"All Day",,"Celý den",,"None",,"All",,"Microsoft Teams for iOS",,""
"Already have one? Tap here",,"Již ho máte? Klepněte zde",,"None",,"All",,"Microsoft Teams for iOS",,""
" and %d more",,"a dalších %d",,"None",,"All",,"Microsoft Teams for iOS",,""
"+%d More",,"+%d další",,"None",,"All",,"Microsoft Teams for iOS",,""
"Announcements from your company will show up here",,"Oznámení od společnosti se zobrazí zde",,"None",,"All",,"Microsoft Teams for iOS",,""
"No News Yet!",,"Zatím žádné zprávy!",,"None",,"All",,"Microsoft Teams for iOS",,""
"(No Subject)",,"(bez předmětu)",,"None",,"All",,"Microsoft Teams for iOS",,""
"%1$@ of images are hidden to save data.",,"Některé obrázky jsou skryty (%1$@) kvůli úspoře přenesených dat.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Announcement",,"Oznámení",,"None",,"All",,"Microsoft Teams for iOS",,""
"Sent from Yammer",,"Odesláno z Yammeru",,"None",,"All",,"Microsoft Teams for iOS",,""
"Show images",,"Zobrazit obrázky",,"None",,"All",,"Microsoft Teams for iOS",,""
"Microsoft StaffHub. The freedom to manage work.",,"Microsoft StaffHub. Volnost při řízení práce.",,"None",,"All",,"Microsoft Teams for iOS",,""
