PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Outlook Desktop Integration",,"Outlook Desktop Integration",,"None",,"All",,"Outlook",,""
""Outlook Desktop Integration app enables sharing from Windows applications to Outlook. After installing, run any Windows application that supports sharing of content(for example, Microsoft Edge) and use the Share functionality and choose ""Outlook Desktop"" as the target. Your content will appear in a new email message."",,"Aplikace Outlook Desktop Integration umožňuje sdílení z aplikací systému Windows do Outlooku. Po instalaci spusťte libovolnou aplikaci systému Windows, která podporuje sdílení obsahu (například Microsoft Edge), a použijte funkci sdílení, přičemž jako cíl zvolte možnost Outlook Desktop. Váš obsah se zobrazí v nové e-mailové zprávě.",,"None",,"All",,"Outlook",,""
"Microsoft Office Outlook Desktop Integration",,"Microsoft Office Outlook Desktop Integration",,"None",,"All",,"Outlook",,""
"Microsoft Corporation",,"Microsoft Corporation",,"None",,"All",,"Outlook",,""
"We couldn't open Outlook",,"Nemůžeme otevřít Outlook",,"None",,"All",,"Outlook",,""
"Turning on sharing with Outlook . . .",,"Zapíná se sdílení s aplikací Outlook...",,"None",,"All",,"Outlook",,""
"Propert&ies...",,"Vlastnost&i...",,"None",,"All",,"Outlook",,""
"C&ut",,"Vyj&mout",,"None",,"All",,"Outlook",,""
"&Copy",,"&Kopírovat",,"None",,"All",,"Outlook",,""
"&Paste",,"Vl&ožit",,"None",,"All",,"Outlook",,""
"&Delete",,"Od&stranit",,"None",,"All",,"Outlook",,""
"Select &All",,"&Vybrat vše",,"None",,"All",,"Outlook",,""
"From",,"Od",,"None",,"All",,"Outlook",,""
"Select Names",,"Vybrat jména",,"None",,"All",,"Outlook",,""
"To",,"Komu",,"None",,"All",,"Outlook",,""
"Outlook Mobile Service Account",,"Účet služby Outlook Mobile Service",,"None",,"All",,"Outlook",,""
"Mobile Service Accounts",,"Účty služby Outlook Mobile Service",,"None",,"All",,"Outlook",,""
"You can add or remove an account. You can select an account, and then change its settings.",,"Můžete přidat nebo odebrat účet. Můžete vybrat účet a změnit jeho nastavení.",,"None",,"All",,"Outlook",,""
"Outlook Mobile Service Account Manager",,"Správce účtů služby Outlook Mobile Service",,"None",,"All",,"Outlook",,""
""Type the &name by which you want to refer to this account. For example: ""Work"" or ""Text Message Service"""",,"&Zadejte název, kterým chcete odkazovat na tento účet, například Pracovní nebo Služba textových zpráv.",,"None",,"All",,"Outlook",,""
"Account Settings",,"Nastavení účtu",,"None",,"All",,"Outlook",,""
"Complete each step to create and activate your text messaging account.",,"Provedením uvedených kroků vytvoříte a aktivujete svůj účet textových zpráv.",,"None",,"All",,"Outlook",,""
"Another dialog for mobile message account setting is running.\nClose the dialog, and then try again.",,"Je otevřeno jiné dialogové okno pro nastavení účtu služby mobilních zpráv.\nZavřete dialogové okno a opakujte akci.",,"None",,"All",,"Outlook",,""
"Step1: Sign up with a text messaging service provider",,"Krok 1: Přihlášení k poskytovateli služeb textových zpráv",,"None",,"All",,"Outlook",,""
"Text messages are sent through a third-party service that may charge you a fee that is separate from the charges from your mobile operator. You can review the terms and any associated charges before completing setup.",,"Textové zprávy jsou odesílány prostřednictvím služby jiné společnosti, která může účtovat zvláštní poplatek mimo poplatky účtované vaším mobilním operátorem. Před dokončením nastavení budete moci revidovat podmínky a všechny související poplatky.",,"None",,"All",,"Outlook",,""
"Step2: Fill in account information",,"Krok 2: Vyplnění informací o účtu",,"None",,"All",,"Outlook",,""
"Cannot get service information because of a problem connecting to the service.\nDo you want to use default settings (This account might not work)?",,"Informace o službě nelze získat, protože došlo k potížím s připojením ke službě.\nChcete použít výchozí nastavení (tento účet pak nemusí fungovat)?",,"None",,"All",,"Outlook",,""
"Audio file (*.mid;*.amr)",,"Zvukový soubor (*.mid;*.amr;*)",,"None",,"All",,"Outlook",,""
"Account Name",,"Název účtu",,"None",,"All",,"Outlook",,""
"Other User Information",,"Další informace o uživateli",,"None",,"All",,"Outlook",,""
"Service Information",,"Informace o službě",,"None",,"All",,"Outlook",,""
"Logon Information",,"Přihlašovací informace",,"None",,"All",,"Outlook",,""
"%1/%2: %3 Events(next %4 hrs)",,"%1/%2: Počet zvláštních událostí: %3 (počet dalších hodin: %4)",,"None",,"All",,"Outlook",,""
"%1/%2: %3 Event(next %4 hrs)",,"%1/%2: %3 zvláštní událost (počet dalších hodin: %4)",,"None",,"All",,"Outlook",,""
"%4-%5\r\n%1\r\n%3",,"%4-%5\r\n%1\r\n%3",,"None",,"All",,"Outlook",,""
"All day event\r\n%1\r\n%3",,"Celodenní zvláštní událost\r\n%1\r\n%3",,"None",,"All",,"Outlook",,""
"%1/%2 Calendar Summary: No meetings or appointments.",,"%1/%2 – souhrn kalendáře: Žádné schůzky ani události",,"None",,"All",,"Outlook",,""
"(No Location)",,"(Bez umístění)",,"None",,"All",,"Outlook",,""
"(No Subject)",,"(Bez předmětu)",,"None",,"All",,"Outlook",,""
"%1/%2 Calendar Summary",,"%1/%2 – souhrn kalendáře",,"None",,"All",,"Outlook",,""
"Calendar Summary",,"Souhrn kalendáře",,"None",,"All",,"Outlook",,""
"Querying for Outlook calendar events failed",,"Zadávání dotazů na zvláštní události kalendáře aplikace Outlook se nezdařilo.",,"None",,"All",,"Outlook",,""
"Sound:",,"Zvuk:",,"None",,"All",,"Outlook",,""
"&Duration:",,"&Doba trvání:",,"None",,"All",,"Outlook",,""
"Duration:",,"Doba trvání:",,"None",,"All",,"Outlook",,""
"%s - Multimedia Message",,"%s – Multimediální zpráva",,"None",,"All",,"Outlook",,""
"Message %i",,"Zpráva %i",,"None",,"All",,"Outlook",,""
"Preview",,"Náhled",,"None",,"All",,"Outlook",,""
"%s - Text Message",,"%s – Textová zpráva",,"None",,"All",,"Outlook",,""
"Slide mode",,"Snímkový režim",,"None",,"All",,"Outlook",,""
"Non-slide mode",,"Nesnímkový režim",,"None",,"All",,"Outlook",,""
"Message Template",,"Šablona zprávy",,"None",,"All",,"Outlook",,""
"Percentage of image area for mixed layouts",,"Procento oblasti obrázku pro smíšená rozložení",,"None",,"All",,"Outlook",,""
"Mobile Screen Resolution",,"Rozlišení obrazovky pro mobilní zprávy",,"None",,"All",,"Outlook",,""
"Ch&ange...",,"&Změnit...",,"None",,"All",,"Outlook",,""
"&Send a calendar summary to a mobile device",,"&Odesílat souhrn kalendáře do mobilního zařízení",,"None",,"All",,"Outlook",,""
"&Send reminders",,"&Odesílat připomenutí",,"None",,"All",,"Outlook",,""
"&Remember password",,"&Zapamatovat heslo",,"None",,"All",,"Outlook",,""
"Close the %s dialog box, and then try again.",,"Zavřete dialogové okno %s a opakujte akci.",,"None",,"All",,"Outlook",,""
"Account",,"Účet",,"None",,"All",,"Outlook",,""
"128 x 140=(128,140)",,"128 × 140=(128,140)",,"None",,"All",,"Outlook",,""
"128 x 128=(128,128)",,"128 × 128=(128,128)",,"None",,"All",,"Outlook",,""
"120 x 160=(120,160)",,"120 × 160=(120,160)",,"None",,"All",,"Outlook",,""
"120 x 140=(120,140)",,"120 × 140=(120,140)",,"None",,"All",,"Outlook",,""
"120 x 120=(120,120)",,"120 × 120=(120,120)",,"None",,"All",,"Outlook",,""
"96 x 128=(96,128)",,"96 × 128=(96,128)",,"None",,"All",,"Outlook",,""
"80 x 100=(80,100)",,"80 × 100=(80,100)",,"None",,"All",,"Outlook",,""
"65 x 96=(65,96)",,"65 × 96=(65,96)",,"None",,"All",,"Outlook",,""
"240 x 320=(240,320)",,"240 × 320=(240,320)",,"None",,"All",,"Outlook",,""
"220 x 176=(220,176)",,"220 × 176=(220,176)",,"None",,"All",,"Outlook",,""
"176 x 220=(176,220)",,"176 × 220=(176,220)",,"None",,"All",,"Outlook",,""
"160 x 128=(160,128)",,"160 × 128=(160,128)",,"None",,"All",,"Outlook",,""
"160 x 120=(160,120)",,"160 × 120=(160,120)",,"None",,"All",,"Outlook",,""
"140 x 128=(140,128)",,"140 × 128=(140,128)",,"None",,"All",,"Outlook",,""
"140 x 120=(140,120)",,"140 × 120=(140,120)",,"None",,"All",,"Outlook",,""
"128 x 160=(128,160)",,"128 × 160=(128,160)",,"None",,"All",,"Outlook",,""
"Custom size=(0,0)",,"Vlastní velikost=(0,0)",,"None",,"All",,"Outlook",,""
"320 x 240=(320,240)",,"320 × 240=(320,240)",,"None",,"All",,"Outlook",,""
"Outlook Mobile Service",,"Služba Outlook Mobile Service",,"None",,"All",,"Outlook",,""
"R&emove",,"Od&ebrat",,"None",,"All",,"Outlook",,""
"&Remove",,"&Odebrat",,"None",,"All",,"Outlook",,""
"Configure Service Options",,"Konfigurace možností služby",,"None",,"All",,"Outlook",,""
"Your organization does not allow you to use this service.",,"Vaše organizace vám neudělila oprávnění k používání této služby.",,"None",,"All",,"Outlook",,""
"This account name has been used. Enter a different name.",,"Tento název účtu se používá. Zadejte jiný název.",,"None",,"All",,"Outlook",,""
"Inserts the emoticon into the text message.",,"Vloží emotikonu do textové zprávy.",,"None",,"All",,"Outlook",,""
"Smile. Inserts the emoticon into the text message.",,"Úsměv. Vloží emotikonu do textové zprávy.",,"None",,"All",,"Outlook",,""
"Embarrassed . Inserts the emoticon into the text message.",,"Rozpaky. Vloží emotikonu do textové zprávy.",,"None",,"All",,"Outlook",,""
"Angry. Inserts the emoticon into the text message.",,"Rozčilení. Vloží emotikonu do textové zprávy.",,"None",,"All",,"Outlook",,""
"Don't tell anyone. Inserts the emoticon into the text message.",,"Nikomu to neříkej. Vloží emotikonu do textové zprávy.",,"None",,"All",,"Outlook",,""
