PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Propert&ies...",,"Vlastnost&i...",,"None",,"All",,"Outlook Group",,""
"C&ut",,"Vyj&mout",,"None",,"All",,"Outlook Group",,""
"&Copy",,"&Kopírovat",,"None",,"All",,"Outlook Group",,""
"&Paste",,"Vl&ožit",,"None",,"All",,"Outlook Group",,""
"&Delete",,"Od&stranit",,"None",,"All",,"Outlook Group",,""
"Select &All",,"&Vybrat vše",,"None",,"All",,"Outlook Group",,""
"From",,"Od",,"None",,"All",,"Outlook Group",,""
"Select Names",,"Vybrat jména",,"None",,"All",,"Outlook Group",,""
"To",,"Komu",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account",,"Účet služby Outlook Mobile Service",,"None",,"All",,"Outlook Group",,""
"Mobile Service Accounts",,"Účty služby Outlook Mobile Service",,"None",,"All",,"Outlook Group",,""
"You can add or remove an account. You can select an account, and then change its settings.",,"Můžete přidat nebo odebrat účet. Můžete vybrat účet a změnit jeho nastavení.",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account Manager",,"Správce účtů služby Outlook Mobile Service",,"None",,"All",,"Outlook Group",,""
""Type the &name by which you want to refer to this account. For example: ""Work"" or ""Text Message Service"""",,"&Zadejte název, kterým chcete odkazovat na tento účet, například Pracovní nebo Služba textových zpráv.",,"None",,"All",,"Outlook Group",,""
"Account Settings",,"Nastavení účtu",,"None",,"All",,"Outlook Group",,""
"Complete each step to create and activate your text messaging account.",,"Provedením uvedených kroků vytvoříte a aktivujete svůj účet textových zpráv.",,"None",,"All",,"Outlook Group",,""
"Another dialog for mobile message account setting is running.\nClose the dialog, and then try again.",,"Je otevřeno jiné dialogové okno pro nastavení účtu služby mobilních zpráv.\nZavřete dialogové okno a opakujte akci.",,"None",,"All",,"Outlook Group",,""
"Step1: Sign up with a text messaging service provider",,"Krok 1: Přihlášení k poskytovateli služeb textových zpráv",,"None",,"All",,"Outlook Group",,""
"Text messages are sent through a third-party service that may charge you a fee that is separate from the charges from your mobile operator. You can review the terms and any associated charges before completing setup.",,"Textové zprávy jsou odesílány prostřednictvím služby jiné společnosti, která může účtovat zvláštní poplatek mimo poplatky účtované vaším mobilním operátorem. Před dokončením nastavení budete moci revidovat podmínky a všechny související poplatky.",,"None",,"All",,"Outlook Group",,""
"Step2: Fill in account information",,"Krok 2: Vyplnění informací o účtu",,"None",,"All",,"Outlook Group",,""
"Cannot get service information because of a problem connecting to the service.\nDo you want to use default settings (This account might not work)?",,"Informace o službě nelze získat, protože došlo k potížím s připojením ke službě.\nChcete použít výchozí nastavení (tento účet pak nemusí fungovat)?",,"None",,"All",,"Outlook Group",,""
"Audio file (*.mid;*.amr)",,"Zvukový soubor (*.mid;*.amr;*)",,"None",,"All",,"Outlook Group",,""
"Account Name",,"Název účtu",,"None",,"All",,"Outlook Group",,""
"Other User Information",,"Další informace o uživateli",,"None",,"All",,"Outlook Group",,""
"Service Information",,"Informace o službě",,"None",,"All",,"Outlook Group",,""
"Logon Information",,"Přihlašovací informace",,"None",,"All",,"Outlook Group",,""
"%1/%2: %3 Events(next %4 hrs)",,"%1/%2: Počet zvláštních událostí: %3 (počet dalších hodin: %4)",,"None",,"All",,"Outlook Group",,""
