PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Alpine",,"Alpy",,"None",,"All",,"Publisher",,""
"Aqua",,"Voda",,"None",,"All",,"Publisher",,""
"Berry",,"Borůvka",,"None",,"All",,"Publisher",,""
"Black & Gray",,"Škála černé a šedé",,"None",,"All",,"Publisher",,""
"Brown",,"Škála hnědé",,"None",,"All",,"Publisher",,""
"Burgundy",,"Víno",,"None",,"All",,"Publisher",,""
"Cavern",,"Jeskyně",,"None",,"All",,"Publisher",,""
"Citrus",,"Citrusy",,"None",,"All",,"Publisher",,""
"Clay",,"Jíl",,"None",,"All",,"Publisher",,""
"Cranberry",,"Jeřabina",,"None",,"All",,"Publisher",,""
"Crocus",,"Krokus",,"None",,"All",,"Publisher",,""
"Desert",,"Poušť",,"None",,"All",,"Publisher",,""
"Field",,"Pole",,"None",,"All",,"Publisher",,""
"Fjord",,"Fjord",,"None",,"All",,"Publisher",,""
"Floral",,"Květiny",,"None",,"All",,"Publisher",,""
"Garnet",,"Granát",,"None",,"All",,"Publisher",,""
"Glacier",,"Ledovec",,"None",,"All",,"Publisher",,""
"Heather",,"Vřes",,"None",,"All",,"Publisher",,""
"Iris",,"Kosatec",,"None",,"All",,"Publisher",,""
"Island",,"Ostrov",,"None",,"All",,"Publisher",,""
"Ivy",,"Břečťan",,"None",,"All",,"Publisher",,""
"Lagoon",,"Laguna",,"None",,"All",,"Publisher",,""
"Lilac",,"Škála lila",,"None",,"All",,"Publisher",,""
"Mahogany",,"Mahagon",,"None",,"All",,"Publisher",,""
"Marine",,"Moře",,"None",,"All",,"Publisher",,""
"Maroon",,"Kaštanová",,"None",,"All",,"Publisher",,""
"Meadow",,"Louka",,"None",,"All",,"Publisher",,""
"Mist",,"Mlha",,"None",,"All",,"Publisher",,""
"Mistletoe",,"Jmelí",,"None",,"All",,"Publisher",,""
"Moss",,"Mech",,"None",,"All",,"Publisher",,""
"Mountain",,"Hory",,"None",,"All",,"Publisher",,""
"Mulberry",,"Moruše",,"None",,"All",,"Publisher",,""
"Navy",,"Námořník",,"None",,"All",,"Publisher",,""
"Nutmeg",,"Muškátový oříšek",,"None",,"All",,"Publisher",,""
"Olive",,"Oliva",,"None",,"All",,"Publisher",,""
"Orchid",,"Orchidej",,"None",,"All",,"Publisher",,""
"Parrot",,"Papoušek",,"None",,"All",,"Publisher",,""
"Pebbles",,"Kostky",,"None",,"All",,"Publisher",,""
"Prairie",,"Prérie",,"None",,"All",,"Publisher",,""
"Rain Forest",,"Deštný prales",,"None",,"All",,"Publisher",,""
"Monarch",,"Karkulka",,"None",,"All",,"Publisher",,""
"Redwood",,"Sekvoj",,"None",,"All",,"Publisher",,""
"Reef",,"Útes",,"None",,"All",,"Publisher",,""
"Sagebrush",,"Pelyněk",,"None",,"All",,"Publisher",,""
"Sapphire",,"Safír",,"None",,"All",,"Publisher",,""
"Shamrock",,"Jetel",,"None",,"All",,"Publisher",,""
"Sienna",,"Škála žlutohnědé",,"None",,"All",,"Publisher",,""
"Spice",,"Koření",,"None",,"All",,"Publisher",,""
"Sunrise",,"Východ slunce",,"None",,"All",,"Publisher",,""
"Sunset",,"Západ slunce",,"None",,"All",,"Publisher",,""
