PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"kontaktní údaje",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"profilový obrázek",,"None",,"All",,"Skype - Mac",,""
"About",,"O sobě",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Multiline Label",,"None",,"All",,"Skype - Mac",,""
"Label",,"Label",,"None",,"All",,"Skype - Mac",,""
"mood message",,"zpráva o náladě",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Seznamy",,"None",,"All",,"Skype - Mac",,""
"Location",,"Místo",,"None",,"All",,"Skype - Mac",,""
"Time",,"Čas",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Domovská stránka",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Pohlaví",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Datum narození",,"None",,"All",,"Skype - Mac",,""
"Language",,"Jazyk",,"None",,"All",,"Skype - Mac",,""
"Back",,"Zpět",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Přidat kontakt",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Zkopírovat",,"None",,"All",,"Skype - Mac",,""
"favorite",,"oblíbené",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Kontakty",,"None",,"All",,"Skype - Mac",,""
"Label",,"Popisek",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Item 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Jiné",,"None",,"All",,"Skype - Mac",,""
"Box",,"Box",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Item 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Certifikované Skypem",,"None",,"All",,"Skype - Mac",,""
"Home",,"Domů",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Mobil",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Item 1",,"None",,"All",,"Skype - Mac",,""
"Skype",,"Skype",,"None",,"All",,"Skype - Mac",,""
"Office",,"Kancelář",,"None",,"All",,"Skype - Mac",,""
"Window",,"Okno",,"None",,"All",,"Skype - Mac",,""
"Text Cell",,"Text Cell",,"None",,"All",,"Skype - Mac",,""
"Send Contacts",,"Poslat kontakty",,"None",,"All",,"Skype - Mac",,""
