PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,"Otevřít další nabídky",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Další nabídky",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Zrušit",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Tady se budou zobrazovat vaše nedávné hovory a zprávy.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Hledání",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Skrýt možnosti",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Zobrazit možnosti",,"None",,"All",,"Skype - iOS",,""
"Done",,"Hotovo",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Zkopírováno",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Kopírování",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Operace se nezdařila",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Připravuje se",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Uloženo",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Ukládání",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Prohledat Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"a %d dalších",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"Vybrané: %1$d z %2$d",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Skype verze",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© 2003–2017 Skype & Microsoft\nPatent čekající na schválení",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,"Název Skype, příslušné ochranné známky a loga a logo „S“ jsou ochranné známky společnosti Skype či souvisejících subjektů.\n\nUpozornění: Tato aplikace je chráněná autorským zákonem a mezinárodními úmluvami. Nepovolené kopírování nebo rozšiřování tohoto programu nebo jakékoli jeho části je trestné podle občanského a trestního práva a je postihováno maximálními zákonnými sazbami.",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Zásady ochrany osobních údajů",,"None",,"All",,"Skype - iOS",,""
"About",,"O aplikaci",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Podmínky použití",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Oznámení třetích stran",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Pro zobrazení kontaktů z adresáře potřebuje Skype přístup k aplikaci Kontakty. Pokud chcete přístup povolit, přejděte do nastavení a povolte aplikaci Kontakty.",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"Máte prázdný adresář.",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Načítají se kontakty z adresáře...",,"None",,"All",,"Skype - iOS",,""
"No results found for %@",,"Nenašly se žádné výsledky pro hledání „%@“.",,"None",,"All",,"Skype - iOS",,""
"Search address book",,"Hledat v adresáři",,"None",,"All",,"Skype - iOS",,""
"Address book",,"Adresář",,"None",,"All",,"Skype - iOS",,""
"Invite to Skype",,"Pozvat na Skype",,"None",,"All",,"Skype - iOS",,""
"To invite friends via email, set up your mail account in device settings first.",,"Chcete-li pozvat přátele prostřednictvím e-mailu, nejprve si nastavte svůj poštovní účet v zařízení.",,"None",,"All",,"Skype - iOS",,""
"No mail account found",,"Nebyl nalezen žádný poštovní účet",,"None",,"All",,"Skype - iOS",,""
"To invite friends via SMS, check your SIM card is inserted properly and try again.",,"Chcete-li pozvat přátele pomocí SMS, zkontrolujte, jestli je vaše SIM karta správně vložena a akci opakujte.",,"None",,"All",,"Skype - iOS",,""
"No SIM card found",,"SIM karta nenalezena",,"None",,"All",,"Skype - iOS",,""
"Standard SMS rates may apply",,"Můžou se účtovat standardní sazby za SMS zprávy.",,"None",,"All",,"Skype - iOS",,""
"Via email",,"E-mailem",,"None",,"All",,"Skype - iOS",,""
"Via home",,"Prostřednictvím čísla domů",,"None",,"All",,"Skype - iOS",,""
"Via mobile",,"Prostřednictvím čísla na mobil",,"None",,"All",,"Skype - iOS",,""
"Via office",,"Prostřednictvím čísla do práce",,"None",,"All",,"Skype - iOS",,""
"Via other",,"Prostřednictvím jiného čísla",,"None",,"All",,"Skype - iOS",,""
"Loading contacts…",,"Načítá se seznam kontaktů...",,"None",,"All",,"Skype - iOS",,""
"Signing in…",,"Probíhá přihlašování...",,"None",,"All",,"Skype - iOS",,""
"Updating…",,"Probíhá aktualizace...",,"None",,"All",,"Skype - iOS",,""
"Add to favorites",,"Přidat mezi oblíbené",,"None",,"All",,"Skype - iOS",,""
"Choose existing photo",,"Vybrat existující fotku",,"None",,"All",,"Skype - iOS",,""
"My account",,"Můj účet",,"None",,"All",,"Skype - iOS",,""
"Add new favorites via the menu on any contact.",,"Přidejte nové oblíbené pomocí nabídky jakéhokoli kontaktu.",,"None",,"All",,"Skype - iOS",,""
"Remove profile picture",,"Odebrat profilový obrázek",,"None",,"All",,"Skype - iOS",,""
"Remove from favorites",,"Odebrat z oblíbených",,"None",,"All",,"Skype - iOS",,""
"Sign out",,"Odhlásit se",,"None",,"All",,"Skype - iOS",,""
"Take photo",,"Vyfotit",,"None",,"All",,"Skype - iOS",,""
