PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Přehrát",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Otevřít vlastní odkaz",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Při zpracovávání vaší žádosti došlo k chybě.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Nezahájeno",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Opustit událost",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Záložka pravého panelu pro ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"Vysílání začne každým okamžikem.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Kliknutím přepnete rozevírací nabídku navigace.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"Probíhá",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Připojujeme vás k vysílání.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"Vysílání nebylo nalezeno.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Odhlásit se",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Pulse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Kliknutím přepnete pravý panel.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Titulky",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype pro firmy",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Povolte prosím v nastavení prohlížeče soubory cookie, abyste měli k dispozici všechny funkce.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"Připojujeme se ke streamu videonahrávky.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Připojit se",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Otevřít odkaz podpory",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Ukončeno",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Pozastavit",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Ochrana osobních údajů a soubory cookie",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Podpora",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Chyba :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Otázky a odpovědi&S",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Nainstalujte nebo povolte prosím Adobe Flash Player.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Vypnout titulky",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Získat Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Vybrané",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Došlo k neznámé chybě.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Řada schůzek",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Anonymní uživatel",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Záložka spodního panelu pro ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"Omlouváme se, ale nemáte oprávnění se zúčastnit této schůzky. Obraťte se prosím na organizátora schůzky.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Vysílání schůzky",,"None",,"All",,"Skype Cast Attendee 2015",,""
