PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Zrušit",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Vyberte aplikaci pro pravý panel.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Přidejte počáteční čas.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"Video z této schůzky je publikované v Office 365.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Kontrolujeme pár věcí. Během chvilky budeme vaše schůzky mít.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Nastavení stránky účastníka",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Přepis a překlad je povolen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"Počáteční čas je pozdější než koncový čas.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Poznámka: titulky nejsou momentálně u videa na celou obrazovku k dispozici",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Vytvořit outlookovou pozvánku",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Název videa",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"ke schůzce se můžou připojit jenom účastníci uvedení dole",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"Nepovedlo se načíst podrobnosti o schůzce.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Odstranit",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Obnovit tuto schůzku",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"Žádost o schůzku je prázdná.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Vytvořit videonahrávku ke stažení",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"BroadcastMeeting.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Zobrazit publikované video",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Umožňuje upravit podrobnosti schůzky.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"Tento měsíc nemáte žádné schůzky.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"Chcete odstranit tuto schůzku?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"Účastník je prázdný.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have permission to create meetings",,"Nemáte oprávnění k vytváření schůzek.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording was enabled",,"Videonahrávka byla povolená.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The support code couldn't be created.",,"Kód podpory se nepovedlo vytvořit.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No custom link",,"Žádný vlastní odkaz",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Done",,"Hotovo",,"None",,"All",,"Skype Cast Organizer 2016",,""
"are already in the event team",,"už jsou členy týmu událostí.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to content related to this meeting or provide contact links.",,"Poskytněte účastníkům přístup k obsahu, který souvisí s touto schůzkou, nebo jim nabídněte odkazy na kontakty.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The account information wasn't found.",,"Informace o účtu se nenašly.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty ETag",,"Prázdný ETag",,"None",,"All",,"Skype Cast Organizer 2016",,""
"One or more event team member' email addresses are empty",,"E-mailová adresa minimálně jednoho člena týmu události je prázdná.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"We have exciting news--our production environment is ready for new broadcasts! ",,"Máme skvělou zprávu – naše provozní prostředí je připravené na nová vysílání! ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Reports",,"Sestavy",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Couldn't find:",,"Nepovedlo se najít:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Access",,"Přístup",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Right panel app",,"Aplikace na pravém panelu",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Not started",,"Nezahájeno",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Getting the link to the meeting recording...",,"Získává se odkaz na záznam ze schůzky...",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You can customize the attendee page to include audience participation apps and add supporting links.",,"Stránku účastníků si můžete přizpůsobit – můžete přidat aplikace umožňující účastníkům aktivně se účastnit a taky odkazy na technickou podporu.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting name is too long. Please shorten it.",,"Název schůzky je moc dlouhý. Zkraťte ho prosím.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"email or alias of each event team member",,"e-mail nebo alias každého člena týmu události",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",,"Led,Úno,Bře,Dub,Kvě,Čen,Čec,Srp,Zář,Říj,Lis,Pro",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Pulse ID",,"Pulse ID",,"None",,"All",,"Skype Cast Organizer 2016",,""
"appears below the video player.",,"zobrazí se pod přehrávačem videa.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Media distribution",,"Distribuce média",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting resource couldn't be retrieved.",,"Prostředek pro schůzku nešlo načíst.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The transcription couldn't be retrieved.  Please verify that someone was speaking and unmuted during the broadcast.",,"Přepis se nepodařilo získat. Ověřte si, že během vysílání někdo mluvil a nebyl ztlumený zvuk.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Translate the broadcast into:",,"Přeložit vysílání do:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This will still be the place to access recordings and reports for meetings scheduled in the past, ",,"Na tomto místě budete mít dál přístup k nahrávkám a zprávám o schůzkách naplánovaných v minulosti, ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Invalid email or alias",,"Neplatná e-mailová adresa nebo alias",,"None",,"All",,"Skype Cast Organizer 2016",,""
"the ID for your Pulse event.",,"ID pro vaši událost Pulse.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting can't be found.",,"Schůzku nejde najít.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to support and troubleshooting information for your company.",,"Poskytněte účastníkům přístup k informacím podpory a řešení problémů pro vaši společnost.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No attendees invited",,"Nejsou pozvaní žádní účastníci.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Link text",,"Text odkazu",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Your company policy doesn't allow you to use Skype Meeting Broadcast. Check with your system admin to make sure the service is enabled and that you have the correct license.",,"Zásady vaší společnosti vám nepovolují používat službu Skype Meeting Broadcast. Požádejte správce systému, aby zkontroloval, že je služba povolená a že máte správnou licenci.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a meeting name.",,"Přidejte název schůzky.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: if you can't access the new location, check with your system admin to make sure the service is enabled and that you have the correct license.",,"Poznámka: Pokud nemáte přístup k novému umístění, ověřte u správce systému, jestli je služba povolená a jestli máte správnou licenci.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The video title is too long, it needs to be 256 characters or less.",,"Název videa je moc dlouhý. Může mít maximálně 256 znaků.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Update",,"Aktualizovat",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Live",,"Živě",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Troubleshooting link",,"Odkaz na řešení problémů",,"None",,"All",,"Skype Cast Organizer 2016",,""
"A downloadable recording of the meeting is being created. Check back soon.",,"Vytváří se stáhnutelná nahrávka schůzky. Brzo se sem vraťte.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording is not enabled",,"Videonahrávka není povolená.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"All Company (requires sign-in)",,"Všechny společnosti (vyžaduje přihlášení)",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty join url",,"Prázdná adresa URL pro připojení",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Post-meeting summary",,"Souhrn po schůzce",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Members",,"Členové",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Invitation only (requires sign-in)",,"Pouze na pozvání (vyžaduje přihlášení)",,"None",,"All",,"Skype Cast Organizer 2016",,""
"person or group",,"osoba nebo skupina",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee can't be added. Please check the email address or alias.",,"Účastníka nejde přidat. Zkontrolujte prosím e-mailovou adresu nebo alias.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The Q&A couldn't be created.",,"Otázky a odpovědi se nepovedlo vytvořit.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Show",,"Zobrazit",,"None",,"All",,"Skype Cast Organizer 2016",,""
"All content associated with this meeting including the attendee report, Q&A history, and recording will be deleted. Are you sure you want to continue?",,"Odstraní se veškerý obsah spojený s touto schůzkou, včetně sestavy účastníků, historie otázek a odpovědí a nahrávek. Určitě chcete pokračovat?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Visit <a href='https://login.engage.ms' target='_blank' rel='noopener noreferrer'>Microsoft Pulse</a> site to create, manage and access Pulse polls.",,"Navštivte stránku <a href='https://login.engage.ms' target='_blank' rel='noopener noreferrer'>Microsoft Pulse</a> a vytvářejte, spravujte a prohlížejte hlasování Pulse.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Software-Defined Network is enabled",,"Síť SDN je povolena",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Event team",,"Tým události",,"None",,"All",,"Skype Cast Organizer 2016",,""
"is already in the event team",,"už je členem týmu událostí.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"MeetingReport.csv",,"MeetingReport.csv",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Make video on demand available after the meeting",,"Po skončení schůzky zpřístupnit video na vyžádání",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Something happened while looking up the account information.",,"Při vyhledávání informací o účtu došlo k chybě.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"There was an error signing in. Please sign out and try again.",,"Při přihlašování došlo k chybě. Odhlaste se prosím a zkuste to znovu.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The organizer is already part of the event team",,"Organizátor už je součástí týmu událostí.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Start Date",,"Datum začátku",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Your Yammer group should be public or have the same security access as your meeting.",,"Vaše skupina Yammeru by měla být veřejná nebo mít stejné zabezpečení přístupu jako vaše schůzka.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Tell us how we're doing!",,"Sdělte nám svůj názor na naši práci.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Sun,Mon,Tue,Wed,Thu,Fri,Sat",,"Ne,Po,Út,St,Čt,Pá,So",,"None",,"All",,"Skype Cast Organizer 2016",,""
