PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Privacy Policy",,"Zásady ochrany osobních údajů",,"None",,"All",,"Skype Manager",,""
"Terms of Use",,"Podmínky použití",,"None",,"All",,"Skype Manager",,""
""Skype and/or Microsoft. The Skype name, associated trademarks and logos and the ""S"" logo are trademarks of Skype or related entities."",,"Skype a/nebo Microsoft. Název Skype, související ochranné známky a loga a logo „S“ jsou ochranné známky společnosti Skype nebo souvisejících subjektů.",,"None",,"All",,"Skype Manager",,""
"Accept invitation",,"Přijmout pozvání",,"None",,"All",,"Skype Manager",,""
"{0} invited you to join {1} on Skype Manager.",,"{0} vás pozval(a), abyste se připojili k účtu {1} ve Skype Manageru.",,"None",,"All",,"Skype Manager",,""
"You’ll need to sign in with your Microsoft account or create a new one.",,"Budete se muset přihlásit svým účtem Microsoft nebo si vytvořit nový.",,"None",,"All",,"Skype Manager",,""
"Invitation to join Skype Manager",,"Pozvání k připojení ke Skype Manageru",,"None",,"All",,"Skype Manager",,""
"Use the following link to accept the invitation.",,"Kliknutím na následující odkaz přijmete pozvánku.",,"None",,"All",,"Skype Manager",,""
"By joining Skype Manager {0} will be able to allocate you Skype Credit or subscriptions  to call phones and send text messages around the world.",,"Když se připojíte ke Skype Manageru, {0} vám bude moct přidělit předplatná nebo kredit Skype pro volání na telefonní čísla a posílání textových zpráv po celém světě.",,"None",,"All",,"Skype Manager",,""
"Call landlines and mobiles",,"Volejte na pevné linky a na mobilní telefony",,"None",,"All",,"Skype Manager",,""
"Why join Skype Manager?",,"Proč se připojit ke Skype Manageru?",,"None",,"All",,"Skype Manager",,""
"Get a virtual phone number",,"Získat virtuální telefonní číslo",,"None",,"All",,"Skype Manager",,""
"Send SMS",,"Poslat SMS",,"None",,"All",,"Skype Manager",,""
"Auto-recharge failed on {FAILURE_DATE} as your credit card has expired. Re-enable Auto-recharge with another credit card, PayPal or Skrill.",,"Automatické dobití dne {FAILURE_DATE} selhalo, protože vám vypršela platnost platební karty. Povolte automatické dobíjení znovu s jinou platební kartou, případně přes PayPal nebo Skrill.",,"None",,"All",,"Skype Manager",,""
"We are unable to Auto-recharge your Skype Credit balance as you have reached your monthly purchase limit using payment methods such as credit cards and PayPal. Auto-recharge has not been cancelled and will resume at the beginning of the next calendar month. You can top up your balance using alternative purchase methods.",,"Nemůžeme vám automaticky dobít kredit Skype, protože jste dosáhli svého měsíčního nákupního limitu prostřednictvím způsobů platby, jako jsou platební karty a PayPal. Automatické dobíjení nebylo zrušeno a bude pokračovat na začátku příštího kalendářního měsíce. Zůstatek si můžete navýšit pomocí alternativních způsobů platby.",,"None",,"All",,"Skype Manager",,""
"For your protection we limit the number of purchases you can make within a short period of time. We’ll go ahead and recharge your account once the hold is released.",,"Za účelem vaší ochrany jsme omezili počet nákupů, které můžete provést během krátkého časového období. Částku z vašeho účtu zkusíme znovu strhnout po uvolnění kreditu.",,"None",,"All",,"Skype Manager",,""
"Your group name must consist of more than just identical letters",,"Název vaší skupiny nemůže obsahovat pouze stejná písmena.",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Název skupiny je příliš dlouhý (max. délka je 40 znaků).",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Název vaší skupiny nemůže obsahovat pouze čísla.",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Název skupiny je příliš krátký (min. délka jsou 2 znaky).",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"Vzhledem k nedávným změnám daňových požadavků Saúdské Arábie bude Skype od 1. ledna 2018 při nákupu placených produktů Skype zahrnovat pro saúdské zákazníky daň z přidané hodnoty (DPH).",,"None",,"All",,"Skype Manager",,""
"Incoming Skype calls to {NAME}, who has left your Skype Manager, are still being forwarded to the SIP Profile “{SIP_PROFILE}”. These calls will continue to be forwarded until you reconfigure the SIP Profile.",,"Příchozí skypové hovory směrované na účastníka {NAME}, který opustil váš Skype Manager, se stále přesměrovávají do profilu SIP {SIP_PROFILE}. Tyto hovory se budou dál přesměrovávat, dokud profil SIP nepřekonfigurujete.",,"None",,"All",,"Skype Manager",,""
"{NAME}, who is receiving live chats, has left your Skype Manager. They will continue to receive these chats until you configure a new live chat button and update your website.",,"Uživatel {NAME}, který dostává živé chaty, opustil váš Skype Manager. Dokud nenakonfigurujete nové tlačítko živého chatu a neaktualizujete si web, bude tento uživatel tyto chaty dál dostávat.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"Vzhledem k nedávným změnám daňových požadavků ve Spojených arabských emirátech bude Skype od 1. ledna 2018 při nákupu placených produktů Skype zahrnovat pro zákazníky ve Spojených arabských emirátech daň z přidané hodnoty (DPH).",,"None",,"All",,"Skype Manager",,""
"Allocated to",,"Přiděleno",,"None",,"All",,"Skype Manager",,""
"Amount",,"Částka",,"None",,"All",,"Skype Manager",,""
"Group",,"Skupina",,"None",,"All",,"Skype Manager",,""
"Destination",,"Destinace",,"None",,"All",,"Skype Manager",,""
"Email",,"E-mail",,"None",,"All",,"Skype Manager",,""
"Skype Name",,"Skypové jméno",,"None",,"All",,"Skype Manager",,""
"Member",,"Člen",,"None",,"All",,"Skype Manager",,""
"Outbound call",,"Odchozí hovor",,"None",,"All",,"Skype Manager",,""
"Conference",,"Konference",,"None",,"All",,"Skype Manager",,""
"Call Forwarded",,"Hovor přesměrován",,"None",,"All",,"Skype Manager",,""
"Skype To Go call",,"Hovor Skype To Go",,"None",,"All",,"Skype Manager",,""
"Transferred",,"Převedeno",,"None",,"All",,"Skype Manager",,""
"Unknown",,"Neznámý",,"None",,"All",,"Skype Manager",,""
"(forwarded: {FORWARDED_TO})",,"(přesměrováno: {FORWARDED_TO})",,"None",,"All",,"Skype Manager",,""
"From: {CALLER_NUMBER} {LINE_BREAK}To: {CALLED_NUMBER}",,"Volající: {CALLER_NUMBER} {LINE_BREAK}Příjemce: {CALLED_NUMBER}",,"None",,"All",,"Skype Manager",,""
"Inbound call to Skype Number",,"Příchozí hovor na číslo Skype",,"None",,"All",,"Skype Manager",,""
"Inbound call to SIP Profile",,"Příchozí hovor na profil SIP",,"None",,"All",,"Skype Manager",,""
"Forwarded Inbound call",,"Přesměrovaný příchozí hovor",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"Číslo Skype bude k dispozici za několik minut.",,"None",,"All",,"Skype Manager",,""
"Channel subscription will be available in a few minutes.",,"Předplatné kanálů bude k dispozici za několik minut.",,"None",,"All",,"Skype Manager",,""
"Skype Premium will be available soon.",,"Předplatné Premium bude již brzy k dispozici.",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"Předplatné bude k dispozici za několik minut.",,"None",,"All",,"Skype Manager",,""
"Voice messaging will be available in a few minutes.",,"Hlasová schránka bude k dispozici za několik minut.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Méně než předchozí měsíc",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Více než předchozí měsíc",,"None",,"All",,"Skype Manager",,""
"Accept",,"Přijmout",,"None",,"All",,"Skype Manager",,""
"Activate / change",,"Aktivovat / změnit",,"None",,"All",,"Skype Manager",,""
"Add",,"Přidat",,"None",,"All",,"Skype Manager",,""
"Add new subscription",,"Přidat nové předplatné",,"None",,"All",,"Skype Manager",,""
"I want to access the reports",,"Chci zobrazit přehledy",,"None",,"All",,"Skype Manager",,""
"Agree",,"Souhlasím",,"None",,"All",,"Skype Manager",,""
"Allocate / change subscriptions",,"Přidělit / změnit předplatné",,"None",,"All",,"Skype Manager",,""
"Allocate a Skype Number",,"Přidělit číslo Skype",,"None",,"All",,"Skype Manager",,""
"Allocate group video calling",,"Přidělit skupinové videohovory",,"None",,"All",,"Skype Manager",,""
"Allocate Skype Premium",,"Přidělit předplatné Premium",,"None",,"All",,"Skype Manager",,""
"Allocate subscriptions",,"Přidělit předplatné",,"None",,"All",,"Skype Manager",,""
"Buy now and make changes",,"Koupit a provést změny",,"None",,"All",,"Skype Manager",,""
"Buy credit",,"Koupit kredit",,"None",,"All",,"Skype Manager",,""
"Buy more credit",,"Koupit další kredit",,"None",,"All",,"Skype Manager",,""
"Buy a Skype Number",,"Koupit číslo Skype",,"None",,"All",,"Skype Manager",,""
"Buy now and reactivate profile",,"Profil můžete znovu aktivovat zakoupením předplatného",,"None",,"All",,"Skype Manager",,""
"I’ve changed my mind",,"Změnil(a) jsem názor.",,"None",,"All",,"Skype Manager",,""
"Cancel",,"Zrušit",,"None",,"All",,"Skype Manager",,""
