PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add channel",,"Přidat kanál",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Add member",,"Přidat člena",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio",,"Zvuk",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Audio, echo, noise...",,"Žádný zvuk, ozvěna, hluk...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Speech wasn\'t natural or sounded distorted",,"Hlas nezněl přirozeně nebo byl zkreslený",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The call ended unexpectedly",,"Hovor se nečekaně ukončil",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard an echo in the call  ",,"V hovoru byla slyšet ozvěna",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"We kept interrupting each other",,"Stále jsme se navzájem přerušovali",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not invite someone into the call​",,"Nebylo možné někoho přizvat k hovoru",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Volume was low",,"Byla nízká hlasitost",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t hear any sound",,"Nebyl slyšet žádný zvuk",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t hear any sound ",,"Druhá strana neslyšela žádný zvuk",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard noise in the call",,"Během hovoru bylo slyšet rušení",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"People had trouble joining the call​",,"Lidé měli potíže s připojením k hovoru",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Feedback",,"Váš názor na kvalitu hovoru",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Rating",,"Hodnocení hovoru",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d star",,"%1$d hvězdička",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rating Star",,"Hodnocení hvězdičkami",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d stars",,"%1$d hvězdičky",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group collapsed",,"Skupina %1$s, sbalená",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group expanded",,"Skupina %1$s, rozbalená",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s selected for feedback",,"%1$s vybráno pro zpětnou vazbu",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s not selected for feedback",,"%1$s nevybráno pro zpětnou vazbu",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Presentation",,"Prezentace",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
