PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Oops page showing due to debug flag",,"Stránka o chybě se zobrazuje kvůli ladění",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"D'oh! Something went wrong...",,"Jejda, něco se pokazilo…",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your app has been successfully updated to version {0} on {1}.",,"Vaše aplikace byla úspěšně aktualizována na verzi {0} na {1}.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App Updated",,"Aplikace aktualizována",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Could not connect to Account Provider. Please check your connection and try again.",,"Nelze se připojit k poskytovateli účtu. Zkontrolujte prosím své připojení a zkuste to znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Unexpected user credentials. Please try to log in again.",,"Neočekávané přihlašovací údaje. Zkuste se přihlásit znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The token received is not valid. Please try again later.",,"Přijatý token není platný. Zkuste to znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an app state issue. Please try again.",,"Ověření stavu nemohlo být dokončeno kvůli chybě stavu v aplikaci. Zkuste to znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication Error",,"Chyba ověření",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Received an expired authentication token. Please try to log in again.",,"Byl přijat neplatný ověřovací token. Zkuste se přihlásit znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Intended authentication failure due to user setting.",,"Ověřování se nezdařilo z důvodu uživatelského nastavení.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App is missing important authentication settings. Please make sure to use the latest version.",,"Aplikaci chybí důležité nastavení ověření. Ujistěte se, že používáte nejnovější verzi.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The Account Provider encountered an error while authenticating.",,"U poskytovatele účtu došlo k problému s ověřováním.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your connection is not reliable enough to authenticate. Please check your connection including any VPNs and try again.",,"Vaše připojení není pro ověření dostatečně spolehlivé. Zkontrolujte připojení včetně všech virtuálních privátních sítí a zkuste to znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Requested a silent authentication token, but prompt is required. Please try to log in again.",,"Došlo k vyžádání tokenu tichého ověření, ale je zapotřebí zobrazit výzvu. Zkuste se přihlásit znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an issue while the app was resuming. Please try again.",,"Ověření stavu nemohlo být dokončeno kvůli chybě při opětovném načítání aplikace. Zkuste to znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication request was canceled. Please try to log in again.",,"Požadavek ověřování byl zrušen. Zkuste se přihlásit znovu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Web Account Manager failed to authenticate.",,"Správce webových účtu se nepodařilo ověřit.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication was blocked by Windows Information Protection policy. For more information, contact your system administrator.",,"Ověření bylo zablokováno zásadami Windows Information Protection. Více informací získáte od svého správce systému.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications being displayed only when the call is active (focused).",,"Činnosti na pozadí musí přijímat upozornění o hovorech a rychlých zprávách. Odmítnutí této žádosti způsobí, že budou oznámení zobrazována, jen pokud je aktivní hovor.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications not being displayed when the device is low on battery.",,"Činnosti na pozadí musí přijímat upozornění o hovorech a rychlých zprávách. Odmítnutí této žádosti způsobí, že oznámení nebudou zobrazována, pokud bude mít zařízení nízký stav baterie.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"For the best experience, please allow Microsoft Teams to run as a background app. Click here to toggle this setting on.",,"Služba bude nejlépe fungovat, pokud povolíte aplikaci Microsoft Teams běžet na pozadí. Klikněte sem a upravte nastavení.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We need your help.",,"Potřebujeme vaši pomoc.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We're running into some issues running in the background. Click here to restart the app.",,"Zjistili jsme problémy, které běží na pozadí. Kliknutím sem restartujte aplikaci.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We ran into a problem.",,"Narazili jsme na problém.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub for Dev",,"Microsoft Teams pro Surface Hub pro developery",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub V2 for Dev",,"Microsoft Teams pro Surface Hub druhé verze pro developery",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub (Dev)",,"Microsoft Teams pro Surface Hub (pro developery)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub V2 (Dev)",,"Microsoft Teams pro Surface Hub druhé verze (pro developery)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Devspaces",,"Microsoft Teams pro Devspaces",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams (Devspaces)",,"Microsoft Teams (Devspaces)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Windows 10 S (Alpha)",,"Microsoft Teams pro Windows 10 S (alfa)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub (Dogfood)",,"Microsoft Teams pro Surface Hub (Dogfood)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub V2 (Dogfood)",,"Microsoft Teams pro Surface Hub druhé verze (Dogfood)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Internal",,"Microsoft Teams pro interní",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams (Internal)",,"Microsoft Teams (interní)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
