PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
""Accessibility label describing how many mutual friends the contact has with the current user. {Locked=""{count}""}"",,""Popisek pro přístupnost popisující, kolik vzájemných přátel má kontakt s aktuálním uživatelem. {Locked=""{count}""}"",,"None",,"All",,"Skype Web App",,""
"An accessibility label for the invisible container which contains a history of the notifications announced by the screen reader (like 'Message sent.')",,"Popisek přístupnosti pro neviditelný kontejner, který obsahuje historii oznámení přečtených čtečkou obrazovky (například oznámení o poslání zprávy)",,"None",,"All",,"Skype Web App",,""
"Accept",,"Přijmout",,"None",,"All",,"Skype Web App",,""
"Accept the call",,"Přijmout hovor",,"None",,"All",,"Skype Web App",,""
"Click to {swiftAction}",,"Kliknutím provedete akci {swiftAction}",,"None",,"All",,"Skype Web App",,""
"Add to favorites",,"Přidat do oblíbených",,"None",,"All",,"Skype Web App",,""
"Send",,"Odeslat",,"None",,"All",,"Skype Web App",,""
"Delete conversation",,"Odstranit konverzaci",,"None",,"All",,"Skype Web App",,""
"Leave conversation",,"Odejít z konverzace",,"None",,"All",,"Skype Web App",,""
"Mark as read",,"Označit jako přečtené",,"None",,"All",,"Skype Web App",,""
"Mark as unread",,"Označit jako nepřečtené",,"None",,"All",,"Skype Web App",,""
"Remove from favorites",,"Odebrat z oblíbených",,"None",,"All",,"Skype Web App",,""
"Turn notifications off",,"Vypnout oznámení",,"None",,"All",,"Skype Web App",,""
"Turn notifications on",,"Zapnout oznámení",,"None",,"All",,"Skype Web App",,""
"Add to new group",,"Přidat do nové skupiny",,"None",,"All",,"Skype Web App",,""
"Currently unable to chat.",,"Nyní nelze zahájit chat.",,"None",,"All",,"Skype Web App",,""
"Type to chat...",,"Psaním zahájíte chat…",,"None",,"All",,"Skype Web App",,""
"Avatar of {title}",,"Avatar uživatele {title}",,"None",,"All",,"Skype Web App",,""
"Block",,"Zablokovat",,"None",,"All",,"Skype Web App",,""
"Delete",,"Odstranit",,"None",,"All",,"Skype Web App",,""
"Leave",,"Opustit",,"None",,"All",,"Skype Web App",,""
"Yes",,"Ano",,"None",,"All",,"Skype Web App",,""
"Remove",,"Odebrat",,"None",,"All",,"Skype Web App",,""
"Bot ID",,"ID robota",,"None",,"All",,"Skype Web App",,""
"Button image",,"Obrázek tlačítka",,"None",,"All",,"Skype Web App",,""
"Button label",,"Popisek tlačítka",,"None",,"All",,"Skype Web App",,""
"Button style",,"Styl tlačítka",,"None",,"All",,"Skype Web App",,""
"Code",,"Kód",,"None",,"All",,"Skype Web App",,""
"Colors",,"Barvy",,"None",,"All",,"Skype Web App",,""
"Copy",,"Kopírovat",,"None",,"All",,"Skype Web App",,""
"Dark",,"Tmavý",,"None",,"All",,"Skype Web App",,""
"Light",,"Světlý",,"None",,"All",,"Skype Web App",,""
"Message",,"Zpráva",,"None",,"All",,"Skype Web App",,""
"Theme",,"Motiv",,"None",,"All",,"Skype Web App",,""
"Add",,"Přidat",,"None",,"All",,"Skype Web App",,""
"Back to {section}",,"Zpět do části {section}",,"None",,"All",,"Skype Web App",,""
"Call back",,"Zavolat zpět",,"None",,"All",,"Skype Web App",,""
"Create",,"Vytvořit",,"None",,"All",,"Skype Web App",,""
"Join",,"Připojit se",,"None",,"All",,"Skype Web App",,""
"The person you're trying to call may not be available",,"Člověk, kterému se pokoušíte volat, nemusí být k dispozici.",,"None",,"All",,"Skype Web App",,""
"Accept with audio",,"Přijmout se zvukem",,"None",,"All",,"Skype Web App",,""
"Accept with video",,"Přijmout s videem",,"None",,"All",,"Skype Web App",,""
"Dock",,"Ukotvit",,"None",,"All",,"Skype Web App",,""
"Fullscreen",,"Celá obrazovka",,"None",,"All",,"Skype Web App",,""
"Reject",,"Odmítnout",,"None",,"All",,"Skype Web App",,""
"Settings",,"Nastavení",,"None",,"All",,"Skype Web App",,""
"Start audio call",,"Zahájit audiohovor",,"None",,"All",,"Skype Web App",,""
"Start video call",,"Zahájit videohovor",,"None",,"All",,"Skype Web App",,""
"Toggle chat",,"Zobrazit/skrýt chat",,"None",,"All",,"Skype Web App",,""
"Your browser does not support calling. Use Microsoft Edge or Google Chrome for the best experience.",,"Váš prohlížeč nepodporuje volání. Pro co nejlepší zážitky použijte prohlížeč Microsoft Edge nebo Google Chrome.",,"None",,"All",,"Skype Web App",,""
"Close",,"Zavřít",,"None",,"All",,"Skype Web App",,""
"How would you rate the quality of this call?",,"Jak byste ohodnotili kvalitu tohoto hovoru?",,"None",,"All",,"Skype Web App",,""
"CALLING...",,"VOLÁNÍ…",,"None",,"All",,"Skype Web App",,""
"INCOMING CALL",,"PŘÍCHOZÍ HOVOR",,"None",,"All",,"Skype Web App",,""
"CALL ON HOLD...",,"PŘIDRŽENÝ HOVOR…",,"None",,"All",,"Skype Web App",,""
"{initiator} is recording the call",,"{initiator} hovor nahrává.",,"None",,"All",,"Skype Web App",,""
"Cameras",,"Kamery",,"None",,"All",,"Skype Web App",,""
"Devices",,"Zařízení",,"None",,"All",,"Skype Web App",,""
"Microphones",,"Mikrofony",,"None",,"All",,"Skype Web App",,""
"Speakers",,"Reproduktory",,"None",,"All",,"Skype Web App",,""
"Unknown device ({id})",,"Neznámé zařízení ({id})",,"None",,"All",,"Skype Web App",,""
"To make this call, the camera and microphone needs to be connected with granted permission",,"Aby bylo možné uskutečnit tento hovor, musíte připojit kameru a mikrofon a udělit příslušná oprávnění.",,"None",,"All",,"Skype Web App",,""
"Conversation is blocked",,"Konverzace je blokována.",,"None",,"All",,"Skype Web App",,""
"There are {count} participants in conversation",,"Počet účastníků v konverzaci: {count}",,"None",,"All",,"Skype Web App",,""
"Dismiss",,"Zavřít",,"None",,"All",,"Skype Web App",,""
"Clear",,"Vymazat",,"None",,"All",,"Skype Web App",,""
"Click here",,"Klikněte sem",,"None",,"All",,"Skype Web App",,""
"{0}Click here{1} to switch accounts",,"{0}Kliknutím sem{1} přepnete účty",,"None",,"All",,"Skype Web App",,""
"Click here to switch accounts",,"Kliknutím sem přepnete účty",,"None",,"All",,"Skype Web App",,""
"Close the chat",,"Zavřít chat",,"None",,"All",,"Skype Web App",,""
"Block this contact?",,"Blokovat tento kontakt?",,"None",,"All",,"Skype Web App",,""
"Report abuse from this person",,"Nahlásit obtěžování od tohoto uživatele",,"None",,"All",,"Skype Web App",,""
"Select a reason",,"Vyberte důvod.",,"None",,"All",,"Skype Web App",,""
"Delete chat",,"Odstranit chat",,"None",,"All",,"Skype Web App",,""
"Are you sure you want to delete this chat?",,"Opravdu chcete odstranit tento chat?",,"None",,"All",,"Skype Web App",,""
"Remove message",,"Odstranit zprávu",,"None",,"All",,"Skype Web App",,""
"Are you sure you want to remove this message?",,"Opravdu chcete odebrat tuto zprávu?",,"None",,"All",,"Skype Web App",,""
"Edit message",,"Upravit zprávu",,"None",,"All",,"Skype Web App",,""
"Leave chat",,"Opustit chat",,"None",,"All",,"Skype Web App",,""
"Are you sure you want to leave this chat?",,"Určitě chcete opustit tento chat?",,"None",,"All",,"Skype Web App",,""
"Child exploitation",,"Zneužívání dětí",,"None",,"All",,"Skype Web App",,""
"Harassment or threats",,"Obtěžování nebo vyhrožování",,"None",,"All",,"Skype Web App",,""
"Contains nudity or pornography",,"Obsahuje nahotu nebo pornografii",,"None",,"All",,"Skype Web App",,""
