PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Launching Skype for Business Client",,"Spouští se klient Skypu pro firmy",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please check with your event organizer if this continues to happen.",,"Nepovedlo se nám připojit k události. Může to být jenom dočasný problém. Pokud bude trvat dál, zeptejte se organizátora události.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to manage the event",,"pro správu události",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join Meeting",,"Připojit se ke schůzce",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the event isn’t valid. Please check with your event organizer.",,"Odkaz, který používáte pro připojení k události, není platný. Zeptejte se prosím organizátora události.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invalid Name or Email address",,"Neplatné jméno nebo e-mailová adresa",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join The Meeting",,"Připojit se ke schůzce",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Microsoft Corporation. All rights reserved.",,"Microsoft Corporation. Všechna práva vyhrazena.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble helping you join as Event team member.",,"Máme potíže připojit vás jako člena týmu události.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble activating broadcast meeting.",,"Máme potíže s aktivací vysílání schůzky.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join the event",,"Připojit se k události",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Open the event dashboard",,"Otevřít řídicí panel události",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"if you don't have Skype for Business installed",,"pokud nemáte nainstalovaný Skype pro firmy",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"English",,"Čeština",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting as event team member. Please request access from the meeting organizer or sign in using a different account.",,"Je nám líto, ale nemáte oprávnění k připojení se ke schůzce jako člen týmu události. Požádejte prosím o přístup organizátora schůzky nebo se přihlaste pomocí jiného účtu.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Have you successfully launched the app? Feel free to close this page.",,"Povedlo se vám aplikaci úspěšně spustit? Teď můžete tuto stránku klidně zavřít.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"You're about to join the meeting ${meetingName} as a guest",,"Chystáte se připojit ke schůzce ${meetingName} jako host.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event due to network issues. Please try again later.",,"Nepovedlo se nám připojit vás k události kvůli problémům se sítí. Zkuste to prosím znova později.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please try it again.",,"Nepovedlo se nám připojit vás k události. Může to být jenom dočasný problém. Zkuste to prosím znova.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Privacy and Cookies",,"Ochrana osobních údajů a soubory cookie",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Launching ...",,"Spouštění...",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The operating system or browser that you are using to join the meeting is not supported.",,"Operační systém nebo prohlížeč, přes které se připojujete ke schůzce, se nepodporují.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Let's go!",,"Pojďme na to",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. The meeting may have ended. Please check with your event organizer.",,"Nepovedlo se nám připojit vás k události. Schůzka už možná skončila. Zeptejte se prosím organizátora schůzky.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble launching Skype For Business.",,"Máme potíže se spuštěním Skypu pro firmy.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The meeting you are trying to join has expired. Please check with the meeting organizer.",,"Platnost schůzky, ke které se pokoušíte připojit, vypršela. Kontaktujte prosím organizátora schůzky.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype for Business",,"Skype pro firmy",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The meeting you are trying to join can’t be found. Please check with the meeting organizer.",,"Schůzku, ke které se snažíte připojit, se nepovedlo najít. Obraťte se prosím na organizátora schůzky.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to see what your audience is seeing",,"abyste viděli, co vidí vaše publikum",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Video on demand was disabled for this meeting.",,"Video na vyžádání je pro tuto schůzku zakázané.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Install Skype for Business and enjoy one-click join from your phone!",,"Nainstalujte si Skype pro firmy a získejte výhodu v podobě možnosti připojení z telefonu jediným kliknutím.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Your session has expired. Please refresh the initial join web page.",,"Platnost vaší relace vypršela. Aktualizujte prosím webovou stránku prvotního připojení.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting. Please request access from the meeting organizer or sign in using a different account.",,"Je nám líto, ale nemáte oprávnění k připojení se ke schůzce. Požádejte prosím o přístup organizátora schůzky nebo se přihlaste pomocí jiného účtu.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invitation from:",,"Pozvánka od:",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype Meeting Broadcast",,"Skype Meeting Broadcast",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The event you are trying to join can’t be found. Please check with the event organizer.",,"Událost, ke které se chcete připojit, nejde najít. Zeptejte se prosím organizátora události.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype Meeting Broadcast Join",,"Připojit se ke Skype Meeting Broadcastu",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Supported Platforms",,"Podporované platformy",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Can't Launch App on this device.",,"Na tomto zařízení nejde aplikaci spustit.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sign in as event team member",,"Přihlásit se jako člen týmu události",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Something went wrong trying to join this event. Please try again later.",,"Při pokusu o připojení se k této události se něco nepovedlo. Zkuste to prosím znova později.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the meeting isn’t valid. Please check with your meeting organizer.",,"Odkaz, který používáte k připojení ke schůzce, není platný. Obraťte se prosím na organizátora schůzky.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Help",,"Nápověda",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"You're about to join the meeting ${meetingName} as a member of the event team",,"Chystáte se připojit ke schůzce ${meetingName} jako člen týmu události.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
