PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"o produktu",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"O součástech třetích stran",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"Výsledků je moc. Zkuste hledání zúžit.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"Nemůžeme se připojit k serveru. Zkuste to prosím znovu později.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"Žádné výsledky",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Chcete-li hledat v podnikovém adresáři, je třeba se přihlásit.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Hledám v podnikovém adresáři...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Přijmout",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Důležité",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Citlivé",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Nepřečtená zpráva",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Vyberte stav",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Swipe down to dismiss",,"Zavřete potáhnutím prstu dolů.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on Bluetooth",,"zapnout Bluetooth",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on speaker",,"zapnout reproduktor",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"urgent interuptions only",,"jen naléhavé zprávy",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a call",,"telefonuje",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a conference call",,"v konferenčním hovoru",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a meeting",,"na schůzce",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"inactive",,"neaktivní",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"off work",,"mimo kancelář",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out of office",,"mimo kanc.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out to lunch",,"na obědě",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"presenting",,"prezentace",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Add Contact",,"Přidat kontakt",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ADD TO GROUP",,"PŘIDAT DO SKUPINY",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"You've been admitted. We're calling you now...",,"Organizátor schůzky vás pozval dál. Už vám voláme...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"All Groups",,"Všechny skupiny",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Manage data use",,"Spravovat využití dat",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymously join meetings options ",,"Možnosti anonymního připojování ke schůzkám ",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymous",,"Anonymní",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"CONNECTING...",,"PŘIPOJOVÁNÍ...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"updating...",,"aktualizace...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Application",,"Aplikace",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anyone can use this app to join a Skype Meeting, but to enjoy all the features, you need a Skype for Business account and your organization must have enabled this app.",,"Každý se může pomocí této aplikace připojit ke schůzce přes Skype. Abyste ale mohli využívat všechny funkce, budete potřebovat účet Skypu pro firmy a vaše organizace musí mít tuto aplikaci povolenou.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Apply Settings",,"Použít nastavení",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ATTENDEES",,"ÚČASTNÍCI",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
