PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"In Progress",,"Probíhá zpracování",,"None",,"All",,"Skype for Business for iOS",,""
"No thanks, continue to calendar",,"Ne, děkuji, pokračovat do kalendáře",,"None",,"All",,"Skype for Business for iOS",,""
"Get Outlook for iOS",,"Získat Outlook pro iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Outlook for iOS",,"Outlook pro iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Use Outlook to access all your Skype Meetings with just a tap",,"Mějte ke všem svým skypovým schůzkám přístup jediným klepnutím z Outlooku.",,"None",,"All",,"Skype for Business for iOS",,""
"days",,"dnů",,"None",,"All",,"Skype for Business for iOS",,""
"day",,"den",,"None",,"All",,"Skype for Business for iOS",,""
"hours",,"hod.",,"None",,"All",,"Skype for Business for iOS",,""
"hour",,"hod.",,"None",,"All",,"Skype for Business for iOS",,""
"minutes",,"min.",,"None",,"All",,"Skype for Business for iOS",,""
"minute",,"min.",,"None",,"All",,"Skype for Business for iOS",,""
"seconds",,"s",,"None",,"All",,"Skype for Business for iOS",,""
"second",,"s",,"None",,"All",,"Skype for Business for iOS",,""
"d",,"d",,"None",,"All",,"Skype for Business for iOS",,""
"h",,"h",,"None",,"All",,"Skype for Business for iOS",,""
"min",,"min",,"None",,"All",,"Skype for Business for iOS",,""
"s",,"s",,"None",,"All",,"Skype for Business for iOS",,""
"Call Ended",,"Hovor skončil.",,"None",,"All",,"Skype for Business for iOS",,""
"Cancel",,"Zrušit",,"None",,"All",,"Skype for Business for iOS",,""
"Add participants",,"Přidat účastníky",,"None",,"All",,"Skype for Business for iOS",,""
"Your conversations will appear here",,"Vaše konverzace se zobrazí tady.",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to %@",,"Pošlete pozdrav uživateli %@.",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to the group",,"Pošlete pozdrav skupině.",,"None",,"All",,"Skype for Business for iOS",,""
"Type a message here",,"Sem zadejte zprávu.",,"None",,"All",,"Skype for Business for iOS",,""
"Chat is available in Teams",,"Chat je k dispozici v aplikaci Teams.",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and %d others are typing...",,"%@, %@ a %d dalších uživatelů píše...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is typing...",,"%@ píše...",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and one other are typing...",,"%@, %@ a jeden další píší...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ and %@ are typing...",,"%@ a %@ píší...",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't send this message: %@",,"Nepovedlo se nám poslat tuto zprávu: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Conference ended",,"Konference skončila",,"None",,"All",,"Skype for Business for iOS",,""
"Participants",,"Účastníci",,"None",,"All",,"Skype for Business for iOS",,""
"Show Contact Profile",,"Zobrazit profil kontaktu",,"None",,"All",,"Skype for Business for iOS",,""
"Send message",,"Poslat zprávu",,"None",,"All",,"Skype for Business for iOS",,""
"Incoming",,"Příchozí",,"None",,"All",,"Skype for Business for iOS",,""
"Outgoing",,"Odchozí",,"None",,"All",,"Skype for Business for iOS",,""
"Add contact",,"Přidat kontakt",,"None",,"All",,"Skype for Business for iOS",,""
"Manage contact",,"Spravovat kontakt",,"None",,"All",,"Skype for Business for iOS",,""
