PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Video problem",,"Problémy s videem",,"None",,"All",,"Skype for Surface RT",,""
"Video problem. Send audio/video from your last call plus logs.",,"Problémy s videem. Odešlou se protokoly a zvuk/video z vašeho posledního hovoru.",,"None",,"All",,"Skype for Surface RT",,""
"I accept the terms and conditions",,"Souhlasím s podmínkami a ujednáními",,"None",,"All",,"Skype for Surface RT",,""
"{0} - Press enter or space for call controls",,"{0} – Stisknutím klávesy Enter nebo Mezerník zobrazíte ovládací prvky pro volání.",,"None",,"All",,"Skype for Surface RT",,""
"Call",,"Hovor",,"None",,"All",,"Skype for Surface RT",,""
"Add all invitees",,"Přidat všechny pozvané",,"None",,"All",,"Skype for Surface RT",,""
"All Invitees",,"Všichni pozvaní",,"None",,"All",,"Skype for Surface RT",,""
"Add",,"Přidat",,"None",,"All",,"Skype for Surface RT",,""
"People",,"Lidé",,"None",,"All",,"Skype for Surface RT",,""
"Find someone or dial a number",,"Najděte někoho nebo vytočte číslo.",,"None",,"All",,"Skype for Surface RT",,""
"Add online participants",,"Přidat online účastníky",,"None",,"All",,"Skype for Surface RT",,""
"Admit all",,"Povolit přístup všem",,"None",,"All",,"Skype for Surface RT",,""
"Admit",,"Povolit přístup",,"None",,"All",,"Skype for Surface RT",,""
"1 of {0}:",,"1 z {0}:",,"None",,"All",,"Skype for Surface RT",,""
"Allow",,"Povolit",,"None",,"All",,"Skype for Surface RT",,""
"Allow this participant into the meeting",,"Povolit tomuto účastníkovi připojení ke schůzce",,"None",,"All",,"Skype for Surface RT",,""
"Content",,"Obsah",,"None",,"All",,"Skype for Surface RT",,""
"New messages",,"Nové zprávy",,"None",,"All",,"Skype for Surface RT",,""
"Message",,"Zpráva",,"None",,"All",,"Skype for Surface RT",,""
"Roster",,"Seznam",,"None",,"All",,"Skype for Surface RT",,""
"Join {0} scheduled meeting {1}",,"Připojit se k naplánované schůzce {1} ({0})",,"None",,"All",,"Skype for Surface RT",,""
"Back",,"Zpět",,"None",,"All",,"Skype for Surface RT",,""
"Attendee",,"Účastník",,"None",,"All",,"Skype for Surface RT",,""
"Send audio from your last call plus logs",,"Odeslat zvuk z posledního hovoru a deníky",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem",,"Problémy se zvukem",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem. Send audio from your last call plus logs.",,"Problémy se zvukem. Odešlou se protokoly a zvuk z vašeho posledního hovoru.",,"None",,"All",,"Skype for Surface RT",,""
"Auto Camera Switching",,"Automatické přepínání kamery",,"None",,"All",,"Skype for Surface RT",,""
"Your device isn’t set up for email. Please contact your support team.",,"V zařízení nemáte nastavený e-mail. Kontaktujte prosím svůj tým podpory.",,"None",,"All",,"Skype for Surface RT",,""
"Nothing's scheduled for the rest of the day.",,"Na zbytek dne není nic naplánované.",,"None",,"All",,"Skype for Surface RT",,""
"Getting your calendar…",,"Načítá se váš kalendář...",,"None",,"All",,"Skype for Surface RT",,""
"Calendar is unavailable",,"Kalendář je nedostupný.",,"None",,"All",,"Skype for Surface RT",,""
"Call Ended",,"Hovor skončil",,"None",,"All",,"Skype for Surface RT",,""
"This call is on hold.",,"Tento hovor je přidržený.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality isn't great",,"Kvalita sítě není úplně nejlepší.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is pretty bad",,"Kvalita sítě je docela špatná.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is good",,"Kvalita sítě je dobrá.",,"None",,"All",,"Skype for Surface RT",,""
"Camera options",,"Možnosti kamery",,"None",,"All",,"Skype for Surface RT",,""
"Cancel",,"Zrušit",,"None",,"All",,"Skype for Surface RT",,""
"Center Camera Only",,"Jenom středová kamera",,"None",,"All",,"Skype for Surface RT",,""
"Chat Input conversation with zero participants||Chat Input conversation with one participant||Chat Input conversation with {0} participants",,"Vstup chatu – konverzace s nula účastníky||Vstup chatu – konverzace s {0} účastníkem||Vstup chatu – konverzace s {0} účastníky",,"None",,"All",,"Skype for Surface RT",,""
"Type a message here",,"Sem zadejte zprávu.",,"None",,"All",,"Skype for Surface RT",,""
"Chat conversation pane updated",,"Aktualizované podokno konverzace přes chat",,"None",,"All",,"Skype for Surface RT",,""
"Check in all local participants",,"Pozvat dál všechny místní účastníky",,"None",,"All",,"Skype for Surface RT",,""
