PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Account",,"Účet",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Available",,"Online",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Unable to change your profile picture, please try again.",,"Nešlo změnit váš profilový obrázek. Zkuste to prosím znovu.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close settings",,"Zavřít nastavení",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Disable automatic Skype plugin updates",,"Zakázat automatické aktualizace plug-inu Skypu",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Display settings",,"Zobrazit nastavení",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype plugin",,"Stáhnout plug-in Skypu",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable automatic Skype plugin updates",,"Povolit automatické aktualizace plug-inu Skypu",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"The image type you tried to upload is not supported",,"Typ obrázku, který jste se pokusili nahrát, není podporovaný.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Not available",,"Offline",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications off",,"Oznámení jsou vypnutá.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications on",,"Oznámení jsou zapnutá.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"off",,"vypnuté",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"on",,"zapnuté",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Automatic Skype plugin updates are",,"Automatické aktualizace plug-inu Skypu jsou",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Online presence set to available (notifications on)",,"Stav nastavený na Online (zapnutá oznámení)",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign out",,"Odhlásit se",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Upload a profile picture",,"Nahrát profilový obrázek",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept the call using Alt + PgUp",,"Hovor můžete přijmout stisknutím kláves Alt + PgUp.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice",,"Přijmout se zvukem",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice using Alt + Page Up",,"Přijmout se zvukem klávesami Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with Video",,"Přijmout s videem",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with video using Ctrl + Alt + Page Up",,"Přijmout videohovor pomocí kláves Ctrl+Alt+ Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Your guest account will expire in 10 minutes.",,"Platnost účtu hosta vám vyprší za 10 minut.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
""Select ""add to contacts"" and they'll get your request."",,"Vyberte „přidat do kontaktů“ a uživatel dostane vaši žádost.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Add Skype as a bookmark",,"Přidat si Skype jako záložku",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Already have an account?",,"Už máte účet?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"or",,"nebo",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You can call and chat with everyone here for free.",,"Volejte a chatujte zadarmo, s kým chcete.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close",,"Zavřít",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Computer says no…",,"Počítač říká ne...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Continue",,"Pokračovat",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"By using this site you agree to the use of cookies for analytics, personalised content and ads.",,"Používáním tohoto webu souhlasíte s použitím souborů cookie pro účely analýzy, personalizace obsahu a reklam.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"By using this site you agree to the use of cookies for analytics, personalised content and ads. {LINK_START}Read more about cookies{LINK_END}",,"Používáním tohoto webu souhlasíte s použitím souborů cookie pro účely analýzy, personalizace obsahu a reklam. {LINK_START}Další informace o souborech cookie{LINK_END}",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Copy link",,"Kopírovat odkaz",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"&copy; {YEAR} Skype and/or Microsoft.",,"&copy; {YEAR} Skype a/nebo Microsoft.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"&copy; {YEAR} Skype/Microsoft.",,"&copy;{YEAR} Skype/Microsoft.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Create account",,"Vytvořit účet",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"{LINK1_START}Create a new Skype account{LINK1_END} or {LINK2_START}sign in{LINK2_END} to permanently join this conversation.",,"Pokud se chcete k této konverzaci připojit trvale, můžete si {LINK1_START}vytvořit nový účet Skype{LINK1_END} nebo se {LINK2_START}přihlásit{LINK2_END}.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Interested in richer and more integrated experience? Download the official desktop app.",,"Máte zájem o více funkcí a lepší integraci s operačním systémem? Stáhněte si oficiální desktopovou aplikaci.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download",,"Stáhnout",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Desktop Client",,"Stáhnout klienta pro stolní počítače",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype",,"Stáhněte si Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype on the device that’s most convenient for you.",,"Stáhněte si Skype do zařízení, na kterém byste ho nejraději používali.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You need to enable javascript",,"Musíte si povolit JavaScript.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable joining",,"Povolit připojení",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Explore Skype",,"Prozkoumejte Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQ",,"Časté otázky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"frequently asked questions",,"časté otázky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQs",,"Časté otázky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Feedback",,"Váš názor",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Finished chatting?",,"Už nechcete chatovat?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get the app",,"Stáhnout aplikaci",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get back to Skype quickly.",,"Mějte ke Skypu rychlý přístup.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get back to Skype quickly. Press {CTRL_KEY} + D to add Skype as a bookmark.",,"Mějte ke Skypu rychlý přístup. Stisknutím kláves {CTRL_KEY}+D si Skype přidáte jako záložku.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get in touch with your friends and family directly from your browser",,"Spojte se se svými přáteli a rodinou přímo z prohlížeče",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get Skype on the device that’s most convenient for you.",,"Stáhněte si Skype do zařízení, na kterém byste ho nejraději používali.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get started",,"Začínáme",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Got a question?",,"Chcete se na něco zeptat?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Hi {ELEM_START}{NAME}{ELEM_END}",,"Milý uživateli {ELEM_START}{NAME}{ELEM_END},",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"As a guest, you can",,"Jako host máte k dispozici",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Group chat",,"Skupinový chat",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Send emoticons and Mojis",,"Odesílání emotikon a Moji",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Share photos and files",,"Sdílení fotografií a souborů",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Share your screen",,"Sdílení obrazovky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make video calls",,"Videohovory",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make voice calls",,"Hlasová volání",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Guest",,"Host",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Have your queries about Skype for Web answered.",,"Najděte odpovědi na svoje dotazy ohledně Skypu pro web.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Incoming call",,"Příchozí hovor",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"install plugin",,"nainstalovat plug-in",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Join me on Skype to chat, call, and share. You don't need to sign-up or download the app.",,"Přidejte se ke mně na Skype a chatujte, volejte a sdílejte. Není nutné se registrovat ani stahovat aplikaci.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Hi,",,"Dobrý den,",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
