PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"Aktiver meddelelser via sms",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"Din saldo med Skype-kredit er",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Tilføj dit fastnetnummer, så venner har flere måder at kontakte dig på",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Tilføj dit mobilnummer, så venner har flere måder at kontakte dig på",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Tilføj dit arbejdstelefonnummer, så venner har flere måder at kontakte dig på",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Tilbage til fodnote 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Tilbage til fodnote 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Tilbage til fodnote 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Tilbage til fodnote 4",,"Text",,"All",,"Commerce Server",,""
"Delete phone number: {NUMBER}",,"Slet telefonnummer: {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"No, don't delete number {NUMBER}",,"Nej, slet ikke nummer {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Yes, delete number {NUMBER}",,"Ja, slet nummer {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Cancel and return to account overview page",,"Annuller, og vend tilbage til kontooversigt",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,"Annuller abonnement på {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Nulstil eller skift adgangskode til Facebook",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Nulstil eller skift adgangskode til Microsoft",,"Text",,"All",,"Commerce Server",,""
"Change Skype password",,"Skift adgangskode til Skype",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Vis dette nummer, når jeg ringer til telefoner",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Bekræftelseskode",,"Text",,"All",,"Commerce Server",,""
"Close pop-up",,"Luk pop op-meddelelse",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Land/område",,"Text",,"All",,"Commerce Server",,""
"Country/region or Skype Name",,"Land/område eller Skype-navn",,"Text",,"All",,"Commerce Server",,""
"Delete number {number}",,"Slet nummeret {number}",,"Text",,"All",,"Commerce Server",,""
"Disable Caller id",,"Deaktiver nummervisning",,"Text",,"All",,"Commerce Server",,""
"Disable call forwarding",,"Deaktiver viderestilling",,"Text",,"All",,"Commerce Server",,""
"Disable voice messages",,"Deaktivere talebeskeder",,"Text",,"All",,"Commerce Server",,""
"Display billings and payments",,"Vis fakturaer og betalinger ",,"Text",,"All",,"Commerce Server",,""
