PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"An error has occurred. Please retry signing.",,"Der opstod en fejl. Prøv at signere igen.",,"None",,"All",,"InfoPath",,""
"Microsoft Corporation",,"Microsoft Corporation",,"None",,"All",,"InfoPath",,""
"Microsoft® is a registered trademark of Microsoft Corporation.",,"Microsoft® er et registreret varemærke tilhørende Microsoft Corporation.",,"None",,"All",,"InfoPath",,""
"Windows® is a registered trademark of Microsoft Corporation.",,"Windows® er et registreret varemærke tilhørende Microsoft Corporation.",,"None",,"All",,"InfoPath",,""
"Tahoma, Sans-Serif",,"Tahoma, Sans-Serif",,"None",,"All",,"InfoPath",,""
"Digitally Signing the Form",,"Digital signering af formularen",,"None",,"All",,"InfoPath",,""
""To be able to sign this form, you need to activate two Windows Internet Explorer add-ons. Click the Information Bar above, then click ""Run ActiveX control"" to activate each add-on."",,""Hvis du skal være i stand til at signere formularen, skal du aktivere to Windows Internet Explorer-tilføjelsesprogrammer. Klik på værktøjslinjen med blokeringsoplysninger ovenfor, og klik derefter på ""Kør ActiveX-objekt"" for at aktivere hvert tilføjelsesprogram."",,"None",,"All",,"InfoPath",,""
"o",,"o",,"None",,"All",,"InfoPath",,""
"Tahoma, Verdana, Arial, Helvetica, sans-serif",,"Tahoma, Verdana, Arial, Helvetica, sans-serif",,"None",,"All",,"InfoPath",,""
"Additional Signature Properties",,"Yderligere signaturegenskaber",,"None",,"All",,"InfoPath",,""
"<u>O</u>K",,"<u>O</u>K",,"None",,"All",,"InfoPath",,""
"Signing Control Version",,"Kontrolelementversion for signatur",,"None",,"All",,"InfoPath",,""
"Browser",,"Webbrowser",,"None",,"All",,"InfoPath",,""
"Current view",,"Aktuel visning",,"None",,"All",,"InfoPath",,""
"Form template fingerprint",,"Formularskabelonens fingeraftryk",,"None",,"All",,"InfoPath",,""
"InfoPath version",,"InfoPath-version",,"None",,"All",,"InfoPath",,""
"The following data will be included with your signature so that the context under which you viewed and signed the form can be understood by verifiers of your signatures.",,"Følgende data inkluderes sammen med din signatur, så de, der skal bekræfte dine signaturer, kan se den kontekst, du så formularen i, da du signerede den.",,"None",,"All",,"InfoPath",,""
"Not applicable",,"Ikke tilgængelig",,"None",,"All",,"InfoPath",,""
"InfoPath Forms Services version",,"InfoPath Forms Services-version",,"None",,"All",,"InfoPath",,""
