PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"M",,"F",,"Text",,"All",,"Office Online Group",,""
"drawing1",,"tegning1",,"Text",,"All",,"Office Online Group",,""
"L",,"ON",,"Text",,"All",,"Office Online Group",,""
"I",,"LN",,"Text",,"All",,"Office Online Group",,""
"U",,"U",,"Text",,"All",,"Office Online Group",,""
"U",,"M",,"Text",,"All",,"Office Online Group",,""
"R",,"R",,"Text",,"All",,"Office Online Group",,""
"G",,"L",,"Text",,"All",,"Office Online Group",,""
"T",,"T",,"Text",,"All",,"Office Online Group",,""
"I",,"N",,"Text",,"All",,"Office Online Group",,""
"Tamil",,"Tamilsk",,"Text",,"All",,"Office Online Group",,""
"Arabic (Syria)",,"Arabisk (Syrien)",,"Text",,"All",,"Office Online Group",,""
"{webappfull} Preview",,"{webappfull} Vis udskrift",,"Text",,"All",,"Office Online Group",,""
"Spanish (Uruguay)",,"Spansk (Uruguay)",,"Text",,"All",,"Office Online Group",,""
"Loading",,"Indlæser",,"Text",,"All",,"Office Online Group",,""
"Chinese (Macao S.A.R.)",,"Kinesisk (Macao S.A.R.)",,"Text",,"All",,"Office Online Group",,""
"In {webappshort}, there's no save button because your {doctype} is being saved automatically.",,"I {webappshort} findes knappen Gem ikke, fordi din {doctype} gemmes automatisk.",,"Text",,"All",,"Office Online Group",,""
"French (Switzerland)",,"Fransk (Schweiz)",,"Text",,"All",,"Office Online Group",,""
"Thai",,"Thai",,"Text",,"All",,"Office Online Group",,""
"Telugu",,"Telugu",,"Text",,"All",,"Office Online Group",,""
"Bulgarian",,"Bulgarsk",,"Text",,"All",,"Office Online Group",,""
"notebook",,"notesbog",,"Text",,"All",,"Office Online Group",,""
"You can also try our Copy Paste app {0} if you don't want to use shortcut keys.",,"Du kan også prøve vores Kopiér/sæt ind-app {0}, hvis du ikke vil bruge genvejstaster.",,"Text",,"All",,"Office Online Group",,""
"French (Morocco)",,"Fransk (Marokko)",,"Text",,"All",,"Office Online Group",,""
"Croatian (Croatia)",,"Kroatisk (Kroatien)",,"Text",,"All",,"Office Online Group",,""
"Please try again in a little while.",,"Prøv igen om et øjeblik.",,"Text",,"All",,"Office Online Group",,""
"Store",,"Gem",,"Text",,"All",,"Office Online Group",,""
"Croatian (Bosnia and Herzegovina)",,"Kroatisk (Bosnien-Hercegovina)",,"Text",,"All",,"Office Online Group",,""
"Viewing online",,"Ser online",,"Text",,"All",,"Office Online Group",,""
"Yiddish",,"Jiddish",,"Text",,"All",,"Office Online Group",,""
"sailboat",,"sejlbåd",,"Text",,"All",,"Office Online Group",,""
"EM",,"EM",,"Text",,"All",,"Office Online Group",,""
"Serbian (Cyrillic, Serbia and Montenegro (Former))",,"Serbisk (kyrillisk, Serbien og Montenegro (tidligere))",,"Text",,"All",,"Office Online Group",,""
"Chat now",,"Chat nu",,"Text",,"All",,"Office Online Group",,""
"panda face",,"pandaansigt",,"Text",,"All",,"Office Online Group",,""
"moai",,"statue",,"Text",,"All",,"Office Online Group",,""
"C",,"C",,"Text",,"All",,"Office Online Group",,""
"video game",,"videospil",,"Text",,"All",,"Office Online Group",,""
"W",,"W",,"Text",,"All",,"Office Online Group",,""
"16pt",,"16pt",,"Text",,"All",,"Office Online Group",,""
"Chinese (Hong Kong S.A.R.)",,"Kinesisk (Hongkong S.A.R.)",,"Text",,"All",,"Office Online Group",,""
"bold",,"bold",,"Text",,"All",,"Office Online Group",,""
"kissing cat face with closed eyes",,"kyssende kat med lukkede øjne",,"Text",,"All",,"Office Online Group",,""
"There are more results than the Accessibility Checker can display here. After fixing these issues, recheck your document to see more results.",,"Der er flere resultater, end Tilgængelighedskontrol kan vise her. Når du har løst disse problemer, skal du kontrollere dokumentet igen for at få vist flere resultater.",,"Text",,"All",,"Office Online Group",,""
