PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Propert&ies...",,"&Egenskaber...",,"None",,"All",,"Outlook Group",,""
"C&ut",,"&Klip",,"None",,"All",,"Outlook Group",,""
"&Copy",,"K&opiér",,"None",,"All",,"Outlook Group",,""
"&Paste",,"Sæt &ind",,"None",,"All",,"Outlook Group",,""
"&Delete",,"&Slet",,"None",,"All",,"Outlook Group",,""
"Select &All",,"&Markér alt",,"None",,"All",,"Outlook Group",,""
"From",,"Fra",,"None",,"All",,"Outlook Group",,""
"Select Names",,"Vælg navne",,"None",,"All",,"Outlook Group",,""
"To",,"Til",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account",,"Outlook Mobile-tjenestekonto",,"None",,"All",,"Outlook Group",,""
"Mobile Service Accounts",,"Mobile Service-konti",,"None",,"All",,"Outlook Group",,""
"You can add or remove an account. You can select an account, and then change its settings.",,"Du kan tilføje eller fjerne en konto. Du kan vælge en konto og derefter redigere dens indstillinger.",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account Manager",,"Kontoadministration i Outlook Mobile Service",,"None",,"All",,"Outlook Group",,""
""Type the &name by which you want to refer to this account. For example: ""Work"" or ""Text Message Service"""",,""Skriv det &navn, du vil bruge til at henvise til denne konto. F.eks.: ""Arbejde"" eller ""Tekstmeddelelsestjeneste"""",,"None",,"All",,"Outlook Group",,""
"Account Settings",,"Kontoindstillinger",,"None",,"All",,"Outlook Group",,""
"Complete each step to create and activate your text messaging account.",,"Fuldfør hvert trin for at oprette og aktivere din sms-konto.",,"None",,"All",,"Outlook Group",,""
"Another dialog for mobile message account setting is running.\nClose the dialog, and then try again.",,"Der kører en anden dialogboks til indstilling af kontoen for mobilmeddelelser.\nLuk denne dialogboks, og prøv derefter igen.",,"None",,"All",,"Outlook Group",,""
"Step1: Sign up with a text messaging service provider",,"Trin 1: Tilmeld dig en sms-tjenesteudbyder",,"None",,"All",,"Outlook Group",,""
"Text messages are sent through a third-party service that may charge you a fee that is separate from the charges from your mobile operator. You can review the terms and any associated charges before completing setup.",,"Sms'er sendes via en tjeneste fra en tredjepart, som kan opkræve et gebyr ud over det normale gebyr fra din mobiludbyder. Du kan gennemgå vilkårene og de relaterede gebyrer, inden du fuldfører installationen.",,"None",,"All",,"Outlook Group",,""
"Step2: Fill in account information",,"Trin 2: Udfyld kontooplysningerne",,"None",,"All",,"Outlook Group",,""
"Cannot get service information because of a problem connecting to the service.\nDo you want to use default settings (This account might not work)?",,"Der kan ikke hentes oplysninger om tjenesten, fordi der er problemer med at oprette forbindelse til tjenesten.\nVil du benytte standardindstillingerne (denne konto fungerer muligvis ikke)?",,"None",,"All",,"Outlook Group",,""
"Audio file (*.mid;*.amr)",,"Lydfil (*.mid;*.amr)",,"None",,"All",,"Outlook Group",,""
"Account Name",,"Kontonavn",,"None",,"All",,"Outlook Group",,""
"Other User Information",,"Andre brugeroplysninger",,"None",,"All",,"Outlook Group",,""
"Service Information",,"Oplysninger om tjeneste",,"None",,"All",,"Outlook Group",,""
"Logon Information",,"Logonoplysninger",,"None",,"All",,"Outlook Group",,""
"%1/%2: %3 Events(next %4 hrs)",,"%2/%1 %3 begivenheder (næste %4 timer)",,"None",,"All",,"Outlook Group",,""
"%1/%2: %3 Event(next %4 hrs)",,"%2/%1: %3 begivenhed (næste %4 timer)",,"None",,"All",,"Outlook Group",,""
"%4-%5\r\n%1\r\n%3",,"%4-%5\r\n%1\r\n%3",,"None",,"All",,"Outlook Group",,""
"All day event\r\n%1\r\n%3",,"Hele dagen\r\n%1\r\n%3",,"None",,"All",,"Outlook Group",,""
"%1/%2 Calendar Summary: No meetings or appointments.",,"%1/%2 Kalenderoversigt: ingen møder eller aftaler.",,"None",,"All",,"Outlook Group",,""
"(No Location)",,"(Ingen placering)",,"None",,"All",,"Outlook Group",,""
"(No Subject)",,"(Intet emne)",,"None",,"All",,"Outlook Group",,""
"%1/%2 Calendar Summary",,"%1/%2 Kalenderoversigt",,"None",,"All",,"Outlook Group",,""
"Calendar Summary",,"Kalenderoversigt",,"None",,"All",,"Outlook Group",,""
"Querying for Outlook calendar events failed",,"Forespørgslen efter Outlook-kalenderhændelser lykkedes ikke",,"None",,"All",,"Outlook Group",,""
"Sound:",,"Lyd:",,"None",,"All",,"Outlook Group",,""
"&Duration:",,"&Varighed:",,"None",,"All",,"Outlook Group",,""
"Duration:",,"Varighed:",,"None",,"All",,"Outlook Group",,""
"%s - Multimedia Message",,"%s - Multimediemeddelelse",,"None",,"All",,"Outlook Group",,""
"Message %i",,"Meddelelse %i",,"None",,"All",,"Outlook Group",,""
"Preview",,"Eksempel",,"None",,"All",,"Outlook Group",,""
"%s - Text Message",,"%s - Tekstmeddelelse",,"None",,"All",,"Outlook Group",,""
"Slide mode",,"Slidetilstand",,"None",,"All",,"Outlook Group",,""
"Non-slide mode",,"Ikke-slidetilstand",,"None",,"All",,"Outlook Group",,""
"Message Template",,"Skabelon for meddelelser",,"None",,"All",,"Outlook Group",,""
"Percentage of image area for mixed layouts",,"Procentdel af skærmarealet til blandet layout",,"None",,"All",,"Outlook Group",,""
"Mobile Screen Resolution",,"Mobiltelefonskærmens opløsning",,"None",,"All",,"Outlook Group",,""
"Ch&ange...",,"Re&diger...",,"None",,"All",,"Outlook Group",,""
"&Send a calendar summary to a mobile device",,"&Send en kalenderoversigt til en mobilenhed",,"None",,"All",,"Outlook Group",,""
"&Send reminders",,"&Send påmindelser",,"None",,"All",,"Outlook Group",,""
"&Remember password",,"&Husk adgangskode",,"None",,"All",,"Outlook Group",,""
"Close the %s dialog box, and then try again.",,"Luk dialogboksen %s, og prøv derefter igen.",,"None",,"All",,"Outlook Group",,""
"Account",,"Konto",,"None",,"All",,"Outlook Group",,""
"128 x 140=(128,140)",,"128 x 140=(128,140)",,"None",,"All",,"Outlook Group",,""
"128 x 128=(128,128)",,"128 x 128=(128,128)",,"None",,"All",,"Outlook Group",,""
"120 x 160=(120,160)",,"120 x 160=(120,160)",,"None",,"All",,"Outlook Group",,""
"120 x 140=(120,140)",,"120 x 140=(120,140)",,"None",,"All",,"Outlook Group",,""
"120 x 120=(120,120)",,"120 x 120=(120,120)",,"None",,"All",,"Outlook Group",,""
"96 x 128=(96,128)",,"96 x 128=(96,128)",,"None",,"All",,"Outlook Group",,""
"80 x 100=(80,100)",,"80 x 100=(80,100)",,"None",,"All",,"Outlook Group",,""
"65 x 96=(65,96)",,"65 x 96=(65,96)",,"None",,"All",,"Outlook Group",,""
"240 x 320=(240,320)",,"240 x 320=(240,320)",,"None",,"All",,"Outlook Group",,""
"220 x 176=(220,176)",,"220 x 176=(220,176)",,"None",,"All",,"Outlook Group",,""
"176 x 220=(176,220)",,"176 x 220=(176,220)",,"None",,"All",,"Outlook Group",,""
