PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Alpine",,"Alpeblomst",,"None",,"All",,"Publisher",,""
"Aqua",,"Akvamarin",,"None",,"All",,"Publisher",,""
"Berry",,"Bær",,"None",,"All",,"Publisher",,""
"Black & Gray",,"Sort og grå",,"None",,"All",,"Publisher",,""
"Brown",,"Brun",,"None",,"All",,"Publisher",,""
"Burgundy",,"Bourgognerød",,"None",,"All",,"Publisher",,""
"Cavern",,"Hule",,"None",,"All",,"Publisher",,""
"Citrus",,"Citrus",,"None",,"All",,"Publisher",,""
"Clay",,"Ler",,"None",,"All",,"Publisher",,""
"Cranberry",,"Tranebær",,"None",,"All",,"Publisher",,""
"Crocus",,"Krokus",,"None",,"All",,"Publisher",,""
"Desert",,"Ørken",,"None",,"All",,"Publisher",,""
"Field",,"Mark",,"None",,"All",,"Publisher",,""
"Fjord",,"Fjord",,"None",,"All",,"Publisher",,""
"Floral",,"Buket",,"None",,"All",,"Publisher",,""
"Garnet",,"Granatrød",,"None",,"All",,"Publisher",,""
"Glacier",,"Gletcher",,"None",,"All",,"Publisher",,""
"Heather",,"Lyng",,"None",,"All",,"Publisher",,""
"Iris",,"Regnbue",,"None",,"All",,"Publisher",,""
"Island",,"Tropeø",,"None",,"All",,"Publisher",,""
"Ivy",,"Vedbend",,"None",,"All",,"Publisher",,""
"Lagoon",,"Lagune",,"None",,"All",,"Publisher",,""
"Lilac",,"Syren",,"None",,"All",,"Publisher",,""
"Mahogany",,"Mahogni",,"None",,"All",,"Publisher",,""
"Marine",,"Hav",,"None",,"All",,"Publisher",,""
"Maroon",,"Rødbrun",,"None",,"All",,"Publisher",,""
"Meadow",,"Eng",,"None",,"All",,"Publisher",,""
"Mist",,"Dis",,"None",,"All",,"Publisher",,""
"Mistletoe",,"Mistelten",,"None",,"All",,"Publisher",,""
"Moss",,"Mos",,"None",,"All",,"Publisher",,""
"Mountain",,"Bjerg",,"None",,"All",,"Publisher",,""
"Mulberry",,"Morbær",,"None",,"All",,"Publisher",,""
"Navy",,"Marine",,"None",,"All",,"Publisher",,""
"Nutmeg",,"Muskatnød",,"None",,"All",,"Publisher",,""
"Olive",,"Oliven",,"None",,"All",,"Publisher",,""
"Orchid",,"Orkidé",,"None",,"All",,"Publisher",,""
"Parrot",,"Papegøje",,"None",,"All",,"Publisher",,""
"Pebbles",,"Sten",,"None",,"All",,"Publisher",,""
"Prairie",,"Prærie",,"None",,"All",,"Publisher",,""
"Rain Forest",,"Regnskov",,"None",,"All",,"Publisher",,""
"Monarch",,"Monark",,"None",,"All",,"Publisher",,""
"Redwood",,"Rødtræ",,"None",,"All",,"Publisher",,""
"Reef",,"Rev",,"None",,"All",,"Publisher",,""
"Sagebrush",,"Bynke",,"None",,"All",,"Publisher",,""
"Sapphire",,"Safir",,"None",,"All",,"Publisher",,""
"Shamrock",,"Kløver",,"None",,"All",,"Publisher",,""
"Sienna",,"Jord",,"None",,"All",,"Publisher",,""
"Spice",,"Krydderi",,"None",,"All",,"Publisher",,""
"Sunrise",,"Solopgang",,"None",,"All",,"Publisher",,""
"Sunset",,"Solnedgang",,"None",,"All",,"Publisher",,""
"Teal",,"Blågrøn",,"None",,"All",,"Publisher",,""
"Tidepool",,"Tidevand",,"None",,"All",,"Publisher",,""
"Tropics",,"Troperne",,"None",,"All",,"Publisher",,""
"Trout",,"Ørred",,"None",,"All",,"Publisher",,""
"Vineyard",,"Vingård",,"None",,"All",,"Publisher",,""
"Waterfall",,"Vandfald",,"None",,"All",,"Publisher",,""
"Wildflower",,"Blomst",,"None",,"All",,"Publisher",,""
"Black & White",,"Sort og hvid",,"None",,"All",,"Publisher",,""
"Green",,"Grøn",,"None",,"All",,"Publisher",,""
"Red",,"Rød",,"None",,"All",,"Publisher",,""
"Dark Blue",,"Mørkeblå",,"None",,"All",,"Publisher",,""
"Harbor",,"Havn",,"None",,"All",,"Publisher",,""
"Eggplant",,"Aubergine",,"None",,"All",,"Publisher",,""
"Grove",,"Lund",,"None",,"All",,"Publisher",,""
"Tuscany",,"Toscana",,"None",,"All",,"Publisher",,""
"Office",,"Office",,"None",,"All",,"Publisher",,""
"Trek",,"Trek",,"None",,"All",,"Publisher",,""
"Median",,"Median",,"None",,"All",,"Publisher",,""
"Foundry",,"Håndsats",,"None",,"All",,"Publisher",,""
"Office 2007-2010",,"Office 2007-2010",,"None",,"All",,"Publisher",,""
"Urban",,"Urban",,"None",,"All",,"Publisher",,""
"Concourse",,"Sammenløb",,"None",,"All",,"Publisher",,""
"Flow",,"Forløb",,"None",,"All",,"Publisher",,""
"Module",,"Modul",,"None",,"All",,"Publisher",,""
"Solstice",,"Bambusfletværk",,"None",,"All",,"Publisher",,""
"Verve",,"Livfuld",,"None",,"All",,"Publisher",,""
"Aspect",,"Aspekt",,"None",,"All",,"Publisher",,""
"Opulent",,"Overdådig",,"None",,"All",,"Publisher",,""
"Paper",,"Papir",,"None",,"All",,"Publisher",,""
"Metro",,"Metro",,"None",,"All",,"Publisher",,""
"Apex",,"Apex",,"None",,"All",,"Publisher",,""
"Origin",,"Oprindelse",,"None",,"All",,"Publisher",,""
"Civic",,"Officiel",,"None",,"All",,"Publisher",,""
"Equity",,"Egenkapital",,"None",,"All",,"Publisher",,""
"Oriel",,"Karnap",,"None",,"All",,"Publisher",,""
"Technic",,"Technic",,"None",,"All",,"Publisher",,""
"Ocean",,"Hav",,"None",,"All",,"Publisher",,""
"Plum",,"Blomme",,"None",,"All",,"Publisher",,""
"Cherry",,"Kirsebær",,"None",,"All",,"Publisher",,""
"Orange",,"Orange",,"None",,"All",,"Publisher",,""
"Summer",,"Sommer",,"None",,"All",,"Publisher",,""
"Peach",,"Fersken",,"None",,"All",,"Publisher",,""
"1, Foundation, scheme01.css, Times New Roman, Arial Bold",,"1, Bundbjælke, scheme01.css, Times New Roman, Arial Bold",,"None",,"All",,"Publisher",,""
"0, Industrial, scheme10.css, Franklin Gothic Heavy, Franklin Gothic Book",,"0, Industriel, scheme10.css, Franklin Gothic Heavy, Franklin Gothic Book",,"None",,"All",,"Publisher",,""
"0, Galley, scheme11.css, Arial Rounded MT Bold, Times New Roman",,"0, Skib, scheme11.css, Arial Rounded MT Bold, Times New Roman",,"None",,"All",,"Publisher",,""
"1, Binary, scheme12.css, Verdana, Georgia",,"1, Binær, scheme12.css, Verdana, Georgia",,"None",,"All",,"Publisher",,""
"1, Virtual, scheme13.css, Trebuchet MS Bold, Trebuchet MS",,"1, Virtuel, scheme13.css, Trebuchet MS Bold, Trebuchet MS",,"None",,"All",,"Publisher",,""
"0, Facet, scheme14.css, Gill Sans MT, Gill Sans MT",,"0, Facet, scheme14.css, Gill Sans MT, Gill Sans MT",,"None",,"All",,"Publisher",,""
"1, Impact, scheme15.css, Impact, Georgia",,"1, Impact, scheme15.css, Impact, Georgia",,"None",,"All",,"Publisher",,""
"0, Punch, scheme16.css, Gill Sans Ultra Bold, Comic Sans MS",,"0, Udstansning, scheme16.css, Gill Sans Ultra Bold, Comic Sans MS",,"None",,"All",,"Publisher",,""
"0, Deckle, scheme17.css, Papyrus, Gill Sans MT",,"0, Bøtterand, scheme17.css, Papyrus, Gill Sans MT",,"None",,"All",,"Publisher",,""
"0, Offset, scheme18.css, Imprint MT Shadow, Franklin Gothic Book",,"0, Offset, scheme18.css, Imprint MT Shadow, Franklin Gothic Book",,"None",,"All",,"Publisher",,""
"0, Dictation, scheme19.css, Lucida Sans Typewriter, Lucida Sans",,"0, Diktat, scheme19.css, Lucida Sans Typewriter, Lucida Sans",,"None",,"All",,"Publisher",,""
"0, Perspective, scheme02.css, Goudy Old Style, Franklin Gothic Heavy",,"0, Perspektiv, scheme02.css, Goudy Old Style, Franklin Gothic Heavy",,"None",,"All",,"Publisher",,""
"0, Monogram, scheme20.css, Edwardian Script ITC, Tw Cen MT",,"0, Monogram, scheme20.css, Edwardian Script ITC, Tw Cen MT",,"None",,"All",,"Publisher",,""
"0, Verbatim, scheme21.css, Agency FB Bold, Agency FB",,"0, Stenografi, scheme21.css, Agency FB Bold, Agency FB",,"None",,"All",,"Publisher",,""
"0, Fusion, scheme22.css, French Script MT, Calisto MT",,"0, Fusion, scheme22.css, French Script MT, Calisto MT",,"None",,"All",,"Publisher",,""
"0, Foundry, scheme23.css, Rockwell Extra Bold, Rockwell",,"0, Håndsats, scheme23.css, Rockwell Extra Bold, Rockwell",,"None",,"All",,"Publisher",,""
"0, Etched, scheme24.css, Copperplate Gothic Bold, Garamond",,"0, Raderet, scheme24.css, Copperplate Gothic Bold, Garamond",,"None",,"All",,"Publisher",,""
"0, Optical, scheme25.css, OCR A Extended, Franklin Gothic Book",,"0, Optisk, scheme25.css, OCR A Extended, Franklin Gothic Book",,"None",,"All",,"Publisher",,""
"1, Basis, scheme26.css, Arial Bold, Arial",,"1, Basis, scheme26.css, Arial, Arial",,"None",,"All",,"Publisher",,""
"1, Casual, scheme27.css, Comic Sans MS Bold, Comic Sans MS",,"1, Afslappet, scheme27.css, Comic Sans MS Bold, Comic Sans MS",,"None",,"All",,"Publisher",,""
"1, Data, scheme28.css, Courier New Bold, Arial",,"1, Data, scheme28.css, Courier New Bold, Arial",,"None",,"All",,"Publisher",,""
"1, Versatile, scheme29.css, Times New Roman Bold, Times New Roman",,"1, Alsidig, scheme29.css, Times New Roman Bold, Times New Roman",,"None",,"All",,"Publisher",,""
"0, Modern, scheme03.css, Tw Cen MT Bold, Garamond",,"0, Moderne, scheme03.css, Tw Cen MT Bold, Garamond",,"None",,"All",,"Publisher",,""
"1, Archival, scheme30.css, Georgia Bold, Georgia",,"1, Arkiv, scheme30.css, Georgia, Georgia",,"None",,"All",,"Publisher",,""
"1, Online, scheme31.css, Verdana Bold, Verdana",,"1, Online, scheme31.css, Verdana Bold, Verdana",,"None",,"All",,"Publisher",,""
"0, Apex, scheme32.css, Lucida Sans, Book Antiqua",,"0, Apex, scheme32.css, Lucida Sans, Book Antiqua",,"None",,"All",,"Publisher",,""
"1, Aspect, scheme33.css, Verdana, Verdana",,"1, Aspekt, scheme33.css, Verdana, Verdana",,"None",,"All",,"Publisher",,""
"1, Civic, scheme34.css, Georgia, Georgia",,"1, Officiel, scheme34.css, Georgia, Georgia",,"None",,"All",,"Publisher",,""
"0, Concourse, scheme35.css, Candara, Candara",,"0, Sammenløb, scheme35.css, Candara, Candara",,"None",,"All",,"Publisher",,""
"0, Paper, scheme36.css, Constantia, Constantia",,"0, Papir, scheme36.css, Constantia, Constantia",,"None",,"All",,"Publisher",,""
"0, Module, scheme37.css, Corbel, Corbel",,"0, Modul, scheme37.css, Corbel, Corbel",,"None",,"All",,"Publisher",,""
"0, Equity, scheme38.css, Franklin Gothic Book, Perpetua",,"0, Aktier, scheme38.css, Franklin Gothic Book, Perpetua",,"None",,"All",,"Publisher",,""
"0, Flow, scheme39.css, Calibri, Constantia",,"0, Flow, scheme39.css, Calibri, Constantia",,"None",,"All",,"Publisher",,""
"0, Capital, scheme04.css, Perpetua Titling MT, Perpetua",,"0, Store bogstaver, scheme04.css, Perpetua Titling MT, Perpetua",,"None",,"All",,"Publisher",,""
"0, Median, scheme40.css, Tw Cen MT, Tw Cen MT",,"0, Median, scheme40.css, Tw Cen MT, Tw Cen MT",,"None",,"All",,"Publisher",,""
"0, Metro, scheme41.css, Consolas, Corbel",,"0, Metro, scheme41.css, Consolas, Corbel",,"None",,"All",,"Publisher",,""
"0, Office 1, scheme42.css, Cambria, Calibri",,"0, Kontor 1, scheme42.css, Cambria, Calibri",,"None",,"All",,"Publisher",,""
"1, Opulent, scheme43.css, Trebuchet, Trebuchet",,"1, Overdådig, scheme43.css, Trebuchet, Trebuchet",,"None",,"All",,"Publisher",,""
"0, Oriel, scheme44.css, Century Schoolbook, Century Schoolbook",,"0, Karnap, scheme44.css, Century Schoolbook, Century Schoolbook",,"None",,"All",,"Publisher",,""
"0, Origin, scheme45.css, Bookman Old Style, Gill Sans MT",,"0, Oprindelse, scheme45.css, Bookman Old Style, Gill Sans MT",,"None",,"All",,"Publisher",,""
"0, Solstice, scheme46.css, Gill Sans MT, Gill Sans MT",,"0, Bambusfletværk, scheme46.css, Gill Sans MT, Gill Sans MT",,"None",,"All",,"Publisher",,""
"0, Technic, scheme47.css, Franklin Gothic Book, Arial",,"0, Teknik, scheme47.css, Franklin Gothic Book, Arial",,"None",,"All",,"Publisher",,""
"0, Trek, scheme48.css, Franklin Gothic Medium, Franklin Gothic Book",,"0, Trek, scheme48.css, Franklin Gothic Medium, Franklin Gothic Book",,"None",,"All",,"Publisher",,""
"1, Urban, scheme49.css, Trebuchet, Georgia",,"1, Urban, scheme49.css, Trebuchet, Georgia",,"None",,"All",,"Publisher",,""
"0, Textbook, scheme05.css, Century Schoolbook, Arial Bold",,"0, Lærebog, scheme05.css, Century Schoolbook, Arial Bold",,"None",,"All",,"Publisher",,""
"0, Verve, scheme50.css, Century Gothic, Century Gothic",,"0, Livfuld, scheme50.css, Century Gothic, Century Gothic",,"None",,"All",,"Publisher",,""
"0, Office 2, scheme51.css, Calibri, Cambria",,"0, Kontor 2, scheme51.css, Calibri, Cambria",,"None",,"All",,"Publisher",,""
"0, Office 3, scheme52.css, Calibri, Calibri",,"0, Kontor 3, scheme52.css, Calibri, Calibri",,"None",,"All",,"Publisher",,""
"1, Office Classic 1, scheme53.css, Times New Roman, Arial",,"1, Klassisk kontor 1, scheme53.css, Times New Roman, Arial",,"None",,"All",,"Publisher",,""
"1, Office Classic 2, scheme54.css, Arial, Arial",,"1, Klassisk kontor 2, scheme54.css, Arial, Arial",,"None",,"All",,"Publisher",,""
"0, Calligraphy, scheme55.css, Gabriola, Gabriola",,"0, Calligraphy, scheme55.css, Gabriola, Gabriola",,"None",,"All",,"Publisher",,""
"0, Streamline, scheme06.css, Bodoni MT Condensed, Tw Cen MT Bold",,"0, Strømlinet, scheme06.css, Bodoni MT Condensed, Tw Cen MT Bold",,"None",,"All",,"Publisher",,""
"0, Literary, scheme07.css, Bookman Old Style, Arial Rounded MT Bold",,"0, Litterær, scheme07.css, Bookman Old Style, Arial Rounded MT Bold",,"None",,"All",,"Publisher",,""
"0, Breve, scheme08.css, Bodoni MT Black, Franklin Gothic Book",,"0, Breve, scheme08.css, Bodoni MT Black, Franklin Gothic Book",,"None",,"All",,"Publisher",,""
"0, Economy, scheme09.css, Franklin Gothic Demi Condensed, Times New Roman Bold",,"0, Økonomi, scheme09.css, Franklin Gothic Demi Condensed, Times New Roman Bold",,"None",,"All",,"Publisher",,""
"Microsoft® is a registered trademark of Microsoft Corporation.",,"Microsoft® er et registreret varemærke tilhørende Microsoft Corporation.",,"None",,"All",,"Publisher",,""
"Windows® is a registered trademark of Microsoft Corporation.",,"Windows® er et registreret varemærke tilhørende Microsoft Corporation.",,"None",,"All",,"Publisher",,""
"Microsoft Office",,"Microsoft Office",,"None",,"All",,"Publisher",,""
"Page size",,"Sidestørrelse",,"None",,"All",,"Publisher",,""
"Square",,"Firkantet",,"None",,"All",,"Publisher",,""
"Rectangle",,"Rektangel",,"None",,"All",,"Publisher",,""
"Aerodynamics",,"Aerodynamisk udstyr",,"None",,"All",,"Publisher",,""
"Both",,"Begge",,"None",,"All",,"Publisher",,""
"Flaps only",,"Kun flapper",,"None",,"All",,"Publisher",,""
"None",,"Ingen",,"None",,"All",,"Publisher",,""
"Tail only",,"Kun sideror",,"None",,"All",,"Publisher",,""
"No border",,"Ingen kant",,"None",,"All",,"Publisher",,""
"Border",,"Kant",,"None",,"All",,"Publisher",,""
"Graphic",,"Grafik",,"None",,"All",,"Publisher",,""
"Left",,"Venstre",,"None",,"All",,"Publisher",,""
"Right",,"Højre",,"None",,"All",,"Publisher",,""
"Height",,"Højde",,"None",,"All",,"Publisher",,""
"11 in (portrait)|27.9 cm (portrait)",,"11 tommer (stående)|27,9 cm (stående)",,"None",,"All",,"Publisher",,""
"8.5 in (landscape)|21.6 cm (landscape)",,"8,5 tommer (liggende)|21,6 cm (liggende)",,"None",,"All",,"Publisher",,""
"Width",,"Bredde",,"None",,"All",,"Publisher",,""
"10 ft|3.048 m",,"10 fod|3,048 m",,"None",,"All",,"Publisher",,""
"10 ft x 11 in|3.048 m x 27.9 cm",,"10 fod x 11 tommer|3,048 m x 27,9 cm",,"None",,"All",,"Publisher",,""
"10 ft x 8.5 in|3.048 m x 21.6 cm",,"10 fod x 8,5 tommer|3,048 m x 21,6 cm",,"None",,"All",,"Publisher",,""
"5 ft|1.524 m",,"5 fod|1,524 m",,"None",,"All",,"Publisher",,""
"5 ft x 11 in|1.524 m x 27.9 cm",,"5 fod x 11 tommer|1,524 m x 27,9 cm",,"None",,"All",,"Publisher",,""
"5 ft x 8.5 in|1.524 m x 21.6 cm",,"5 fod x 8,5 tommer|1,524 m x 21,6 cm",,"None",,"All",,"Publisher",,""
"6 ft|1.829 m",,"6 fod|1,829 m",,"None",,"All",,"Publisher",,""
"6 ft x 11 in|1.829 m x 27.9 cm",,"6 fod x 11 tommer|1,829 m x 27,9 cm",,"None",,"All",,"Publisher",,""
"6 ft x 8.5 in|1.829 m x 21.6 cm",,"6 fod x 8,5 tommer|1,829 m x 21,6 cm",,"None",,"All",,"Publisher",,""
"8 ft|2.438 m",,"8 fod|2,438 m",,"None",,"All",,"Publisher",,""
