PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Collect Signatures",,"Indsaml signaturer",,"None",,"All",,"Sharepoint Designer",,""
"Close",,"Luk",,"None",,"All",,"Sharepoint Designer",,""
"Rule 1",,"Regel 1",,"None",,"All",,"Sharepoint Designer",,""
"Main",,"Hoved",,"None",,"All",,"Sharepoint Designer",,""
"Workflow",,"Arbejdsproces",,"None",,"All",,"Sharepoint Designer",,""
"urn:schemas-microsoft-com:office:infopath:workflow:CollectSignatures-Init:1033",,"urn:schemas-microsoft-com:office:infopath:workflow:CollectSignatures-Init:1030",,"None",,"All",,"Sharepoint Designer",,""
"One or more of the names entered could not be resolved.",,"Ét eller flere af de indtastede navne kunne ikke læses.",,"None",,"All",,"Sharepoint Designer",,""
"Too many names have been entered.",,"Der er indtastet for mange navne.",,"None",,"All",,"Sharepoint Designer",,""
"\nThis file is automatically created and modified by Microsoft InfoPath.\nChanges made to the file outside of Microsoft InfoPath might be lost if the form template is modified in Microsoft InfoPath.\n",,"\nFilen oprettes og ændres automatisk af Microsoft InfoPath.\nÆndringer af filen, der foretages uden for Microsoft InfoPath, kan gå tabt, hvis formularskabelonen ændres i Microsoft InfoPath.\n",,"None",,"All",,"Sharepoint Designer",,""
"One or more of the names that you entered could not be successfully resolved with an e-mail address. The unresolved names are displayed without underlines. Please fix or delete any of the names that are not underlined.",,"Ét eller flere af de indtastede navne kunne ikke oversættes til en mailadresse. De navne, der ikke kunne oversættes, vises uden understregning. Ret eller slet alle navne, der ikke er understreget.",,"None",,"All",,"Sharepoint Designer",,""
"You can enter only one name in the Suggested signer field. To specify additional signers, you must first insert additional signature lines into your document.",,"Du kan kun indtaste ét navn i feltet Foreslået underskriver. Du skal sætte flere signaturlinjer ind i dokumentet, før du kan angive flere underskrivere.",,"None",,"All",,"Sharepoint Designer",,""
"Tahoma",,"Segoe UI",,"None",,"All",,"Sharepoint Designer",,""
"normal",,"normal",,"None",,"All",,"Sharepoint Designer",,""
"128px",,"128px",,"None",,"All",,"Sharepoint Designer",,""
"right",,"right",,"None",,"All",,"Sharepoint Designer",,""
"ltr",,"ltr",,"None",,"All",,"Sharepoint Designer",,""
"Request Signatures in order",,"Anmod om signaturer i rækkefølge",,"None",,"All",,"Sharepoint Designer",,""
"Enter the name of the person who needs to sign this signature line.",,"Skriv navnet på den person, der skal signere, på denne signaturlinje.",,"None",,"All",,"Sharepoint Designer",,""
"Enter the names of people to notify when this workflow starts.",,"Skriv navnene på de personer, der skal have besked, når denne arbejdsproces starter.",,"None",,"All",,"Sharepoint Designer",,""
"Cancel",,"Annuller",,"None",,"All",,"Sharepoint Designer",,""
"Start",,"Start",,"None",,"All",,"Sharepoint Designer",,""
"CC...",,"Cc...",,"None",,"All",,"Sharepoint Designer",,""
"Signer...",,"Underskriver...",,"None",,"All",,"Sharepoint Designer",,""
"Tahoma,8,0,400,0,0,0",,"Tahoma,8,0,400,0,0,0",,"None",,"All",,"Sharepoint Designer",,""
"Request signatures in the order above, rather than all at once.",,"Anmod om signaturer i ovenstående rækkefølge i stedet for på én gang.",,"None",,"All",,"Sharepoint Designer",,""
"Notify Others",,"Giv andre besked",,"None",,"All",,"Sharepoint Designer",,""
"Requested Signatures",,"Anmodede signaturer",,"None",,"All",,"Sharepoint Designer",,""
"Suggested signer:",,"Foreslået underskriver:",,"None",,"All",,"Sharepoint Designer",,""
"To notify other people when this workflow starts without assigning tasks, type names on the CC line.",,"Hvis du vil give andre besked om det uden at tildele opgaver, når denne arbejdsproces starter, skal du skrive navne på linjen CC.",,"None",,"All",,"Sharepoint Designer",,""
"To request signatures be added to this document, type the names of the people who need to sign on the Signer lines. Each person will be assigned a task to add their signature to the document. You will receive an e-mail when the request is sent and once everyone has finished their tasks.",,"Hvis du føje signaturer til dette dokument, skal du skrive navnene på de personer, der skal signere, på signeringslinjerne. Hver enkelt person tildeles opgaven at føje deres signatur til dokumentet. Du modtager en mail, når anmodningen er sendt, og når alle har afsluttet deres opgaver.",,"None",,"All",,"Sharepoint Designer",,""
"en-US",,"da-DK",,"None",,"All",,"Sharepoint Designer",,""
"urn:schemas-microsoft-com:office:infopath:workflow:CollectSignatures-Sign:1033",,"urn:schemas-microsoft-com:office:infopath:workflow:CollectSignatures-Sign:1030",,"None",,"All",,"Sharepoint Designer",,""
"Completed tasks can not be delegated to other users.",,"Fuldførte opgaver kan ikke uddelegeres til andre brugere.",,"None",,"All",,"Sharepoint Designer",,""
"\nThis file is automatically created and modified by Microsoft Office InfoPath.\nChanges made to the file outside of InfoPath might be lost if the form template is modified in InfoPath.\n",,"\nFilen oprettes og ændres automatisk af Microsoft Office InfoPath.\nÆndringer af filen, der foretages uden for InfoPath, kan gå tabt, hvis formularskabelonen ændres i InfoPath.\n",,"None",,"All",,"Sharepoint Designer",,""
"Completed tasks can not be delegated to other users. Please remove the delegate or uncheck this checkbox.",,"Fuldførte opgaver kan ikke uddelegeres til andre brugere. Fjern stedfortræderen, eller fjern markeringen af dette afkrydsningsfelt.",,"None",,"All",,"Sharepoint Designer",,""
"Completed",,"Fuldført",,"None",,"All",,"Sharepoint Designer",,""
"This signature line has already been signed, or a signature is no longer required.",,"Denne signaturlinje er allerede signeret, eller der kræves ikke længere en signatur.",,"None",,"All",,"Sharepoint Designer",,""
"Type the name of the person to whom this task should be delegated.",,"Skriv navnet på den person, opgaven skal uddelegeres til.",,"None",,"All",,"Sharepoint Designer",,""
"OK",,"OK",,"None",,"All",,"Sharepoint Designer",,""
"Delegate...",,"Stedfortræder...",,"None",,"All",,"Sharepoint Designer",,""
"Delegate",,"Stedfortræder",,"None",,"All",,"Sharepoint Designer",,""
"If you are not the appropriate person to sign this document or want to delegate this task to another person, type the name of the person on the Delegate line.",,"Hvis du ikke er den rigtige person til at signere dokumentet, eller du vil uddelegere opgaven til en anden, skal du skrive navnet på personen på linjen Stedfortræder.",,"None",,"All",,"Sharepoint Designer",,""
"On behalf of:",,"På vegne af:",,"None",,"All",,"Sharepoint Designer",,""
"Outcome:",,"Resultat:",,"None",,"All",,"Sharepoint Designer",,""
"Reason:",,"Årsag:",,"None",,"All",,"Sharepoint Designer",,""
"Requested signer:",,"Ønsket underskriver:",,"None",,"All",,"Sharepoint Designer",,""
"Signature Requested",,"Signatur påkrævet",,"None",,"All",,"Sharepoint Designer",,""
"Status:",,"Status:",,"None",,"All",,"Sharepoint Designer",,""
"To sign the document, open it and add your signature to the appropriate signature line.",,"Hvis du vil signere dokumentet, skal du åbne det og føje din signatur til den korrekte signaturlinje.",,"None",,"All",,"Sharepoint Designer",,""
"Update task",,"Opdater opgave",,"None",,"All",,"Sharepoint Designer",,""
"Review",,"Gennemse",,"None",,"All",,"Sharepoint Designer",,""
"Submit",,"Send",,"None",,"All",,"Sharepoint Designer",,""
"urn:schemas-microsoft-com:office:infopath:workflow:ReviewRouting-Init:1033",,"urn:schemas-microsoft-com:office:infopath:workflow:ReviewRouting-Init:1030",,"None",,"All",,"Sharepoint Designer",,""
"Due date may not be in the past.",,"Forfaldsdatoen må ikke være passeret.",,"None",,"All",,"Sharepoint Designer",,""
"Duration must be between 1 and 999.",,"Varighed skal være mellem 1 og 999.",,"None",,"All",,"Sharepoint Designer",,""
"If specified, requires at least 1 task.",,"Hvis angivet, kræves mindst én opgave.",,"None",,"All",,"Sharepoint Designer",,""
"Message is too long.",,"Meddelelsen er for lang.",,"None",,"All",,"Sharepoint Designer",,""
"One or more names entered could not be resolved.",,"Ét eller flere indtastede navne kunne ikke læses.",,"None",,"All",,"Sharepoint Designer",,""
"Too many required participants.",,"For mange påkrævede deltagere.",,"None",,"All",,"Sharepoint Designer",,""
