PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"kontaktoplysninger",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"profilbillede",,"None",,"All",,"Skype - Mac",,""
"About",,"Om",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Multiline Label",,"None",,"All",,"Skype - Mac",,""
"Label",,"Label",,"None",,"All",,"Skype - Mac",,""
"mood message",,"humørbesked",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Lister",,"None",,"All",,"Skype - Mac",,""
"Location",,"Sted",,"None",,"All",,"Skype - Mac",,""
"Time",,"Tid",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Hjemmeside",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Køn",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Fødselsdag",,"None",,"All",,"Skype - Mac",,""
"Language",,"Sprog",,"None",,"All",,"Skype - Mac",,""
"Back",,"Tilbage",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Tilføj kontakt",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Kopier",,"None",,"All",,"Skype - Mac",,""
"favorite",,"foretrukne",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Kontakter",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Item 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Andet",,"None",,"All",,"Skype - Mac",,""
"Box",,"Box",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Item 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Skype-certificeret",,"None",,"All",,"Skype - Mac",,""
"Home",,"Hjem",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Mobil",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Item 1",,"None",,"All",,"Skype - Mac",,""
"Skype",,"Skype",,"None",,"All",,"Skype - Mac",,""
"Office",,"Kontor",,"None",,"All",,"Skype - Mac",,""
"Window",,"Window",,"None",,"All",,"Skype - Mac",,""
"Text Cell",,"Text Cell",,"None",,"All",,"Skype - Mac",,""
"Send Contacts",,"Send kontakt",,"None",,"All",,"Skype - Mac",,""
"Add contacts you would like to send:",,"Tilføj de kontakter, du vil sende:",,"None",,"All",,"Skype - Mac",,""
"Send",,"Send",,"None",,"All",,"Skype - Mac",,""
"Cancel",,"Annuller",,"None",,"All",,"Skype - Mac",,""
"Call",,"Ring op",,"None",,"All",,"Skype - Mac",,""
"Instant Message…",,"Send chatbesked…",,"None",,"All",,"Skype - Mac",,""
"Send SMS…",,"Send sms…",,"None",,"All",,"Skype - Mac",,""
"Send Photos and Files…",,"Send billeder og filer…",,"None",,"All",,"Skype - Mac",,""
"Send Contacts…",,"Send kontakter…",,"None",,"All",,"Skype - Mac",,""
"Show Profile",,"Vis profil",,"None",,"All",,"Skype - Mac",,""
"Send Video Message…",,"Send videobesked…",,"None",,"All",,"Skype - Mac",,""
"Send Files…",,"Send filer…",,"None",,"All",,"Skype - Mac",,""
"React to Message…",,"Reager på beskeden...",,"None",,"All",,"Skype - Mac",,""
"Last Message",,"Seneste besked",,"None",,"All",,"Skype - Mac",,""
"Beginning",,"Begyndelsen",,"None",,"All",,"Skype - Mac",,""
"Quote Message",,"Citér besked",,"None",,"All",,"Skype - Mac",,""
"Add Image to Photos",,"Føj billede til Billeder",,"None",,"All",,"Skype - Mac",,""
"1 Week",,"1 uge",,"None",,"All",,"Skype - Mac",,""
"Edit Message",,"Rediger besked",,"None",,"All",,"Skype - Mac",,""
"Remove Message",,"Fjern besked",,"None",,"All",,"Skype - Mac",,""
"Show Location",,"Vis placering",,"None",,"All",,"Skype - Mac",,""
"Jump Back",,"Gå tilbage",,"None",,"All",,"Skype - Mac",,""
"Reload",,"Hent igen",,"None",,"All",,"Skype - Mac",,""
"Quote Selection",,"Indsæt markering",,"None",,"All",,"Skype - Mac",,""
"NOTR Look Up %@",,"NOTR Look Up %@",,"None",,"All",,"Skype - Mac",,""
"Speech",,"Tale",,"None",,"All",,"Skype - Mac",,""
"Start Speaking",,"Start oplæsning",,"None",,"All",,"Skype - Mac",,""
"Stop Speaking",,"Stop oplæsning",,"None",,"All",,"Skype - Mac",,""
"1 Year",,"1 år",,"None",,"All",,"Skype - Mac",,""
"Share",,"Del",,"None",,"All",,"Skype - Mac",,""
"1 Month",,"1 måned",,"None",,"All",,"Skype - Mac",,""
"3 Months",,"3 måneder",,"None",,"All",,"Skype - Mac",,""
"6 Months",,"6 måneder",,"None",,"All",,"Skype - Mac",,""
"Copy Image",,"Kopiér billede",,"None",,"All",,"Skype - Mac",,""
"1 Day",,"1 dag",,"None",,"All",,"Skype - Mac",,""
"NOTR Search With %@",,"NOTR Search With %@",,"None",,"All",,"Skype - Mac",,""
"NOTR",,"NOTR",,"None",,"All",,"Skype - Mac",,""
"Copy Map URL",,"Kopiér webadresse til kort",,"None",,"All",,"Skype - Mac",,""
"Copy Location DD°MM’SS”",,"Kopiér placeringen GG°MM’SS”",,"None",,"All",,"Skype - Mac",,""
"Beginning",,"Fra starten",,"None",,"All",,"Skype - Mac",,""
"Get Directions",,"Få rutevejledning",,"None",,"All",,"Skype - Mac",,""
"Copy Location",,"Kopiér placering",,"None",,"All",,"Skype - Mac",,""
"Copy Address",,"Kopiér adresse",,"None",,"All",,"Skype - Mac",,""
"Open in Maps",,"Åbn i Kort",,"None",,"All",,"Skype - Mac",,""
"Reveal in Finder",,"Vis i Finder",,"None",,"All",,"Skype - Mac",,""
"Save Image As…",,"Gem billede som…",,"None",,"All",,"Skype - Mac",,""
"Quick Look",,"Hurtigt gennemsyn",,"None",,"All",,"Skype - Mac",,""
"Open",,"Åbn",,"None",,"All",,"Skype - Mac",,""
"Play",,"Afspil",,"None",,"All",,"Skype - Mac",,""
"Use Image as Desktop Picture",,"Brug billede som skrivebordsbillede",,"None",,"All",,"Skype - Mac",,""
"Last Message",,"Seneste meddelelse",,"None",,"All",,"Skype - Mac",,""
"SMS",,"Sms",,"None",,"All",,"Skype - Mac",,""
"A B C",,"A B C",,"None",,"All",,"Skype - Mac",,""
"D E F",,"D E F",,"None",,"All",,"Skype - Mac",,""
"G H I",,"G H I",,"None",,"All",,"Skype - Mac",,""
"J K L",,"J K L",,"None",,"All",,"Skype - Mac",,""
"M N O",,"M N O",,"None",,"All",,"Skype - Mac",,""
"P Q R S",,"P Q R S",,"None",,"All",,"Skype - Mac",,""
"T U V",,"T U V",,"None",,"All",,"Skype - Mac",,""
"W X Y Z",,"W X Y Z",,"None",,"All",,"Skype - Mac",,""
"star",,"stjerne",,"None",,"All",,"Skype - Mac",,""
"hash",,"firkant",,"None",,"All",,"Skype - Mac",,""
"Save",,"Gem",,"None",,"All",,"Skype - Mac",,""
"Edit Message: NOTR",,"Edit Message: NOTR",,"None",,"All",,"Skype - Mac",,""
"Panel",,"Panel",,"None",,"All",,"Skype - Mac",,""
"Edit Mood Message",,"Rediger humørbesked",,"None",,"All",,"Skype - Mac",,""
"Emergency Call NOTR",,"Emergency Call NOTR",,"None",,"All",,"Skype - Mac",,""
"It appears you are attempting to make an emergency call.\nPlease choose your country: NOTR",,"It appears you are attempting to make an emergency call.\nPlease choose your country: NOTR",,"None",,"All",,"Skype - Mac",,""
"OtherViews",,"OtherViews",,"None",,"All",,"Skype - Mac",,""
"Angel",,"Engel",,"None",,"All",,"Skype - Mac",,""
"Angry",,"Vred",,"None",,"All",,"Skype - Mac",,""
"Bandit",,"Bandit",,"None",,"All",,"Skype - Mac",,""
"Beer",,"Øl",,"None",,"All",,"Skype - Mac",,""
"Big smile",,"Stort smil",,"None",,"All",,"Skype - Mac",,""
"Blushing",,"Rødmer",,"None",,"All",,"Skype - Mac",,""
"Bowing",,"Bukker",,"None",,"All",,"Skype - Mac",,""
"Cake",,"Kage",,"None",,"All",,"Skype - Mac",,""
"Cash",,"Kontanter",,"None",,"All",,"Skype - Mac",,""
"Clapping",,"Klapper",,"None",,"All",,"Skype - Mac",,""
"Coffee",,"Kaffe",,"None",,"All",,"Skype - Mac",,""
"Cool",,"Sej",,"None",,"All",,"Skype - Mac",,""
"Crying",,"Græder",,"None",,"All",,"Skype - Mac",,""
"Dancing",,"Danser",,"None",,"All",,"Skype - Mac",,""
"Devil",,"Djævel",,"None",,"All",,"Skype - Mac",,""
"Doh!",,"Doh!",,"None",,"All",,"Skype - Mac",,""
"Drink",,"Drink",,"None",,"All",,"Skype - Mac",,""
"Dull",,"Kedelig",,"None",,"All",,"Skype - Mac",,""
"Emo",,"Emo",,"None",,"All",,"Skype - Mac",,""
"Envious",,"Misundelig",,"None",,"All",,"Skype - Mac",,""
"Evil",,"Ond",,"None",,"All",,"Skype - Mac",,""
"Facepalm",,"Slår sig for panden",,"None",,"All",,"Skype - Mac",,""
"Fingers crossed",,"Krydser fingre",,"None",,"All",,"Skype - Mac",,""
"Flower",,"Blomst",,"None",,"All",,"Skype - Mac",,""
"Giggle",,"Fniser",,"None",,"All",,"Skype - Mac",,""
"Handshake",,"Håndtryk",,"None",,"All",,"Skype - Mac",,""
"Happy",,"Glad",,"None",,"All",,"Skype - Mac",,""
"Heart",,"Hjerte",,"None",,"All",,"Skype - Mac",,""
"Heidy",,"Heidy",,"None",,"All",,"Skype - Mac",,""
"High five",,"Klør fem",,"None",,"All",,"Skype - Mac",,""
"Hug",,"Knus",,"None",,"All",,"Skype - Mac",,""
"In love",,"Forelsket",,"None",,"All",,"Skype - Mac",,""
"It wasn't me!",,"Det var ikke mig!",,"None",,"All",,"Skype - Mac",,""
"Kiss",,"Kys",,"None",,"All",,"Skype - Mac",,""
"Lalala",,"Lalala",,"None",,"All",,"Skype - Mac",,""
"Make-up",,"Makeup",,"None",,"All",,"Skype - Mac",,""
"Mmmmm...",,"Mmmmm...",,"None",,"All",,"Skype - Mac",,""
"Muscle",,"Muskler",,"None",,"All",,"Skype - Mac",,""
"Music",,"Musik",,"None",,"All",,"Skype - Mac",,""
"My lips are sealed",,"Min mund er lukket",,"None",,"All",,"Skype - Mac",,""
"Nerdy",,"Nørdet",,"None",,"All",,"Skype - Mac",,""
"Ninja",,"Ninja",,"None",,"All",,"Skype - Mac",,""
"No",,"Nej",,"None",,"All",,"Skype - Mac",,""
"Nod",,"Nik",,"None",,"All",,"Skype - Mac",,""
"Party",,"Fest",,"None",,"All",,"Skype - Mac",,""
