PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,"Åbn menuen Mere",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Menuen Mere",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Annuller",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Dine seneste samtaler og beskeder vises her.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Søg",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Skjul indstillinger",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Vis indstillinger",,"None",,"All",,"Skype - iOS",,""
"Done",,"Udført",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Kopieret",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Kopierer",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Mislykkedes",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Forbereder",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Gemt",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Gemmer",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Søg efter en Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"og %d andre",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"%1$d ud af %2$d valgte",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"og %d anden",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Skype-version",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© 2003-2017 Skype & Microsoft\nPatentanmeldt",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,""Skype-navnet, tilknyttede varemærker og logoer og ""S""-logoet er varemærker, der tilhører Skype eller relaterede enheder.\n\nAdvarsel: Dette program er beskyttet af international copyrightlovgivning og internationale traktater. Uautoriseret reproduktion eller distribution af dette program, eller dele heraf, er ulovligt og vil blive retsforfulgt."",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Personoplysninger",,"None",,"All",,"Skype - iOS",,""
"About",,"Om",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Vilkår for anvendelse",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Meddelelser fra tredjepart",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Skype skal have adgang til Kontakter for at kunne vise kontakter fra adressebogen. Gå til Indstillinger, og aktivér Kontakter for at give adgang.",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"Din adressebog er tom",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Indlæser kontakter fra adressebog ...",,"None",,"All",,"Skype - iOS",,""
"No results found for %@",,"Søgningen på %@ gav ikke nogen resultater",,"None",,"All",,"Skype - iOS",,""
"Search address book",,"Søg i adressebog",,"None",,"All",,"Skype - iOS",,""
"Address book",,"Adressebog",,"None",,"All",,"Skype - iOS",,""
"Invite to Skype",,"Inviter til Skype",,"None",,"All",,"Skype - iOS",,""
"To invite friends via email, set up your mail account in device settings first.",,"Konfigurer din mailkonto under enhedsindstillinger for at invitere venner via mail.",,"None",,"All",,"Skype - iOS",,""
"No mail account found",,"Der blev ikke fundet nogen mailkonto",,"None",,"All",,"Skype - iOS",,""
"To invite friends via SMS, check your SIM card is inserted properly and try again.",,"Kontrollér, at dit SIM-kort er korrekt sat i, og prøv igen for at invitere venner via sms.",,"None",,"All",,"Skype - iOS",,""
"No SIM card found",,"SIM-kort ikke fundet",,"None",,"All",,"Skype - iOS",,""
"Standard SMS rates may apply",,"Der bliver muligvis opkrævet almindelig sms-takst",,"None",,"All",,"Skype - iOS",,""
"Via email",,"Via mail",,"None",,"All",,"Skype - iOS",,""
"Via home",,"Via Hjem",,"None",,"All",,"Skype - iOS",,""
"Via mobile",,"Via Mobil",,"None",,"All",,"Skype - iOS",,""
"Via office",,"Via Kontor",,"None",,"All",,"Skype - iOS",,""
"Via other",,"Via Andet",,"None",,"All",,"Skype - iOS",,""
"Loading contacts…",,"Indlæser kontakter...",,"None",,"All",,"Skype - iOS",,""
"Signing in…",,"Logger på...",,"None",,"All",,"Skype - iOS",,""
"Updating…",,"Opdaterer…",,"None",,"All",,"Skype - iOS",,""
"Add to favorites",,"Føj til favoritter",,"None",,"All",,"Skype - iOS",,""
"Choose existing photo",,"Vælg eksisterende billede",,"None",,"All",,"Skype - iOS",,""
"My account",,"Min konto",,"None",,"All",,"Skype - iOS",,""
"Add new favorites via the menu on any contact.",,"Tilføj nye favoritter via menuen for en kontaktperson.",,"None",,"All",,"Skype - iOS",,""
"Remove profile picture",,"Fjern profilbillede",,"None",,"All",,"Skype - iOS",,""
"Remove from favorites",,"Fjern fra favoritter",,"None",,"All",,"Skype - iOS",,""
"Sign out",,"Log af",,"None",,"All",,"Skype - iOS",,""
"Take photo",,"Tag et billede",,"None",,"All",,"Skype - iOS",,""
"There was a problem opening your account, check your network connection and try again.",,"Der opstod et problem med at åbne din konto. Kontrollér netværksforbindelsen, og prøv igen.",,"None",,"All",,"Skype - iOS",,""
""Keep all your favorite people together, <a href=""add-favorites"">add favorites</a>."",,""Du kan samle alle dine favoritpersoner: <a href=""add-favorites"">Føj til favoritter</a>."",,"None",,"All",,"Skype - iOS",,""
"Add favorites",,"Tilføj favoritter",,"None",,"All",,"Skype - iOS",,""
"Add participants",,"Tilføj deltagere",,"None",,"All",,"Skype - iOS",,""
"ADD:",,"Tilføj:",,"None",,"All",,"Skype - iOS",,""
"Invite friends to Skype",,"Inviter venner til Skype",,"None",,"All",,"Skype - iOS",,""
"Already a Skype contact",,"Allerede en Skype-kontaktperson",,"None",,"All",,"Skype - iOS",,""
"Search for people on Skype using their Skype Name, email or full name.",,"Søg efter personer på Skype ved hjælp af deres Skype-navn, mailadresse eller fulde navn.",,"None",,"All",,"Skype - iOS",,""
"No matches found",,"Der blev ikke fundet nogen resultater",,"None",,"All",,"Skype - iOS",,""
"Add contact",,"Tilføj kontakt",,"None",,"All",,"Skype - iOS",,""
"Add photo",,"Tilføj foto",,"None",,"All",,"Skype - iOS",,""
"Your current call will end (please let the other person know) and your new group call will start",,"Dit nuværende opkald afsluttes (husk at give den anden person besked), og dit nye gruppeopkald starter",,"None",,"All",,"Skype - iOS",,""
"Call",,"Ring op",,"None",,"All",,"Skype - iOS",,""
"New group call starting",,"Nye gruppeopkald starter",,"None",,"All",,"Skype - iOS",,""
"Start a new group call",,"Start nyt gruppeopkald",,"None",,"All",,"Skype - iOS",,""
""has created a <a href=""%@"">group conversation.</a>"",,""har oprettet en <a href=""%@"">gruppesamtale.</a>"",,"None",,"All",,"Skype - iOS",,""
"Add people",,"Tilføj personer",,"None",,"All",,"Skype - iOS",,""
"Skype Verified",,"Verificeret af Skype",,"None",,"All",,"Skype - iOS",,""
"Error",,"Fejl",,"None",,"All",,"Skype - iOS",,""
"Allow",,"Tillad",,"None",,"All",,"Skype - iOS",,""
"Already a participant",,"Allerede deltager",,"None",,"All",,"Skype - iOS",,""
"Already on the call",,"Deltager allerede i opkaldet",,"None",,"All",,"Skype - iOS",,""
"Call",,"Opkald",,"None",,"All",,"Skype - iOS",,""
"Voice call",,"Taleopkald",,"None",,"All",,"Skype - iOS",,""
"Call phone numbers",,"Ring til telefonnumre",,"None",,"All",,"Skype - iOS",,""
"Dial pad",,"Tastatur",,"None",,"All",,"Skype - iOS",,""
"Start a new chat on Skype",,"Start en ny chat på Skype",,"None",,"All",,"Skype - iOS",,""
"Start a new chat",,"Start en ny chat",,"None",,"All",,"Skype - iOS",,""
"Video call",,"Videoopkald",,"None",,"All",,"Skype - iOS",,""
"Video Message",,"Videobesked",,"None",,"All",,"Skype - iOS",,""
"Rate app",,"Bedøm appen",,"None",,"All",,"Skype - iOS",,""
"Share the love and leave a rating in the App Store. It'll only take a moment.",,"Del din begejstring, og læg en bedømmelse i App Store. Det tager kun et øjeblik.",,"None",,"All",,"Skype - iOS",,""
"Thank you!",,"Tak!",,"None",,"All",,"Skype - iOS",,""
"Please check your network settings and try again.",,"Kontroller dine netværksindstillinger og prøv igen.",,"None",,"All",,"Skype - iOS",,""
"There was a problem signing in with your Microsoft account, please try again later.",,"Der opstod et problem med at logge på med din Microsoft-konto. Prøv igen senere.",,"None",,"All",,"Skype - iOS",,""
"Your account has been suspended,\n<a href = 'https://go.skype.com/account.recovery.ios'>tap here for more information.</a>",,"Din konto er blevet suspenderet. \n<a href = 'https://go.skype.com/account.recovery.ios'>Tryk her for at få flere oplysninger</a>.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, try reinstalling Skype from the App Store.(%d)",,"Det var ikke muligt at logge på. Prøv at geninstallere Skype fra App Store.(%d)",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, as you have run out of storage space on your device.",,"Det var ikke muligt at logge på, da der ikke er mere lagerplads på din enhed.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please restart your device and try again.(%d)",,"Det var ikke muligt at logge på. Genstart din enhed, og prøv igen.(%d)",,"None",,"All",,"Skype - iOS",,""
"We didn’t recognize your Skype Name or password.",,"Vi kunne ikke genkende dit Skype-navn og adgangskode.",,"None",,"All",,"Skype - iOS",,""
"This email address is invalid.",,"Denne mailadresse er ugyldig.",,"None",,"All",,"Skype - iOS",,""
"Please check and try again.",,"Kontrollér oplysningerne, og prøv igen.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is invalid.",,"Dette Skype-navn er ugyldigt.",,"None",,"All",,"Skype - iOS",,""
"You have been signed out.",,"Du er logget af.",,"None",,"All",,"Skype - iOS",,""
"Your password has been changed, sign in to continue using Skype.",,"Din adgangskode er blevet ændret. Log på for at fortsætte med at bruge Skype.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please try again later.",,"Det var ikke muligt at logge på. Prøv igen senere.",,"None",,"All",,"Skype - iOS",,""
"You cannot sign in to Skype as you do not meet the minimum age limit for your country/region.",,"Du kan ikke logge på Skype, da du ikke opfylder mindstekravet til alder for dit land/område.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is already taken.",,"Dette Skype-navn er allerede taget.",,"None",,"All",,"Skype - iOS",,""
"Please enter a new one.",,"Indtast et nyt.",,"None",,"All",,"Skype - iOS",,""
