PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Afspil",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Åbn brugerdefineret link",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Der opstod en fejl under behandling af anmodningen.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Ikke startet",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Forlad",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Højre panelfane til ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"Udsendelsen starter om et øjeblik",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Klik for at åbne eller lukke navigationsrullemenuen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"Live",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Vi opretter forbindelse til udsendelsen.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"Udsendelsen blev ikke fundet.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Log af",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Pulse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Klik for at skifte panelet til højre",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Billedtekster",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype for Business",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Aktivér cookies i dine browserindstillinger for at sikre, at alle funktioner er tilgængelige.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"Vi henter videooptagelsen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Deltag",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Åbn supportlink",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Afsluttet",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Pause",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Beskyttelse af personlige oplysninger og cookies",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Support",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Fejl :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Spørgsmål og sv&ar",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Installér eller aktivér Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Undertekster fra",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Hent Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Markeret",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Der opstod en ukendt fejl.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Møderække",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Anonym bruger",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Nederste panelfane til ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"Beklager, men du har ikke tilladelse til at deltage i dette møde. Kontakt mødearrangøren.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Mødeudsendelse",,"None",,"All",,"Skype Cast Attendee 2015",,""
