PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Annuller",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Vælg en app til det højre panel",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Tilføj et starttidspunkt",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"Dette mødes video blev publiceret på Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Vi kontrollerer nogle småting. Vi henter dine møder om lidt.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Indstillinger for deltagerside",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Transskribering og oversættelse er aktiveret",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"Starttidspunktet ligger efter sluttidspunktet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Bemærk! Undertekster er i øjeblikket ikke tilgængelige i video i fuld skærm",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Opret Outlook-invitation",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Videotitel",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"kun de deltagere, der er angivet nedenfor, kan deltage i mødet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"Mødeoplysningerne blev ikke hentet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Slet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Genopret dette møde",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"Mødeindkaldelsen er tom.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Opret en videooptagelse til download",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"Mødeudsendelse.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Vis publiceret video",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Rediger mødeoplysningerne",,"None",,"All",,"Skype Cast Organizer 2016",,""
