PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"Gruppens navn må ikke udelukkende bestå af identiske bogstaver",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Gruppens navn er for langt (maks. 40 tegn)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Gruppens navn må ikke udelukkende bestå af tal",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Gruppenavnet er for kort (min. 2 tegn)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"På grund af de seneste ændringer af den saudiarabiske skattelovgivning er Skype fra den 1. januar 2018 omfattet af moms på saudiarabiske kunders køb af Skype-betalte produkter.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"På grund af de seneste ændringer af De Forenede Arabiske Emiraters skattelovgivning er Skype fra den 1. januar 2018 omfattet af moms på kunder i De Forenede Arabiske Emiraters køb af Skype-betalte produkter.",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"Skype-nummeret vil være tilgængeligt om et øjeblik.",,"None",,"All",,"Skype Manager",,""
"Channel subscription will be available in a few minutes.",,"Kanalabonnementet vil være tilgængeligt om et øjeblik.",,"None",,"All",,"Skype Manager",,""
"Skype Premium will be available soon.",,"Skype Premium er snart tilgængelig.",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"Abonnementet vil være tilgængeligt om et øjeblik.",,"None",,"All",,"Skype Manager",,""
"Voice messaging will be available in a few minutes.",,"Voicemail vil være tilgængeligt om et øjeblik.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Mindre end sidste måned",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Mere end sidste måned",,"None",,"All",,"Skype Manager",,""
"Accept",,"Accepter",,"None",,"All",,"Skype Manager",,""
"Activate",,"Aktiver",,"None",,"All",,"Skype Manager",,""
"Activate / change",,"Aktiver/skift",,"None",,"All",,"Skype Manager",,""
"Add",,"Tilføj",,"None",,"All",,"Skype Manager",,""
"Add another email address",,"Tilføj en anden e-mail-adresse",,"None",,"All",,"Skype Manager",,""
"Add new subscription",,"Tilføj et nyt abonnement",,"None",,"All",,"Skype Manager",,""
"Add to Skype contact list",,"Føj til liste over Skype-kontaktpersoner",,"None",,"All",,"Skype Manager",,""
"I want to access the reports",,"Jeg ønsker adgang til rapporterne",,"None",,"All",,"Skype Manager",,""
"Agree",,"Acceptér",,"None",,"All",,"Skype Manager",,""
"Allocate / change subscriptions",,"Tildel/rediger abonnementer",,"None",,"All",,"Skype Manager",,""
"Allocate a Skype Number",,"Tildel et Skype-numre",,"None",,"All",,"Skype Manager",,""
"Allocate group video calling",,"Tildel gruppevideosamtaler",,"None",,"All",,"Skype Manager",,""
"Allocate Skype Premium",,"Tildel Skype Premium",,"None",,"All",,"Skype Manager",,""
"Allocate subscriptions",,"Tildel abonnementer",,"None",,"All",,"Skype Manager",,""
"Buy now and make changes",,"Køb nu, og foretag ændringer",,"None",,"All",,"Skype Manager",,""
"Buy credit",,"Overfør penge",,"None",,"All",,"Skype Manager",,""
"Buy more credit",,"Overfør flere penge",,"None",,"All",,"Skype Manager",,""
"Buy a Skype Number",,"Køb et Skype-nummer",,"None",,"All",,"Skype Manager",,""
"Buy now and reactivate profile",,"Køb nu, og genaktiver profil",,"None",,"All",,"Skype Manager",,""
"I’ve changed my mind",,"Jeg har ændret mening",,"None",,"All",,"Skype Manager",,""
"Cancel",,"Annuller",,"None",,"All",,"Skype Manager",,""
"Cancel US minute bundles",,"Annuller taletidspakker til USA",,"None",,"All",,"Skype Manager",,""
"Cancel requests",,"Annuller anmodningerne",,"None",,"All",,"Skype Manager",,""
"Cancel group video calling",,"Annuller gruppevideosamtaler",,"None",,"All",,"Skype Manager",,""
"Cancel Skype Premium",,"Annuller Skype Premium",,"None",,"All",,"Skype Manager",,""
"Cancel subscriptions",,"Annuller abonnementer",,"None",,"All",,"Skype Manager",,""
"Cancel voicemail",,"Annuller voicemail",,"None",,"All",,"Skype Manager",,""
"Change Caller ID",,"Rediger nummervisning",,"None",,"All",,"Skype Manager",,""
"Change US minute bundles",,"Rediger taletidspakker til USA",,"None",,"All",,"Skype Manager",,""
"Change subscription",,"Skift abonnement",,"None",,"All",,"Skype Manager",,""
"Clear number",,"Ryd nummer",,"None",,"All",,"Skype Manager",,""
"Close",,"Luk",,"None",,"All",,"Skype Manager",,""
"Complete account creation",,"Fuldfør kontooprettelse ",,"None",,"All",,"Skype Manager",,""
"Confirm",,"Bekræft",,"None",,"All",,"Skype Manager",,""
"Continue",,"Fortsæt",,"None",,"All",,"Skype Manager",,""
"Create accounts",,"Opret konti",,"None",,"All",,"Skype Manager",,""
"Create managed accounts",,"Opret administrerede konti",,"None",,"All",,"Skype Manager",,""
"Create a group",,"Opret gruppe",,"None",,"All",,"Skype Manager",,""
"Create a new account",,"Opret en ny konto",,"None",,"All",,"Skype Manager",,""
"Create your SIP Profile",,"Opret din SIP-profil",,"None",,"All",,"Skype Manager",,""
"Create your Skype account",,"Opret din Skype-konto",,"None",,"All",,"Skype Manager",,""
"Deactivate",,"Deaktiver",,"None",,"All",,"Skype Manager",,""
"Delete account",,"Slet konto",,"None",,"All",,"Skype Manager",,""
"Delete Skype Manager",,"Slet Skype Manager",,"None",,"All",,"Skype Manager",,""
"Delete requests",,"Sletningsanmodninger",,"None",,"All",,"Skype Manager",,""
"Disable Caller ID",,"Deaktiver nummervisning",,"None",,"All",,"Skype Manager",,""
"Discard",,"Kassér ",,"None",,"All",,"Skype Manager",,""
"Download a sample CSV file",,"Hent en CSV-eksempelfil",,"None",,"All",,"Skype Manager",,""
"Extend",,"Forlæng",,"None",,"All",,"Skype Manager",,""
"Extend subscriptions",,"Forlæng abonnementer",,"None",,"All",,"Skype Manager",,""
"Generate report",,"Opret rapport",,"None",,"All",,"Skype Manager",,""
"Get Skype Name",,"Få et Skype-navn",,"None",,"All",,"Skype Manager",,""
"Get started",,"Kom godt i gang",,"None",,"All",,"Skype Manager",,""
"Go",,"Start",,"None",,"All",,"Skype Manager",,""
"Go To PayPal",,"Gå til PayPal",,"None",,"All",,"Skype Manager",,""
"Hide limits",,"Skjul købsgrænser",,"None",,"All",,"Skype Manager",,""
"Show limits",,"Vis købsgrænser",,"None",,"All",,"Skype Manager",,""
"Make changes",,"Foretag ændringer",,"None",,"All",,"Skype Manager",,""
"Move",,"Flyt",,"None",,"All",,"Skype Manager",,""
"Pay now and make changes",,"Betal nu, og foretag ændringer",,"None",,"All",,"Skype Manager",,""
"Pay now",,"Betal nu",,"None",,"All",,"Skype Manager",,""
"Deleting",,"Sletter",,"None",,"All",,"Skype Manager",,""
"Reactivate profile",,"Genaktiver profil",,"None",,"All",,"Skype Manager",,""
"Reactivate subscription",,"Genaktiver abonnement",,"None",,"All",,"Skype Manager",,""
"Reactivate subscriptions",,"Genaktiver abonnementer",,"None",,"All",,"Skype Manager",,""
"Release account",,"Frigiv konto",,"None",,"All",,"Skype Manager",,""
"Remove subscription",,"Fjern abonnement",,"None",,"All",,"Skype Manager",,""
"Resend invites",,"Send invitation igen",,"None",,"All",,"Skype Manager",,""
"Resend activation link",,"Send aktiveringslink igen",,"None",,"All",,"Skype Manager",,""
"Resend requests",,"Send anmodningerne igen",,"None",,"All",,"Skype Manager",,""
"Reset password",,"Nulstil adgangskode",,"None",,"All",,"Skype Manager",,""
"Save and close",,"Gem og luk",,"None",,"All",,"Skype Manager",,""
"Save changes",,"Gem ændringer",,"None",,"All",,"Skype Manager",,""
"Save and activate",,"Gem og aktiver",,"None",,"All",,"Skype Manager",,""
"Take back credit",,"Tilbagefør beløb",,"None",,"All",,"Skype Manager",,""
"See your SIP Profiles",,"Se dine SIP-profiler",,"None",,"All",,"Skype Manager",,""
"Send invites",,"Send invitationer",,"None",,"All",,"Skype Manager",,""
"Send {COUNT} invites",,"Send {COUNT} invitationer",,"None",,"All",,"Skype Manager",,""
"Send request",,"Send anmodning",,"None",,"All",,"Skype Manager",,""
"Send transfer request",,"Send overførselsanmodning",,"None",,"All",,"Skype Manager",,""
"Off",,"Fra",,"None",,"All",,"Skype Manager",,""
"On",,"Til",,"None",,"All",,"Skype Manager",,""
"Set up Caller ID",,"Konfigurer nummervisning",,"None",,"All",,"Skype Manager",,""
"Set up and create profile",,"Opret og konfigurer en profil",,"None",,"All",,"Skype Manager",,""
"Set up call forwarding",,"Opret viderestilling",,"None",,"All",,"Skype Manager",,""
"Set up Skype Manager",,"Konfigurer Skype Manager",,"None",,"All",,"Skype Manager",,""
"Allocate Skype Numbers",,"Tildel Skype-numre",,"None",,"All",,"Skype Manager",,""
" Allocate Skype Credit",,"Tildel penge til Skype-konti",,"None",,"All",,"Skype Manager",,""
"Start adding contacts",,"Begynd at tilføje kontaktpersoner",,"None",,"All",,"Skype Manager",,""
"Stay signed in",,"Forbliv logget på",,"None",,"All",,"Skype Manager",,""
"Use a landline number",,"Brug et fastnetnummer",,"None",,"All",,"Skype Manager",,""
"Use a Skype Number",,"Brug et Skype-nummer",,"None",,"All",,"Skype Manager",,""
"Allocate / Change voicemail",,"Tildel/rediger voicemail",,"None",,"All",,"Skype Manager",,""
"Extend voicemail",,"Forlæng voicemail",,"None",,"All",,"Skype Manager",,""
"Close this list",,"Luk denne liste ",,"None",,"All",,"Skype Manager",,""
