PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat",,"Chat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This message has been edited.",,"Denne besked er redigeret.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Go to {0} team,  {1} channel",,"Gå til teamet {0} og kanalen {1}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Channel was mentioned",,"Kanalen blev omtalt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Team was mentioned",,"Teamet blev omtalt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"You were mentioned",,"Du blev omtalt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message copied",,"Besked kopieret",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message deleted",,"Besked slettet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message liked",,"Du synes godt om beskeden",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message unliked",,"Du synes ikke længere godt om beskeden",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This user has been muted.",,"Denne bruger er ignoreret.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User muted",,"Brugerens lyd er slået fra",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User unmuted",,"Brugerens lyd er slået til",,"Text",,"All",,"SkypeSpaces - iOS",,""
"email",,"mail",,"Text",,"All",,"SkypeSpaces - iOS",,""
"password",,"adgangskode",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in",,"Log på",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign In Error",,"Logonfejl",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in to get started.",,"Log på for at komme i gang.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign out",,"Log af",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Are you sure you want to sign out?",,"Er du sikker på, at du vil logge af?",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing in...",,"Logger på...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing out...",,"Logger af...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Missed call",,"Ubesvaret opkald",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Voicemail",,"Telefonsvarer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Activity",,"Aktivitet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Started a new conversation in {0}",,"Startede en ny samtale i {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Reply to conversation in {0}",,"Svar på samtale i {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Channel",,"Tilføj kanal",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please check your network connection and try again",,"Kontrollér din netværksforbindelse, og prøv igen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Members",,"Tilføj medlemmer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the conversation",,"%@ har føjet %@ til samtalen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"We couldn't add members.",,"Vi kunne ikke tilføje medlemmer.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the meeting",,"%@ føjede %@ til mødet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Invite new user",,"Inviter ny bruger",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people to the meeting.",,"Føj personer til mødet.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people",,"Tilføj personer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Team",,"Tilføj team",,"Text",,"All",,"SkypeSpaces - iOS",,""
