PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add channel",,"Tilføj kanal",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Add member",,"Tilføj medlem",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio",,"Lyd",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Audio, echo, noise...",,"Ingen lyd, ekko, støj...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Speech wasn\'t natural or sounded distorted",,"Tale lød unaturlig eller forvrænget",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The call ended unexpectedly",,"Opkaldet blev afsluttet uventet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard an echo in the call  ",,"Jeg hørte et ekko under opkaldet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"We kept interrupting each other",,"Vi blev ved med at afbryde hinanden",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not invite someone into the call​",,"Jeg kunne ikke invitere andre til opkaldet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Volume was low",,"Lydstyrken var lav",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t hear any sound",,"Jeg kunne ikke høre lyd",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t hear any sound ",,"Den anden part kunne ikke høre lyd",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard noise in the call",,"Jeg hørte støj under opkaldet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"People had trouble joining the call​",,"Andre havde problemer med at deltage i opkaldet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Feedback",,"Feedback på opkald",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Rating",,"Opkaldsvurdering",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d star",,"%1$d stjerne",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rating Star",,"Bedømmelsesstjerne",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d stars",,"%1$d stjerner",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group collapsed",,"%1$s gruppe, skjult",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group expanded",,"%1$s gruppe, udvidet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s selected for feedback",,"%1$s valgt til feedback",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s not selected for feedback",,"%1$s er ikke markeret til feedback",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Presentation",,"Præsentation",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No presentation, kept freezing, large delay...",,"Ingen præsentation, frøs flere gange, stor forsinkelse...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t see any presented content",,"Jeg kunne ikke se noget præsenteret indhold",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"There was a large delay in the presented content",,"Det præsenterede indhold var meget forsinket",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presented content kept freezing",,"Det præsenterede indhold blev ved med at fryse fast",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The image quality of the presented content was poor",,"Det præsenterede indholds billedkvalitet var dårlig",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presentation stopped unexpectedly",,"Præsentationen stoppede uventet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Link not supported.You can not open this link on the mobile app.Please open it on the desktop or web app.",,"Linket er ikke understøttet. Du kan ikke åbne dette link fra mobilappen. Åbn det fra skrivebordet eller webappen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is restored!",,"Chatten er genoprettet!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Select number",,"Vælg nummer",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is hidden!",,"Chatten er skjult!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video",,"Video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Video, poor quality, video stopped...",,"Ingen video, dårlig kvalitet, video stoppet...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video kept freezing",,"Videoen blev ved med at fryse fast",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Image quality was poor",,"Billedkvaliteten var dårlig",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video was ahead or behind audio",,"Videoen var foran eller bagud i forhold til lyden",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not see any video",,"Jeg kunne ikke se video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t see my video",,"Den anden part kunne ikke se min video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side was too dark",,"Den anden part var for mørk",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video stopped unexpectedly",,"Videoen stoppede uventet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Close",,"Luk",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Hang up",,"Læg på",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
