PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"About Skype TX",,"Om Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Switch user",,"Skift bruger",,"Button",,"All",,"Skype TX Client V2",,""
"My Account online",,"Min konto online",,"Button",,"All",,"Skype TX Client V2",,""
"Exit Skype TX",,"Afslut Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Sign in with saved user credentials",,"Log på med gemte brugeroplysninger",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove user and forget saved credentials",,"Fjern bruger, og glem gemte brugeroplysninger",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Main Menu",,"Hovedmenu",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Sign in with a different username and password",,"Log på med et andet brugernavn og adgangskode",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"For more information about",,"Hvis du ønsker yderligere oplysninger om",,"Text",,"All",,"Skype TX Client V2",,""
"using Skype in Media visit",,"brug af Skype in Media, skal du gå til",,"Text",,"All",,"Skype TX Client V2",,""
"media.skype.com",,"media.skype.com",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Servicebetingelser for udsendelse",,"Text",,"All",,"Skype TX Client V2",,""
"Privacy Statement",,"Erklæring om beskyttelse af personlige oplysninger",,"Text",,"All",,"Skype TX Client V2",,""
"Find out more about Skype in Media",,"Få mere at vide om Skype in Media",,"Text",,"All",,"Skype TX Client V2",,""
"Heartbeat (Skype Status)",,"Impuls (Skype-status)",,"Text",,"All",,"Skype TX Client V2",,""
"View Privacy Statement",,"Vis erklæring om beskyttelse af personlige oplysninger",,"Text",,"All",,"Skype TX Client V2",,""
""<run Uid=""Run_10"">Skype TX is a specialized application for the broadcast industry and does not contain the full set of features provided by Skype. For full Skype functionality, please download the latest version at</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,""<run Uid=""Run_10"">Skype TX er en applikation, som er udviklet specifikt til udsendelsesindustrien, og indeholder ikke alle Skypes funktioner. Få al Skypes funktionalitet ved at hente den seneste version på </run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Start Over",,"Start forfra",,"Text",,"All",,"Skype TX Client V2",,""
"Choose an account to sign in:",,"Vælg en konto at logge på med:",,"Text",,"All",,"Skype TX Client V2",,""
"Other user...",,"Anden bruger...",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Signing in to Skype...",,"Logger på Skype...",,"Text",,"All",,"Skype TX Client V2",,""
"© Microsoft 2015-2018",,"© Microsoft 2015-2018",,"Text",,"All",,"Skype TX Client V2",,""
"Configuration",,"Konfiguration",,"Text",,"All",,"Skype TX Client V2",,""
"Channel View",,"Kanalvisning",,"Text",,"All",,"Skype TX Client V2",,""
"Full",,"Fuld",,"Text",,"All",,"Skype TX Client V2",,""
"Compact",,"Kompakt",,"Text",,"All",,"Skype TX Client V2",,""
"End User License Agreement",,"Slutbrugerlicensaftale",,"Button",,"All",,"Skype TX Client V2",,""
"Return to About SkypeTX screen",,"Tilbage til Om SkypeTX",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Version",,"Version",,"Text",,"All",,"Skype TX Client V2",,""
"Review EULA",,"Gennemse SLUTBRUGERLICENSAFTALEN",,"Text",,"All",,"Skype TX Client V2",,""
"© 2015-2018 Skype and/or Microsoft",,"© 2015-2018 Skype og/eller Microsoft",,"Text",,"All",,"Skype TX Client V2",,""
"The Skype name and Skype TX name, associated trademarks, logos and &apos;S&apos; logo are trademarks of Skype or related entities.",,""Skype-navnet og Skype TX-navnet, tilknyttede varemærker, logoer og ""S""-logoet er varemærker tilhørende Skype eller Skype-relaterede enheder."",,"Text",,"All",,"Skype TX Client V2",,""
"Warning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portions of it, may result in severe civil and criminal penalties and will be prosecuted to the maximum extent possible under the law.",,"Advarsel! Dette program er beskyttet af ophavsretlige love og internationale traktater. Uautoriseret gengivelse eller distribution af dette program eller dele heraf er ulovlig og vil blive retsforfulgt.",,"Text",,"All",,"Skype TX Client V2",,""
"Logo Enabled",,"Logo er aktiveret",,"Check Box",,"All",,"Skype TX Client V2",,""
"Show Clock",,"Vis ur",,"Check Box",,"All",,"Skype TX Client V2",,""
"Show Logo",,"Vis logo",,"Check Box",,"All",,"Skype TX Client V2",,""
"Copy information to clipboard",,"Kopiér oplysningerne til udklipsholderen",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Disable all Skype audio processing.",,"Deaktiver al Skype-lydbehandling.",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 9x16 input aspect ratio:  -1 = Left ... 1 = Right",,"Angiv logoets vandrette placering til højde-bredde-forholdet 9x16: -1 = Venstre ... 1 = Højre",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 9x16 input aspect ratio: -1 = Top ... 1 = Bottom",,"Angiv logoets lodrette placering til højde-bredde-forholdet 9x16: -1 = Top ... 1 = Bund",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 3x4 input aspect ratio:  -1 = Left ... 1 = Right",,"Angiv logoets vandrette placering til højde-bredde-forholdet 3x4: -1 = Venstre ... 1 = Højre",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 3x4 input aspect ratio: -1 = Top ... 1 = Bottom",,"Angiv logoets lodrette placering til højde-bredde-forholdet 3x4: -1 = Top ... 1 = Bund",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 4x3 input aspect ratio:  -1 = Left ... 1 = Right",,"Angiv logoets vandrette placering til højde-bredde-forholdet 4x3: -1 = Venstre ... 1 = Højre",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 4x3 input aspect ratio: -1 = Top ... 1 = Bottom",,"Angiv logoets lodrette placering til højde-bredde-forholdet 4x3: -1 = Top ... 1 = Bund",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 16x9 input aspect ratio:  -1 = Left ... 1 = Right",,"Angiv logoets vandrette placering til højde-bredde-forholdet 16x9: -1 = Venstre ... 1 = Højre",,"Tool Tip",,"All",,"Skype TX Client V2",,""
