PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"What's New",,"Nyheder",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"All rights reserved.",,"Alle rettigheder forbeholdes.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About this version",,"Om denne version",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About",,"Om",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with audio only",,"Acceptér indgående opkald med lyd",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with audio only",,"Acceptér med lyd",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with video",,"Acceptér indgående videoopkald",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with video",,"Acceptér med video",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
""Alternatively, click ""Create Account"" to create a new Microsoft account."",,""Du kan også klikke på ""Opret konto"" for at oprette en ny Microsoft-konto."",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No Microsoft account is associated with the email provided. Please check and try again.",,"Der er ikke knyttet en Microsoft-konto til den angivne mailadresse. Kontrollér det, og prøv igen.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Forgot to include someone? No problem - simply add them to the chat here",,"Har du glemt nogen? Intet problem – du skal bare føje dem til chatten her",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Add more people",,"Tilføj flere personer",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Save to local address book",,"Gem i lokalt adressekartotek",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Another user has enabled Skype diagnostic and error reports on this device. These reports are used to troubleshoot issues and may contain personal information such as your name, profile details and chat content.\r\n\r\nIt is recommended that you turn off these reports if you're not experiencing any issues as reports are continuously collected in the background and may affect performance.\r\n\r\nWould you like to disable diagnostic and error reports? Skype will quit and reports will be disabled the next time you launch the app.",,"En anden bruger har aktiveret diagnosticerings- og fejlrapporter for Skype på denne enhed. Disse rapporter bruges til at udføre fejlfinding på problemer, og de kan indeholde personlige oplysninger som f.eks. dit navn, profiloplysninger og chatindhold.\r\n\r\nDet anbefales, at du deaktiverer disse rapporter, hvis du ikke oplever nogen problemer, da der konstant indsamles rapporter i baggrunden, hvilket kan påvirke ydeevnen.\r\n\r\nVil du deaktivere diagnosticerings- og fejlrapporter? Skype vil blive afsluttet, og rapporterne vil blive deaktiveret, næste gang du starter appen.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
