PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Share button language",,"Sprog på Del-knappen",,"None",,"All",,"Skype Web App",,""
"Show share button at",,"Vis Del-knap",,"None",,"All",,"Skype Web App",,""
"both bottom and top",,"både nederst og øverst",,"None",,"All",,"Skype Web App",,""
"bottom of article",,"nederst i artiklen",,"None",,"All",,"Skype Web App",,""
"top of article",,"øverst i artiklen",,"None",,"All",,"Skype Web App",,""
"Button style",,"Knaptypografi",,"None",,"All",,"Skype Web App",,""
"Circle Icon",,"Cirkelikon",,"None",,"All",,"Skype Web App",,""
"Large Share",,"Stor Del",,"None",,"All",,"Skype Web App",,""
"Small Share",,"Lille Del",,"None",,"All",,"Skype Web App",,""
"Square Icon",,"Kvadratisk ikon",,"None",,"All",,"Skype Web App",,""
"Enable share button",,"Aktivér Del-knap",,"None",,"All",,"Skype Web App",,""
"Learn more, check out the {href_start}FAQ{href_end}.",,"Få mere at vide under {href_start}Oftest stillede spørgsmål{href_end}.",,"None",,"All",,"Skype Web App",,""
"Get people sharing and talking about your website on Skype. We've made it faster and easier for people to share content from your site, straight into a Skype chat. It is easy to integrate and supports both desktop and mobile sites.",,"Få folk i gang med at dele og tale om dit websted på Skype. Vi har gjort det hurtigere og nemmere for folk at dele indhold fra dit websted direkte i en Skype-chat. Det er nemt at integrere, og det understøttes til websteder på både mobilenheder.",,"None",,"All",,"Skype Web App",,""
"Skype share button options",,"Indstillinger for knappen Del i Skype",,"None",,"All",,"Skype Web App",,""
"Skype share button",,"Knappen Del i Skype",,"None",,"All",,"Skype Web App",,""
