PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Launching Skype for Business Client",,"Starter Skype for Business-klient",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please check with your event organizer if this continues to happen.",,"Vi kunne ikke oprette forbindelse til begivenheden. Det kan være midlertidigt. Kontakt arrangøren, hvis problemet fortsætter.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to manage the event",,"for at administrere begivenheden",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join Meeting",,"Deltag i mødet",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the event isn’t valid. Please check with your event organizer.",,"Det link, du bruger for at deltage i begivenheden, er ikke gyldigt. Kontakt arrangøren af begivenheden.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invalid Name or Email address",,"Ugyldigt navn eller ugyldig mailadresse",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join The Meeting",,"Deltag i mødet",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Microsoft Corporation. All rights reserved.",,"Microsoft Corporation. Alle rettigheder forbeholdes.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble helping you join as Event team member.",,"Vi kan ikke hjælpe dig med at deltage som medlem af arrangørgruppen.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble activating broadcast meeting.",,"Vi har problemer med at aktivere mødeudsendelse.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join the event",,"Deltag i begivenheden",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Open the event dashboard",,"Åbn dashboardet for begivenheden",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"if you don't have Skype for Business installed",,"hvis du ikke har Skype for Business installeret",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"English",,"Dansk",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting as event team member. Please request access from the meeting organizer or sign in using a different account.",,"Du har ikke tilladelse til at deltage i mødet som medlem af arrangørgruppen. Anmod mødearrangøren om at få adgang, eller log på med en anden konto.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Have you successfully launched the app? Feel free to close this page.",,"Har du startet appen? Luk bare denne side.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"You're about to join the meeting ${meetingName} as a guest",,"Du er ved at deltage i mødet ${meetingName} som gæst",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event due to network issues. Please try again later.",,"Vi kunne ikke oprette forbindelse til begivenheden på grund af netværksproblemer. Prøv igen senere.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please try it again.",,"Vi kunne ikke oprette forbindelse til begivenheden. Det kan være midlertidigt. Prøv igen.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Privacy and Cookies",,"Beskyttelse af personlige oplysninger og cookies",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Launching ...",,"Starter...",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The operating system or browser that you are using to join the meeting is not supported.",,"Det operativsystem eller den browser, du bruger til at deltage i mødet, understøttes ikke.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Let's go!",,"Kom med!",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. The meeting may have ended. Please check with your event organizer.",,"Vi kunne ikke oprette forbindelse til begivenheden. Mødet er muligvis slut. Kontakt arrangøren.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble launching Skype For Business.",,"Vi har problemer med at starte Skype For Business.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
