PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"om",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"Om tredjepartskomponenter",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"Der er for mange resultater. Prøv at afgrænse søgningen.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"Vi kan ikke oprette forbindelse til serveren. Prøv igen senere.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"Ingen resultater",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Log på for at søge i firmaadressekartoteket.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Søger i firmaadressekartoteket...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Acceptér",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Vigtigt",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Følsom",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Ulæst meddelelse",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Vælg status",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
