PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Video problem",,"Der er problemer med video",,"None",,"All",,"Skype for Surface RT",,""
"Video problem. Send audio/video from your last call plus logs.",,"Der er problemer med video. Send lyd/video fra dit sidste opkald samt logge.",,"None",,"All",,"Skype for Surface RT",,""
"I accept the terms and conditions",,"Jeg accepterer vilkår og betingelser",,"None",,"All",,"Skype for Surface RT",,""
"{0} - Press enter or space for call controls",,"{0} - Tryk på enter eller mellemrumstasten for at åbne opkaldsindstillingerne",,"None",,"All",,"Skype for Surface RT",,""
"Call",,"Opkald",,"None",,"All",,"Skype for Surface RT",,""
"Add all invitees",,"Tilføj alle, der er inviteret",,"None",,"All",,"Skype for Surface RT",,""
"All Invitees",,"Alle, der er inviteret",,"None",,"All",,"Skype for Surface RT",,""
"Add",,"Tilføj",,"None",,"All",,"Skype for Surface RT",,""
"People",,"Personer",,"None",,"All",,"Skype for Surface RT",,""
"Find someone or dial a number",,"Find en person, eller indtast nummer",,"None",,"All",,"Skype for Surface RT",,""
"Add online participants",,"Tilføj onlinedeltagere",,"None",,"All",,"Skype for Surface RT",,""
"Admit all",,"Giv alle adgang",,"None",,"All",,"Skype for Surface RT",,""
"Admit",,"Giv adgang",,"None",,"All",,"Skype for Surface RT",,""
"1 of {0}:",,"1 af {0}:",,"None",,"All",,"Skype for Surface RT",,""
"Allow",,"Tillad",,"None",,"All",,"Skype for Surface RT",,""
"Allow this participant into the meeting",,"Tillad denne deltager adgang til mødet",,"None",,"All",,"Skype for Surface RT",,""
"Content",,"Indhold",,"None",,"All",,"Skype for Surface RT",,""
"New messages",,"Nye beskeder",,"None",,"All",,"Skype for Surface RT",,""
"Message",,"Besked",,"None",,"All",,"Skype for Surface RT",,""
"Roster",,"Liste",,"None",,"All",,"Skype for Surface RT",,""
"Join {0} scheduled meeting {1}",,"Deltag i det planlagte møde {0} klokken {1}",,"None",,"All",,"Skype for Surface RT",,""
"Back",,"Tilbage",,"None",,"All",,"Skype for Surface RT",,""
"Attendee",,"Deltager",,"None",,"All",,"Skype for Surface RT",,""
"Send audio from your last call plus logs",,"Send lyd fra dit sidste opkald samt logge",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem",,"Der er problemer med lyd",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem. Send audio from your last call plus logs.",,"Der er problemer med lyd. Send lyd fra dit sidste opkald samt logge.",,"None",,"All",,"Skype for Surface RT",,""
"Auto Camera Switching",,"Automatisk skift af kamera",,"None",,"All",,"Skype for Surface RT",,""
"Your device isn’t set up for email. Please contact your support team.",,"Din enhed er ikke konfigureret til mail. Kontakt dit supportteam.",,"None",,"All",,"Skype for Surface RT",,""
"Nothing's scheduled for the rest of the day.",,"Der er ikke planlagt noget resten af dagen.",,"None",,"All",,"Skype for Surface RT",,""
"Getting your calendar…",,"Henter din kalender...",,"None",,"All",,"Skype for Surface RT",,""
"Calendar is unavailable",,"Kalenderen er ikke tilgængelig",,"None",,"All",,"Skype for Surface RT",,""
"Call Ended",,"Opkaldet er afsluttet",,"None",,"All",,"Skype for Surface RT",,""
"This call is on hold.",,"Dette opkald er i venteposition.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality isn't great",,"Netværkskvaliteten er ikke særlig god",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is pretty bad",,"Netværkskvaliteten er dårlig",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is good",,"Netværkskvaliteten er god",,"None",,"All",,"Skype for Surface RT",,""
"Camera options",,"Kameraindstillinger",,"None",,"All",,"Skype for Surface RT",,""
"Cancel",,"Annuller",,"None",,"All",,"Skype for Surface RT",,""
"Center Camera Only",,"Kun midterste kamera",,"None",,"All",,"Skype for Surface RT",,""
"Chat Input conversation with zero participants||Chat Input conversation with one participant||Chat Input conversation with {0} participants",,"Chatsamtale uden deltagere||Chatsamtale med 1 deltager||Chatsamtale med {0} deltagere",,"None",,"All",,"Skype for Surface RT",,""
