PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"SMS-Benachrichtigungen aktivieren",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"Ihr Skype-Guthaben beträgt",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Fügen Sie Ihre private Telefonnummer hinzu, damit Ihre Kontakte mehr Möglichkeiten haben, Sie zu kontaktieren",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Fügen Sie Ihre Handynummer hinzu, damit Ihre Kontakte mehr Möglichkeiten haben, Sie zu kontaktieren",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Fügen Sie Ihre geschäftliche Telefonnummer hinzu, damit Ihre Kontakte mehr Möglichkeiten haben, Sie zu kontaktieren",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Zurück zu Fußnote 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Zurück zu Fußnote 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Zurück zu Fußnote 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Zurück zu Fußnote 4",,"Text",,"All",,"Commerce Server",,""
"Delete phone number: {NUMBER}",,"Rufnummer löschen: {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"No, don't delete number {NUMBER}",,"Nein, Nummer nicht löschen {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Yes, delete number {NUMBER}",,"Ja, Nummer löschen {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Cancel and return to account overview page",,"Abbrechen und zur Kontoübersichtsseite zurückkehren",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,"{PACKAGE_NAME}-Abonnement stornieren",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Facebook-Kennwort zurücksetzen oder ändern",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Microsoft-Kennwort zurücksetzen oder ändern",,"Text",,"All",,"Commerce Server",,""
"Change Skype password",,"Skype-Kennwort ändern",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Bei Anrufen an Telefone anzuzeigende Nummer",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Bestätigungscode",,"Text",,"All",,"Commerce Server",,""
"Close pop-up",,"Popupfenster schließen",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Land/Region",,"Text",,"All",,"Commerce Server",,""
