PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"5 Design Student Spaces",,"5 Kursteilnehmerbereiche entwerfen",,"Text",,"All",,"Duet Enterprise",,""
""Click the <b>""X""</b> to report an incorrect translation."",,""Klicken Sie auf das <b>""X""</b>, um eine fehlerhafte Übersetzung zu melden."",,"Text",,"All",,"Duet Enterprise",,""
"AutoSearch",,"AutoSuchen",,"Text",,"All",,"Duet Enterprise",,""
"SAMPLE DATA",,"BEISPIELDATEN",,"Text",,"All",,"Duet Enterprise",,""
"You are not using compatible version of Office",,"Sie verwenden keine kompatible Version von Office.",,"Text",,"All",,"Duet Enterprise",,""
"Settings",,"Einstellungen",,"Text",,"All",,"Duet Enterprise",,""
"Binding functionality is only available inside of Excel.",,"Bindungsfunktionalität ist nur in Excel verfügbar.",,"Text",,"All",,"Duet Enterprise",,""
"Great! We'll create {0} for you. Here's what will be inside:",,""Sehr gut. Wir erstellen ""{0}"" für Sie. Es wird folgenden Inhalt haben:"",,"Text",,"All",,"Duet Enterprise",,""
"Seattle",,"Seattle",,"Text",,"All",,"Duet Enterprise",,""
"Shape 11",,"Form 11",,"Text",,"All",,"Duet Enterprise",,""
