PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Category",,"Kategorie",,"None",,"All",,"InfoPath",,""
"Specify the category of this file.",,"Geben Sie die Kategorie dieser Datei an.",,"None",,"All",,"InfoPath",,""
"Upload Data Connection File",,"Datenverbindungsdatei hochladen",,"None",,"All",,"InfoPath",,""
"Select File",,"Datei auswählen",,"None",,"All",,"InfoPath",,""
"Browse to the data connection file you intend to upload.",,"Wechseln Sie zur Datenverbindungsdatei, die Sie hochladen möchten.",,"None",,"All",,"InfoPath",,""
"File name:",,"Dateiname:",,"None",,"All",,"InfoPath",,""
"Choose a file to upload",,"Hochzuladende Datei auswählen",,"None",,"All",,"InfoPath",,""
"Overwrite the file if it already exists",,"Datei überschreiben, falls bereits vorhanden",,"None",,"All",,"InfoPath",,""
"u",,"u",,"None",,"All",,"InfoPath",,""
"Upload",,"Hochladen",,"None",,"All",,"InfoPath",,""
"Allow HTTP access to this file",,"HTTP-Zugriff auf Datei zulassen",,"None",,"All",,"InfoPath",,""
"Web Accessibility",,"Webzugriff",,"None",,"All",,"InfoPath",,""
"Select whether clients such as Microsoft InfoPath can access this file over HTTP.",,"Legen Sie fest, ob von Clients wie Microsoft InfoPath über HTTP auf diese Datei zugegriffen werden kann.",,"None",,"All",,"InfoPath",,""
"Activate to a Site Collection",,"Für Websitesammlung aktivieren",,"None",,"All",,"InfoPath",,""
"Deactivate from a Site Collection",,"Für Websitesammlung deaktivieren",,"None",,"All",,"InfoPath",,""
"Edit Data Connection File",,"Datenverbindungsdatei bearbeiten",,"None",,"All",,"InfoPath",,""
"View Properties",,"Eigenschaften anzeigen",,"None",,"All",,"InfoPath",,""
