PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"en-us",,"de-de",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Menu > Microsoft Teams > Show All",,"Menü > Microsoft Teams > Alle anzeigen",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We just need you to sign in, and then we'll get you to your meeting.",,"Melden Sie sich an, damit wir Sie zu Ihrer Besprechung weiterleiten können.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Quit",,"Beenden",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Restart",,"Neu starten",,"Text",,"All",,"Microsoft Teams for Mac",,""
"D'oh! Something went wrong...",,"Oje! Leider ist etwas schiefgegangen ...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Having trouble? Tell us about it.",,"Sind Probleme aufgetreten? Informieren Sie uns bitte.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Get Latest",,"Neueste abrufen",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You’re using an unsupported version of Microsoft Teams",,"Sie verwenden eine nicht unterstützte Version von Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You've got the latest updates. Enjoy!",,"Sie verfügen über die neuesten Updates. Viel Spaß!",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Looks like a few files are missing; re-install Microsoft Teams to try again.",,"Es scheinen einige Dateien zu fehlen; installieren Sie Microsoft Teams erneut, um es noch einmal zu versuchen.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Couldn’t finish installing",,"Installation konnte nicht abgeschlossen werden",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hang tight! We’re getting you connected.",,"Bleiben Sie dran! Die Verbindung wird hergestellt.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authentication failed",,"Authentifizierung fehlgeschlagen",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Modern authentication failed here, but you'll still be able to sign in. Your status code is {0}.",,"Die moderne Authentifizierung ist hier fehlgeschlagen, aber Sie können sich trotzdem anmelden. Ihr Statuscode lautet {0}.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Sorry, we're having connection issues.",,"Leider sind Verbindungsprobleme aufgetreten.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Go ahead and log in.",,"Nur zu, melden Sie sich an.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Login to Microsoft Teams",,"Bei Microsoft Teams anmelden",,"Text",,"All",,"Microsoft Teams for Mac",,""
"There's a more permanent way to sign in to Microsoft Teams. If you're having trouble completing the process, talk to your IT admin.",,"Es gibt eine dauerhaftere Möglichkeit der Anmeldung bei Microsoft Teams. Wenn Sie beim Abschließen des Prozesses Probleme haben, wenden Sie sich an den IT-Administrator.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Let's get you up and running...",,"Die Vorbereitungen laufen, damit Sie beginnen können...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authenticate",,"Authentifizieren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Please select a certificate to authenticate yourself to {0}",,"Wählen Sie ein Zertifikat aus, um sich selbst bei {0} zu authentifizieren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Select a certificate",,"Zertifikat auswählen",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We're sorry, but something went wrong. Please try again.",,"Leider ist ein Problem aufgetreten. Bitte versuchen Sie es erneut.",,"Text",,"All",,"Microsoft Teams for Mac",,""
