PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Wir arbeiten an einer möglichst raschen Wiederherstellung.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"Ihre Aktivitäten können nicht abgerufen werden.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,"Bleiben Sie auf dem Laufenden mit relevanten Aktivitäten wie Erwähnungen, Gefällt mir und Antworten.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Hier finden Sie Ihre Benachrichtigungen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"Wir können Ihre Aktivitäten jetzt nicht aktualisieren",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"hat Sie einem nicht verfügbaren Kanal hinzugefügt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"hat Sie einem nicht verfügbaren Team hinzugefügt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"Ein nicht verfügbarer Kanal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"ein nicht verfügbares Team",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Zu Favoriten hinzufügen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
