PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"Kontaktinformationen",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"Profilbild",,"None",,"All",,"Skype - Mac",,""
"About",,"Info",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Multiline Label",,"None",,"All",,"Skype - Mac",,""
"Label",,"Label",,"None",,"All",,"Skype - Mac",,""
"mood message",,"Persönliche Nachricht",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Listen",,"None",,"All",,"Skype - Mac",,""
"Location",,"Ort",,"None",,"All",,"Skype - Mac",,""
"Time",,"Zeit",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Homepage",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Geschlecht",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Geburtstag",,"None",,"All",,"Skype - Mac",,""
"Language",,"Sprache",,"None",,"All",,"Skype - Mac",,""
"Back",,"Zurück",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Kontakt hinzufügen",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Kopieren",,"None",,"All",,"Skype - Mac",,""
"favorite",,"Favorit",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Kontakte",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Item 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Andere",,"None",,"All",,"Skype - Mac",,""
"Box",,"Box",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Item 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Skype-zertifiziert",,"None",,"All",,"Skype - Mac",,""
"Home",,"Privat",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Handy",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Item 1",,"None",,"All",,"Skype - Mac",,""
"Skype",,"Skype",,"None",,"All",,"Skype - Mac",,""
"Office",,"Geschäftlich",,"None",,"All",,"Skype - Mac",,""
"Window",,"Fenster",,"None",,"All",,"Skype - Mac",,""
"Text Cell",,"Text Cell",,"None",,"All",,"Skype - Mac",,""
"Send Contacts",,"Kontakte senden",,"None",,"All",,"Skype - Mac",,""
"Add contacts you would like to send:",,"Kontakte zum Senden hinzufügen:",,"None",,"All",,"Skype - Mac",,""
"Send",,"Senden",,"None",,"All",,"Skype - Mac",,""
"Cancel",,"Abbrechen",,"None",,"All",,"Skype - Mac",,""
"Call",,"Anrufen",,"None",,"All",,"Skype - Mac",,""
"Instant Message…",,"Sofortnachricht …",,"None",,"All",,"Skype - Mac",,""
