PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,"Das Menü „Mehr“ öffnen",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Menü „Mehr“",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Abbrechen",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Kürzliche Anrufe und Nachrichten werden hier angezeigt.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Suchen",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Weniger Optionen",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Optionen anzeigen",,"None",,"All",,"Skype - iOS",,""
"Done",,"Fertig",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Kopiert",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Foto wird kopiert",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Fehlgeschlagen",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Foto wird vorbereitet",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Gespeichert",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Foto wird gespeichert",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Giphy suchen",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"und %d weitere Personen",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"%1$d von %2$d ausgewählt",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"und %d weitere Person",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Skype-Version",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© 2003-2017 Skype & Microsoft\nPatente angemeldet",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,"Der Name „Skype“, entsprechende Marken und Logos sowie das Symbol „S“ sind Marken von Skype oder verbundenen Unternehmen.\n\nHinweis: Dieses Computerprogramm ist durch Urheberrechtsgesetze und internationale Vereinbarungen geschützt. Unbefugte Vervielfältigung oder unbefugter Vertrieb dieses Programms oder eines Teils davon sind strafbar. Dies wird sowohl straf- als auch zivilrechtlich verfolgt und kann schwere Strafen und Schadenersatzforderungen zur Folge haben.",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Datenschutzrichtlinien",,"None",,"All",,"Skype - iOS",,""
"About",,"Info",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Nutzungsbedingungen",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Hinweise zu Drittanbietern",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Skype benötigt Zugriff auf Kontakte, um Adressbuchkontakte anzuzeigen. Gehen Sie zu „Einstellungen“ und aktivieren Sie den Zugriff auf Kontakte.",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"Ihr Adressbuch ist leer",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Adressbuchkontakte werden geladen...",,"None",,"All",,"Skype - iOS",,""
"No results found for %@",,"Keine Ergebnisse für %@ gefunden",,"None",,"All",,"Skype - iOS",,""
"Search address book",,"Adressbuch durchsuchen",,"None",,"All",,"Skype - iOS",,""
"Address book",,"Adressbuch",,"None",,"All",,"Skype - iOS",,""
"Invite to Skype",,"Zu Skype einladen",,"None",,"All",,"Skype - iOS",,""
"To invite friends via email, set up your mail account in device settings first.",,"Um Freunde per E-Mail einzuladen, müssen Sie zuerst Ihr E-Mail-Konto in den Geräteeinstellungen einrichten.",,"None",,"All",,"Skype - iOS",,""
"No mail account found",,"Kein E-Mail-Konto gefunden",,"None",,"All",,"Skype - iOS",,""
"To invite friends via SMS, check your SIM card is inserted properly and try again.",,"Um Freunde per SMS einzuladen, prüfen Sie, ob Ihre SIM-Karte richtig eingelegt ist, und versuchen Sie es erneut.",,"None",,"All",,"Skype - iOS",,""
"No SIM card found",,"Keine SIM-Karte gefunden",,"None",,"All",,"Skype - iOS",,""
"Standard SMS rates may apply",,"Es können SMS-Standardtarife anfallen",,"None",,"All",,"Skype - iOS",,""
"Via email",,"Per E-Mail",,"None",,"All",,"Skype - iOS",,""
"Via home",,"Per Telefon (privat)",,"None",,"All",,"Skype - iOS",,""
"Via mobile",,"Per Mobiltelefon",,"None",,"All",,"Skype - iOS",,""
"Via office",,"Per Telefon (gesch.)",,"None",,"All",,"Skype - iOS",,""
"Via other",,"Auf anderem Wege",,"None",,"All",,"Skype - iOS",,""
"Loading contacts…",,"Kontakte laden…",,"None",,"All",,"Skype - iOS",,""
"Signing in…",,"Anmelden…",,"None",,"All",,"Skype - iOS",,""
"Updating…",,"Aktualisierung läuft...",,"None",,"All",,"Skype - iOS",,""
"Add to favorites",,"Zu Favoriten hinzufügen",,"None",,"All",,"Skype - iOS",,""
"Choose existing photo",,"Vorhandenes Foto auswählen",,"None",,"All",,"Skype - iOS",,""
"My account",,"Mein Konto",,"None",,"All",,"Skype - iOS",,""
"Add new favorites via the menu on any contact.",,"Fügen Sie neue Favoriten über das Menü eines beliebigen Kontakts hinzu.",,"None",,"All",,"Skype - iOS",,""
"Remove profile picture",,"Profilbild entfernen",,"None",,"All",,"Skype - iOS",,""
"Remove from favorites",,"Aus Favoriten entfernen",,"None",,"All",,"Skype - iOS",,""
"Sign out",,"Abmelden",,"None",,"All",,"Skype - iOS",,""
"Take photo",,"Foto aufnehmen",,"None",,"All",,"Skype - iOS",,""
"There was a problem opening your account, check your network connection and try again.",,"Beim Öffnen Ihres Kontos ist ein Problem aufgetreten, überprüfen Sie Ihre Netzwerkverbindung und versuchen Sie es erneut.",,"None",,"All",,"Skype - iOS",,""
""Keep all your favorite people together, <a href=""add-favorites"">add favorites</a>."",,""Bringen Sie alle Ihre bevorzugten Kontakte zusammen, <a href=""add-favorites"">Favoriten hinzufügen</a>."",,"None",,"All",,"Skype - iOS",,""
"Add favorites",,"Favoriten hinzufügen",,"None",,"All",,"Skype - iOS",,""
"Add participants",,"Teilnehmer hinzufügen",,"None",,"All",,"Skype - iOS",,""
"ADD:",,"Hinzufügen:",,"None",,"All",,"Skype - iOS",,""
"Invite friends to Skype",,"Freunde zu Skype einladen",,"None",,"All",,"Skype - iOS",,""
"Already a Skype contact",,"Bereits ein Skype-Kontakt",,"None",,"All",,"Skype - iOS",,""
"Search for people on Skype using their Skype Name, email or full name.",,"Suchen Sie mit dem Skype-Namen, Vor- und Nachnamen oder der E-Mail-Adresse nach Kontakten bei Skype.",,"None",,"All",,"Skype - iOS",,""
"No matches found",,"Keine Übereinstimmungen gefunden",,"None",,"All",,"Skype - iOS",,""
"Add contact",,"Kontakt hinzufügen",,"None",,"All",,"Skype - iOS",,""
"Add photo",,"Foto hinzufügen",,"None",,"All",,"Skype - iOS",,""
"Your current call will end (please let the other person know) and your new group call will start",,"Ihr aktueller Anruf wird beendet (bitte geben Sie Ihrem Gesprächspartner Bescheid) und Ihr neuer Gruppenanruf wird gestartet",,"None",,"All",,"Skype - iOS",,""
"Call",,"Anrufen",,"None",,"All",,"Skype - iOS",,""
"New group call starting",,"Neuer Gruppenanruf wird gestartet",,"None",,"All",,"Skype - iOS",,""
"Start a new group call",,"Neuen Gruppenanruf starten",,"None",,"All",,"Skype - iOS",,""
""has created a <a href=""%@"">group conversation.</a>"",,""hat eine <a href=""%@"">Gruppenunterhaltung</a> erstellt."",,"None",,"All",,"Skype - iOS",,""
"Add people",,"Kontakte hinzufügen",,"None",,"All",,"Skype - iOS",,""
"Skype Verified",,"Skype-zertifiziert",,"None",,"All",,"Skype - iOS",,""
"Error",,"Fehler",,"None",,"All",,"Skype - iOS",,""
"Allow",,"Zulassen",,"None",,"All",,"Skype - iOS",,""
"Already a participant",,"Bereits ein Teilnehmer",,"None",,"All",,"Skype - iOS",,""
"Already on the call",,"Bereits ein Teilnehmer",,"None",,"All",,"Skype - iOS",,""
"Call",,"Anruf",,"None",,"All",,"Skype - iOS",,""
"Voice call",,"Sprachanruf",,"None",,"All",,"Skype - iOS",,""
"Call phone numbers",,"Telefonnummern wählen",,"None",,"All",,"Skype - iOS",,""
"Dial pad",,"Wähltasten",,"None",,"All",,"Skype - iOS",,""
"Start a new chat on Skype",,"Einen neuen Chat über Skype starten",,"None",,"All",,"Skype - iOS",,""
"Start a new chat",,"Einen neuen Chat starten",,"None",,"All",,"Skype - iOS",,""
"Video call",,"Videoanruf",,"None",,"All",,"Skype - iOS",,""
"Video Message",,"Videonachricht",,"None",,"All",,"Skype - iOS",,""
"Rate app",,"App bewerten",,"None",,"All",,"Skype - iOS",,""
"Share the love and leave a rating in the App Store. It'll only take a moment.",,"Teilen Sie Ihre Begeisterung und hinterlassen Sie eine Bewertung im App Store. Es dauert auch nicht lange.",,"None",,"All",,"Skype - iOS",,""
"Thank you!",,"Vielen Dank!",,"None",,"All",,"Skype - iOS",,""
"Please check your network settings and try again.",,"Bitte Netzwerkeinstellungen überprüfen und erneut versuchen.",,"None",,"All",,"Skype - iOS",,""
"There was a problem signing in with your Microsoft account, please try again later.",,"Bei der Anmeldung mit einem Microsoft-Konto ist ein Fehler aufgetreten, versuchen Sie es später erneut.",,"None",,"All",,"Skype - iOS",,""
"Your account has been suspended,\n<a href = 'https://go.skype.com/account.recovery.ios'>tap here for more information.</a>",,"Ihr Konto wurde vorübergehend gesperrt.\n<a href = 'https://go.skype.com/account.recovery.ios'>Tippen Sie hier für weitere Informationen</a>.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, try reinstalling Skype from the App Store.(%d)",,"Anmeldung nicht möglich. Installieren Sie Skype erneut aus dem App Store.(%d)",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, as you have run out of storage space on your device.",,"Anmeldung nicht möglich, da der Speicherplatz auf Ihrem Gerät nicht ausreicht.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please restart your device and try again.(%d)",,"Anmeldung nicht möglich, bitte starten Sie Ihr Gerät neu und versuchen Sie es erneut.(%d)",,"None",,"All",,"Skype - iOS",,""
"We didn’t recognize your Skype Name or password.",,"Skype-Name oder Kennwort wurden nicht erkannt.",,"None",,"All",,"Skype - iOS",,""
"This email address is invalid.",,"Die E-Mail-Adresse ist ungültig.",,"None",,"All",,"Skype - iOS",,""
"Please check and try again.",,"Überprüfen Sie Ihre Eingabe und versuchen Sie es erneut.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is invalid.",,"Der Skype-Name ist ungültig.",,"None",,"All",,"Skype - iOS",,""
"You have been signed out.",,"Sie wurden abgemeldet.",,"None",,"All",,"Skype - iOS",,""
"Your password has been changed, sign in to continue using Skype.",,"Ihr Kennwort wurde geändert. Melden Sie sich an, um Skype weiterhin zu nutzen.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please try again later.",,"Anmeldung nicht möglich, bitte versuchen Sie es später erneut.",,"None",,"All",,"Skype - iOS",,""
"You cannot sign in to Skype as you do not meet the minimum age limit for your country/region.",,"Sie können sich nicht bei Skype anmelden, da Sie unterhalb der Altersbeschränkung für Ihr Land/Ihre Region liegen.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is already taken.",,"Skype-Name bereits vergeben.",,"None",,"All",,"Skype - iOS",,""
"Please enter a new one.",,"Bitte ein neues eingeben.",,"None",,"All",,"Skype - iOS",,""
"You've tried to sign in too many times.",,"Sie haben zu viele Anmeldeversuche unternommen.",,"None",,"All",,"Skype - iOS",,""
"Please try again later.",,"Bitte versuchen Sie es später erneut.",,"None",,"All",,"Skype - iOS",,""
"This password is invalid.",,"Dieses Kennwort ist ungültig.",,"None",,"All",,"Skype - iOS",,""
"This version of Skype is not supported.",,"Diese Skype-Version wird nicht unterstützt.",,"None",,"All",,"Skype - iOS",,""
"Update to the latest version of Skype to continue.",,"Aktualisieren Sie auf die neueste Skype-Version, um fortzufahren.",,"None",,"All",,"Skype - iOS",,""
"New contact request from %@.",,"Neue Kontaktanfrage von %@.",,"None",,"All",,"Skype - iOS",,""
"Call from %@",,"Anruf von %@",,"None",,"All",,"Skype - iOS",,""
"Group call from %@",,"Gruppen-Anruf mit %@",,"None",,"All",,"Skype - iOS",,""
"Missed group call from %@",,"Verpasster Gruppenanruf von %@",,"None",,"All",,"Skype - iOS",,""
"Missed call from %@.",,"Verpasster Anruf von %@.",,"None",,"All",,"Skype - iOS",,""
"Video message from %@.",,"Videonachricht von %@.",,"None",,"All",,"Skype - iOS",,""
"Video call from %@",,"Videoanruf von %@",,"None",,"All",,"Skype - iOS",,""
"New voice message from %@.",,"Neue Sprachnachricht von %@.",,"None",,"All",,"Skype - iOS",,""
"Back",,"Zurück",,"None",,"All",,"Skype - iOS",,""
"Find a bot",,"Bot suchen",,"None",,"All",,"Skype - iOS",,""
"Shared %@",,"Freigegeben %@",,"None",,"All",,"Skype - iOS",,""
"%@\n%@\nLearn more about this bot: https://join.skype.com/bot/%@",,"%@\n%@\nWeitere Informationen zu diesem Bot: https://join.skype.com/bot/%@",,"None",,"All",,"Skype - iOS",,""
"muted",,"Stummgeschaltet",,"None",,"All",,"Skype - iOS",,""
"on hold",,"Wird gehalten",,"None",,"All",,"Skype - iOS",,""
"Receive incoming calls on your lock screen and make Skype calls from your device’s contact list.",,"Erhalten Sie eingehende Anrufe auf Ihrem Sperrbildschirm und tätigen Sie Skype-Anrufe über die Kontaktliste des Geräts.",,"None",,"All",,"Skype - iOS",,""
"Integrated calling",,"Integrierte Anrufe",,"None",,"All",,"Skype - iOS",,""
"Calling",,"Anrufen",,"None",,"All",,"Skype - iOS",,""
"You may turn ON or OFF integrated calling at any time in Settings (under My info).",,"Sie können integrierte Anrufe jederzeit in den Einstellungen aktivieren oder deaktivieren (unter „Mein Profil“).",,"None",,"All",,"Skype - iOS",,""
"Integrated calling is OFF.",,"Integrierte Anrufe sind deaktiviert.",,"None",,"All",,"Skype - iOS",,""
"Beware: with integrated calling ON, pressing the lock button while in a call will hang up.",,"Achtung: Wenn integrierte Anrufe aktiviert sind, wird bei Drücken der Sperrtaste während eines Anrufs aufgelegt.",,"None",,"All",,"Skype - iOS",,""
"Tap below to call any of your friends, including those not on Skype.",,"Tippen Sie unten, um Ihre Freunde anzurufen, selbst wenn sie keine Skype-Benutzer sind.",,"None",,"All",,"Skype - iOS",,""
"You've got Skype Credit!",,"Sie haben Skype-Guthaben!",,"None",,"All",,"Skype - iOS",,""
"Add to call",,"Zum Anruf hinzufügen",,"None",,"All",,"Skype - iOS",,""
"Answer",,"Annehmen",,"None",,"All",,"Skype - iOS",,""
"Decline",,"Ablehnen",,"None",,"All",,"Skype - iOS",,""
"Call duration",,"Anrufdauer",,"None",,"All",,"Skype - iOS",,""
"d",,"Tage",,"None",,"All",,"Skype - iOS",,""
"d",,"Tag",,"None",,"All",,"Skype - iOS",,""
"h",,"Std.",,"None",,"All",,"Skype - iOS",,""
"min",,"Min.",,"None",,"All",,"Skype - iOS",,""
"s",,"Sek.",,"None",,"All",,"Skype - iOS",,""
"End call",,"Anruf beenden",,"None",,"All",,"Skype - iOS",,""
"Call, blocked",,"Anruf, blockiert",,"None",,"All",,"Skype - iOS",,""
"Call, busy",,"Anruf, besetzt",,"None",,"All",,"Skype - iOS",,""
"Call failed",,"Anruf fehlgeschlagen",,"None",,"All",,"Skype - iOS",,""
"Call, %@",,"Anruf, %@",,"None",,"All",,"Skype - iOS",,""
"Missed call",,"Verpasster Anruf",,"None",,"All",,"Skype - iOS",,""
"Call, no answer",,"Anruf, keine Antwort",,"None",,"All",,"Skype - iOS",,""
"Hang up",,"Auflegen",,"None",,"All",,"Skype - iOS",,""
"Call is being forwarded…",,"Anruf wird weitergeleitet…",,"None",,"All",,"Skype - iOS",,""
"Skype",,"Skype",,"None",,"All",,"Skype - iOS",,""
"Phone",,"Telefon",,"None",,"All",,"Skype - iOS",,""
"Call phone",,"Telefon anrufen",,"None",,"All",,"Skype - iOS",,""
"<a href=''>Rate us on the app store?</a>",,"<a href=''>Möchten Sie uns im App Store bewerten?</a>",,"None",,"All",,"Skype - iOS",,""
