PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Wiedergeben",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Benutzerdefinierten Link öffnen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Fehler beim Verarbeiten der Anforderung.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Nicht gestartet",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Verlassen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Registerkarte rechts für ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"Übertragung wird umgehend gestartet",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Klicken, um das Dropdownmenü für die Navigation einzublenden",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"Live",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Wir verbinden Sie mit der Übertragung.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"Die Übertragung wurde nicht gefunden.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Abmelden",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Impuls",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Klicken, um den rechten Anzeigebereich umzuschalten",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Beschriftungen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype for Business",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Erlauben Sie Cookies in Ihren Browser-Einstellungen, um sicherzustellen, dass alle Funktionen zur Verfügung stehen.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"Wir erhalten die Videoaufnahme",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Teilnehmen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Supportlink öffnen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Beendet",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Anhalten",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Datenschutz und Cookies",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Support",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Fehler :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"F&A",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Adobe Flash Player installieren oder aktivieren",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Untertitel ausschalten",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Adobe Flash Player herunterladen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Ausgewählt",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Es ist ein unbekannter Fehler aufgetreten.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Besprechungsserie",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Anonymer Benutzer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Registerkarte unten für ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"Leider dürfen Sie an dieser Besprechung nicht teilnehmen. Wenden Sie sich an den Organisator der Besprechung.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Livekonferenz",,"None",,"All",,"Skype Cast Attendee 2015",,""
