PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Abbrechen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"App für den rechten Bereich auswählen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Startzeit hinzufügen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"Das Video dieser Besprechung wurde bei Office 365 veröffentlicht",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Wir müssen noch ein paar Dinge überprüfen. Ihre Besprechungen werden in Kürze abgerufen.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Einstellungen der Teilnehmerseite",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Transkription und Übersetzung sind aktiviert",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"Die Startzeit liegt nach der Endzeit.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Hinweis: Untertitel sind derzeit für Video im Vollbildmodus nicht verfügbar",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Outlook-Einladung erstellen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Videotitel",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"Nur die unten aufgeführten Teilnehmer können an der Besprechung teilnehmen.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"Die Besprechungsdetails konnten nicht abgerufen werden.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Löschen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Besprechung wiederherstellen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"Die Besprechungsanfrage ist leer.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Erstellen Sie eine Videoaufnahme zum Herunterladen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"BesprechungÜbertragen.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Veröffentlichtes Video anzeigen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Besprechungsdetails bearbeiten",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"Sie haben diesen Monat keine Besprechungen.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"Diese Besprechung löschen?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"Teilnehmer ist leer",,"None",,"All",,"Skype Cast Organizer 2016",,""
