PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"a month",,"einem Monat",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a minute",,"einer Minute",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d months",,"%d Monaten",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d minutes",,"%d Minuten",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a day",,"einem Tag",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d days",,"%d Tagen",,"None",,"All",,"Skype Cast Q&A 2016",,""
"in %s",,"in %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"an hour",,"einer Stunde",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d hours",,"%d Stunden",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%s ago",,"Vor %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a few seconds",,"einigen Sekunden",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a year",,"einem Jahr",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d years",,"%d Jahren",,"None",,"All",,"Skype Cast Q&A 2016",,""
"We are unable to authorize you for this Q&A. Kindly logout and login again with the correct account.",,"Wir können Sie für diese F&A nicht autorisieren. Bitte melden Sie sich ab, um sich anschließend mit dem richtigen Konto wieder anzumelden.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unable to find the Q&A.",,"Die F&A wurden nicht gefunden.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add an answer",,"Antwort hinzufügen",,"None",,"All",,"Skype Cast Q&A 2016",,""
"all",,"Alle",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announce",,"Ankündigen",,"None",,"All",,"Skype Cast Q&A 2016",,""
"anonymous user",,"Anonymer Benutzer",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announcement",,"Ankündigung",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message sent.",,"Nachricht gesendet.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question added.",,"Frage hinzugefügt.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question broadcasted.",,"Frage wurde übertragen.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"answer.",,"Antwort.",,"None",,"All",,"Skype Cast Q&A 2016",,""
