PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"Ihr Gruppenname darf nicht nur aus identischen Buchstaben bestehen",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Der Gruppenname ist zu lang (maximal 40 Zeichen)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Ihr Gruppenname darf nicht nur aus Zahlen bestehen",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Der Gruppenname ist zu kurz (mindestens 2 Zeichen)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"Aufgrund der jüngsten Änderungen an den Steuervorschriften in Saudi-Arabien berechnet Skype ab dem 1. Januar 2018 Mehrwertsteuer (MwSt.) auf Käufe von kostenpflichtigen Skype-Produkten von saudi-arabischen Kunden.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"Aufgrund der jüngsten Änderungen an den Steuervorschriften in den Vereinigten Arabischen Emiraten berechnet Skype ab dem 1. Januar 2018 Mehrwertsteuer (MwSt.) auf Käufe von kostenpflichtigen Skype-Produkten von Kunden aus den Vereinigten Arabischen Emiraten.",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"Die Skype-Nummer wird in wenigen Minuten zur Verfügung stehen.",,"None",,"All",,"Skype Manager",,""
"Channel subscription will be available in a few minutes.",,"Das Rufkanalabonnement wird in wenigen Minuten zur Verfügung stehen.",,"None",,"All",,"Skype Manager",,""
"Skype Premium will be available soon.",,"Skype Premium wird demnächst zur Verfügung stehen.",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"Das Abonnement wird in wenigen Minuten zur Verfügung stehen. ",,"None",,"All",,"Skype Manager",,""
"Voice messaging will be available in a few minutes.",,"Voicemail wird in wenigen Minuten zur Verfügung stehen.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Weniger als vorheriger Monat",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Mehr als vorheriger Monat",,"None",,"All",,"Skype Manager",,""
"Accept",,"Akzeptieren",,"None",,"All",,"Skype Manager",,""
"Activate",,"Aktivieren",,"None",,"All",,"Skype Manager",,""
"Activate / change",,"Aktivieren / Ändern",,"None",,"All",,"Skype Manager",,""
"Add",,"Hinzufügen",,"None",,"All",,"Skype Manager",,""
"Add another email address",,"Weitere E-Mail-Adresse hinzufügen",,"None",,"All",,"Skype Manager",,""
"Add new subscription",,"Neues Abonnement hinzufügen",,"None",,"All",,"Skype Manager",,""
"Add to Skype contact list",,"In die Skype-Kontaktliste aufnehmen",,"None",,"All",,"Skype Manager",,""
"I want to access the reports",,"Ich möchte die Berichte abrufen",,"None",,"All",,"Skype Manager",,""
"Agree",,"Zustimmen",,"None",,"All",,"Skype Manager",,""
"Allocate / change subscriptions",,"Abonnements zuweisen / ändern",,"None",,"All",,"Skype Manager",,""
"Allocate a Skype Number",,"Skype-Nummer zuweisen",,"None",,"All",,"Skype Manager",,""
"Allocate group video calling",,"Gruppen-Videoanrufe zuweisen",,"None",,"All",,"Skype Manager",,""
"Allocate Skype Premium",,"Skype Premium zuweisen",,"None",,"All",,"Skype Manager",,""
"Allocate subscriptions",,"Abonnements zuweisen",,"None",,"All",,"Skype Manager",,""
"Buy now and make changes",,"Jetzt kaufen und Änderungen vornehmen",,"None",,"All",,"Skype Manager",,""
"Buy credit",,"Guthaben kaufen",,"None",,"All",,"Skype Manager",,""
"Buy more credit",,"Mehr Guthaben erwerben",,"None",,"All",,"Skype Manager",,""
"Buy a Skype Number",,"Skype-Nummer kaufen",,"None",,"All",,"Skype Manager",,""
"Buy now and reactivate profile",,"Jetzt kaufen und Profil wieder aktivieren ",,"None",,"All",,"Skype Manager",,""
"I’ve changed my mind",,"Ich habe mich anders entschlossen",,"None",,"All",,"Skype Manager",,""
"Cancel",,"Abbrechen",,"None",,"All",,"Skype Manager",,""
"Cancel US minute bundles",,"USA-Minutenkontingente stornieren",,"None",,"All",,"Skype Manager",,""
"Cancel requests",,"Anfragen abbrechen",,"None",,"All",,"Skype Manager",,""
"Cancel group video calling",,"Gruppen-Videoanrufe stornieren",,"None",,"All",,"Skype Manager",,""
"Cancel Skype Premium",,"Skype Premium kündigen",,"None",,"All",,"Skype Manager",,""
"Cancel subscriptions",,"Abonnements kündigen",,"None",,"All",,"Skype Manager",,""
"Cancel voicemail",,"Voicemail stornieren",,"None",,"All",,"Skype Manager",,""
"Change Caller ID",,"Rufnummernanzeige ändern",,"None",,"All",,"Skype Manager",,""
"Change US minute bundles",,"USA-Minutenkontingente ändern",,"None",,"All",,"Skype Manager",,""
"Change subscription",,"Abonnement ändern",,"None",,"All",,"Skype Manager",,""
"Clear number",,"Zahlen löschen",,"None",,"All",,"Skype Manager",,""
"Close",,"Schließen",,"None",,"All",,"Skype Manager",,""
"Complete account creation",,"Kontoerstellung abschließen",,"None",,"All",,"Skype Manager",,""
"Confirm",,"Bestätigen",,"None",,"All",,"Skype Manager",,""
"Continue",,"Weiter",,"None",,"All",,"Skype Manager",,""
"Create accounts",,"Konten einrichten",,"None",,"All",,"Skype Manager",,""
"Create managed accounts",,"Verwaltete Konten erstellen",,"None",,"All",,"Skype Manager",,""
"Create a group",,"Gruppe erstellen",,"None",,"All",,"Skype Manager",,""
"Create a new account",,"Neues Konto erstellen",,"None",,"All",,"Skype Manager",,""
"Create your SIP Profile",,"Ihr SIP-Profil erstellen",,"None",,"All",,"Skype Manager",,""
"Create your Skype account",,"Ihr Skype-Konto einrichten",,"None",,"All",,"Skype Manager",,""
"Deactivate",,"Deaktivieren",,"None",,"All",,"Skype Manager",,""
"Delete account",,"Konto löschen",,"None",,"All",,"Skype Manager",,""
"Delete Skype Manager",,"Skype Manager löschen",,"None",,"All",,"Skype Manager",,""
"Delete requests",,"Anfragen löschen",,"None",,"All",,"Skype Manager",,""
