PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat",,"Chat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This message has been edited.",,"Diese Nachricht wurde bearbeitet.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Go to {0} team,  {1} channel",,"Weiter zu Team {0}, Kanal {1}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Channel was mentioned",,"Kanal wurde erwähnt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Team was mentioned",,"Team wurde erwähnt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"You were mentioned",,"Sie wurden erwähnt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message copied",,"Nachricht kopiert",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message deleted",,"Nachricht gelöscht",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message liked",,"Nachricht mit „Gefällt mir“ markiert.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message unliked",,"„Gefällt mir“-Markierung der Nachricht entfernt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This user has been muted.",,"Dieser Benutzer wurde stummgeschaltet.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User muted",,"Nutzer stummgeschaltet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User unmuted",,"Stummschaltung von Nutzer aufgehoben",,"Text",,"All",,"SkypeSpaces - iOS",,""
"email",,"E-Mail",,"Text",,"All",,"SkypeSpaces - iOS",,""
"password",,"Kennwort",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in",,"Anmelden",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign In Error",,"Anmeldefehler",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in to get started.",,"Melden Sie sich an, um gleich loszulegen.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign out",,"Abmelden",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Are you sure you want to sign out?",,"Möchten Sie sich wirklich abmelden?",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing in...",,"Anmelden...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing out...",,"Abmelden...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Missed call",,"Verpasster Anruf",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Voicemail",,"Voicemail",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Activity",,"Aktivität",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Started a new conversation in {0}",,"Neue Unterhaltung in {0} begonnen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Reply to conversation in {0}",,"Antwort auf Unterhaltung in {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Channel",,"Kanal hinzufügen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please check your network connection and try again",,"Überprüfen Sie Ihre Netzwerkverbindung, und versuchen Sie es erneut",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Members",,"Mitglieder hinzufügen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the conversation",,"%@ hat %@ der Unterhaltung hinzugefügt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"We couldn't add members.",,"Es konnten keine Mitglieder hinzugefügt werden.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the meeting",,"%@ hat %@ zu der Besprechung hinzugefügt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Invite new user",,"Neuen Benutzer einladen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people to the meeting.",,"Fügen Sie Personen zur Besprechung hinzu.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people",,"Kontakte hinzufügen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Team",,"Team hinzufügen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The team name you've chosen contains a word that can't be used.",,"Der gewählte Teamname enthält ein Wort, das nicht verwendet werden darf.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Cancel",,"Abbrechen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Classification",,"Klassifizierung",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Done",,"Fertig",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Name will appear as:",,"Name erscheint als:",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add:",,"Hinzufügen:",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Skip",,"Überspringen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The team name you've chosen is not valid.",,"Der gewählte Teamname ist ungültig.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please check your network connection and try again",,"Überprüfen Sie Ihre Netzwerkverbindung und versuchen Sie es erneut",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Privacy",,"Datenschutz",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Private",,"Privat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Only team owners can add members",,"Nur Teambesitzer können Mitglieder hinzufügen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Public",,"Öffentlich",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Anyone in your org can discover and join",,"Jeder Benutzer in der Organisation kann Neues entdecken und teilnehmen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Create team",,"Team erstellen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"See your organization's guidelines",,"Siehe Richtlinien Ihrer Organisation",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Tap the star to add a team to your favorites",,"Tippen Sie auf den Stern, um ein Team zu den Favoriten hinzuzufügen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Admit all",,"Alle zulassen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Admit",,"Zulassen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Error",,"Fehler",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All",,"Alle",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All day",,"Ganztägig",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All day meetings",,"Ganztägige Besprechungen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"By joining this meeting you have consented to be recorded. Click here for",,"Indem Sie an dieser Besprechung teilnehmen, haben Sie der Aufzeichnung zugestimmt. Klicken Sie hier, um die",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Answer call",,"Anruf annehmen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Microsoft Teams logo.",,"Microsoft Teams-Logo.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"SkypeSpaces - iOS",,""
"app on iOS",,"App in iOS",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Not now",,"Jetzt nicht",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sure",,"Klar",,"Text",,"All",,"SkypeSpaces - iOS",,""
"An update is required",,"Ein Update ist erforderlich",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Install update",,"Update installieren",,"Text",,"All",,"SkypeSpaces - iOS",,""
"An update is available",,"Ein Update ist verfügbar",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please update to the latest version.",,"Aktualisieren Sie auf die neueste Version.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Microsoft Corporation",,"Microsoft Corporation",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Type a name to @-mention a person, channel or team in your message.",,"Geben Sie Namen ein, um Personen, Kanäle oder Teams in Ihrer Nachricht zu @erwähnen.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Type a name to @-mention a person within this chat in your message.",,"Geben Sie einen Namen ein, um eine Person innerhalb dieses Chats in Ihrer Nachricht zu @erwähnen.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"attachment message from {0}",,"Nachricht mit Anlage von {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Audio call",,"Audioanruf",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Select audio device",,"Audiogerät auswählen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please enable Microsoft Teams from the Office 365 admin portal.",,"Aktivieren Sie Microsoft Teams über das Office 365-Verwaltungsportal.",,"Text",,"All",,"SkypeSpaces - iOS",,""
