PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add channel",,"Kanal hinzufügen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Add member",,"Mitglied hinzufügen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio",,"Audio",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Audio, echo, noise...",,"Kein Audio, Echo, Rauschen ...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Speech wasn\'t natural or sounded distorted",,"Sprache war unnatürlich oder klang verzerrt.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The call ended unexpectedly",,"Der Anruf wurde unerwartet beendet.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard an echo in the call  ",,"Ich habe ein Echo im Anruf gehört.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"We kept interrupting each other",,"Wir haben uns immer wieder gegenseitig unterbrochen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not invite someone into the call​",,"Ich konnte niemanden zur Teilnahme am Anruf einladen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Volume was low",,"Die Lautstärke war leise eingestellt.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t hear any sound",,"Ich konnte nicht hören.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t hear any sound ",,"Die andere Seite konnte nichts hören.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard noise in the call",,"Ich habe Rauschen im Anruf gehört.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"People had trouble joining the call​",,"Nutzer hatten Probleme, am Anruf teilzunehmen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Feedback",,"Feedback zum Anruf",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Rating",,"Anrufbewertung",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d star",,"%1$d Stern",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rating Star",,"Stern für Bewertung",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d stars",,"%1$d Sterne",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group collapsed",,"%1$s-Gruppe reduziert",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group expanded",,"%1$s-Gruppe erweitert",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s selected for feedback",,"%1$s für Feedback ausgewählt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s not selected for feedback",,"%1$s nicht für Feedback ausgewählt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Presentation",,"Präsentation",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No presentation, kept freezing, large delay...",,"Keine Präsentation, eingefroren, große Verzögerung ...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t see any presented content",,"Ich konnte keine präsentierten Inhalte sehen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"There was a large delay in the presented content",,"Beim präsentierten Inhalt traten lange Verzögerungen auf.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presented content kept freezing",,"Der präsentierte Inhalt blieb ständig hängen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The image quality of the presented content was poor",,"Die Bildqualität des präsentierten Inhalts war schlecht.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presentation stopped unexpectedly",,"Die Präsentation wurde unerwartet beendet.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Link not supported.You can not open this link on the mobile app.Please open it on the desktop or web app.",,"Nicht unterstützter Link. Dieser Link kann in der Mobil-App nicht geöffnet werden. Öffnen Sie ihn in der Desktop- oder Web-App.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is restored!",,"Chat ist wiederhergestellt!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Select number",,"Nummer auswählen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is hidden!",,"Chat ist ausgeblendet!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video",,"Video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Video, poor quality, video stopped...",,"Kein Video, schlechte Qualität, Video beendet ...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video kept freezing",,"Video ist immer wieder eingefroren.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Image quality was poor",,"Die Bildqualität war schlecht.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video was ahead or behind audio",,"Video lief schneller oder langsamer als Audio.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not see any video",,"Ich konnte kein Video sehen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t see my video",,"Die andere Seite konnte mein Video nicht sehen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side was too dark",,"Das Bild des anderen Teilnehmers war zu dunkel.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video stopped unexpectedly",,"Video wurde unerwartet beendet.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Close",,"Schließen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Hang up",,"Auflegen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"go to next slide",,"zur nächsten Folie",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"go to previous slide",,"zur vorherigen Folie",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Backspace",,"Rücktaste",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Answered",,"Anruf angenommen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Collapse call bar to hide call list",,"Anrufleiste reduzieren, um Anrufliste auszublenden",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"End on-hold call",,"Gehaltenen Anruf beenden",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Swap call",,"Anruf wechseln",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Expand call bar to see on-hold calls",,"Anrufleiste erweitern, um gehaltene Anrufe anzuzeigen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call",,"Anruf",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Muted",,"Stummgeschaltet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call on hold icon",,"Symbol „Anruf wird gehalten“",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Unmuted",,"Stummschaltung aufgehoben",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Your video is off",,"Ihr Video ist deaktiviert",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Your video is on",,"Ihr Video ist aktiviert",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Dial pad",,"Wähltastatur",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Enter phone number",,"Telefonnummer eingeben",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Pause",,"Anhalten",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Plus",,"Plus",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Wait",,"Warten",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Conference Call Answered",,"Telefonkonferenz beantwortet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Incoming call user avatar",,"Benutzer-Avatar für eingehenden Anruf",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Incoming call icon",,"Symbol für eingehenden Anruf",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Joining Meeting",,"An Besprechung teilnehmen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Phone call answer",,"Antwort auf Telefonanruf",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Send message",,"Sofortnachricht senden",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rotate camera",,"Kamera drehen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call me back button. Double tap to call me back.",,"Schaltfläche „Rückruf“ Für einen Rückruf an mich doppeltippen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Dial me in button. Double tap to dial me in.",,"Schaltfläche „Einwahl“. Zur Einwahl für mich doppeltippen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rejoin button. Double tap to rejoin.",,"Schaltfläche „Erneut teilnehmen“. Zur erneuten Teilnahme doppeltippen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Resume button. Double tap to resume call.",,"Schaltfläche „Fortsetzen“. Doppeltippen, um den Anruf fortzusetzen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Toggle flashlight",,"Taschenlampe umschalten",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Turn your video off",,"Video deaktivieren",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Turn your video on",,"Video aktivieren",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video call answer",,"Antwort auf Videoanruf",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call auto reconnect in progress",,"Automatische Neuverbindung des Anrufs wird ausgeführt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"You are in the lobby, Someone in the meeting should let you in soon",,"Sie befinden sich im Wartebereich, ein Teilnehmer der Besprechung sollte Sie in Kürze einlassen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call local participant",,"Lokaler Anrufteilnehmer",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call local video",,"Lokales Anrufvideo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call placed on hold",,"Anruf wird gehalten",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call remote participant ",,"Remoteteilnehmer anrufen ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call resumed",,"Anruf fortgesetzt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Remote screen share",,"Remote-Bildschirmfreigabe",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call video",,"Anrufvideo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"action canceled",,"Aktion abgebrochen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s filter. Tap to remove.",,"Filter %1$s. Zum Entfernen tippen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s launched.",,"%1$s gestartet.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio call with %1$s",,"Audioanruf mit %1$s",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Calling %1$s",,"%1$s wird angerufen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Channel successfully created.",,"Kanal erfolgreich erstellt.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Failed to add channel %1$s to favorites.",,"Fehler beim Hinzufügen von Kanal %1$s zu den Favoriten.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Channel %1$s has been added to favorites.",,"Kanal %1$s wurde zu den Favoriten hinzugefügt.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Failed to remove channel %1$s from favorites.",,"Fehler beim Entfernen von Kanal %1$s aus den Favoriten.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Channel %1$s has been removed from favorites.",,"Kanal %1$s wurde aus den Favoriten entfernt.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete channel alert. Are you sure you want to delete channel %1$s?",,"Löschen Sie die Kanalbenachrichtigung. Möchten Sie Kanal %1$s wirklich löschen?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete message alert. Are you sure you want to delete this message?",,"Löschwarnung für Nachricht. Sind Sie sicher, dass Sie diese Nachricht löschen möchten?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete series alert. Are you sure you want to delete %1$s?",,"Warnung zu Löschen der Serie. Möchten Sie %1$s wirklich löschen?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete meeting alert. Are you sure you want to delete %1$s?",,"Warnung zu Löschen der Besprechung. Möchten Sie %1$s wirklich löschen?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Sign out alert. Are you sure you want to sign out?",,"Abmeldewarnung. Möchten Sie sich wirklich abmelden?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Follow channel alert. Are you sure you want to follow this channel?",,"Hinweis zum Folgen des Kanals. Möchten Sie diesem Kanal wirklich folgen?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Text highlight color set to %1$s.",,"Textmarkierungsfarbe auf %1$s festgelegt.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Text color set to %1$s.",,"Textfarbe auf %1$s festgelegt.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"\r\n        Edit box, Sign-in address, please enter your sign-in address here\r\n    ",,"\r\n        Bearbeitungsfeld, Anmeldeadresse, bitte geben Sie hier Ihre Anmeldeadresse ein\r\n    ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Incoming call from %1$s",,"Eingehender Anruf von %1$s",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s added to compose box",,"%1$s zu Feld zum Erstellen hinzugefügt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Leave team alert. Are you sure you want to leave this team?",,"Teamwarnung schließen. Möchten Sie dieses Team wirklich verlassen?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Message copied to clipboard.",,"Nachricht in die Zwischenablage kopiert.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Message liked.",,"Nachricht mit „Gefällt mir“ markiert.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Message marked as important",,"Nachricht als wichtig markiert",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Message not marked as important",,"Nachricht nicht als wichtig markiert",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Message removed from saved",,"Nachricht aus den gespeicherten Nachrichten entfernt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Message saved",,"Nachricht gespeichert",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Failed to send message. Please select more options to retry",,"Fehler beim Senden der Nachricht. Bitte wählen Sie „Weitere Optionen“, um es erneut zu versuchen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Message sent successfully.",,"Die Nachricht wurde erfolgreich gesendet.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Message not liked.",,"Nachricht nicht mit „Gefällt mir“ markiert.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Missed call from %1$s",,"Entgangener Anruf von %1$s",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s added to selected contacts. Add more contacts.",,"%1$s zu ausgewählten Kontakten hinzugefügt. Weitere Kontakte hinzufügen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s removed from selected contacts. Add more contacts.",,"%1$s aus ausgewählten Kontakten entfernt. Weitere Kontakte hinzufügen.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"\r\n        Edit box, To, search for contacts here\r\n    ",,"\r\n        Bearbeitungsfeld, An, hier nach Kontakten suchen\r\n    ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Received a new message from %1$s",,"Neue Nachricht von %1$s erhalten",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Received a new notification. You were mentioned by %1$s",,"Neue Nachricht erhalten. Sie wurden von %1$s erwähnt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Received a new notification",,"Neue Benachrichtigung erhalten",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Received reply from %1$s",,"Antwort von %1$s erhalten",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"New message received.",,"Neue Nachricht erhalten.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Outgoing call to %1$s",,"Ausgehender Anruf an %1$s",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Search opened. Enter your query.",,"Suche geöffnet. Geben Sie Ihre Abfrage ein.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Search query cleared",,"Suchabfrage gelöscht",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Activity selection menu opened. %1$s selected",,"Auswahlmenü für Aktivität geöffnet. %1$s ausgewählt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No content",,"Kein Inhalt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"There was an error loading the content.",,"Fehler beim Laden des Inhalts.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
