PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Oops page showing due to debug flag",,"Hoppla, die Seite wird wegen eines Kennzeichens zum Debuggen angezeigt",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We will be retiring this app on Nov 29, 2018. Get our Win32 app.",,"Diese App wird am 29. November 2018 zurückgezogen. Laden Sie unsere Win32-App herunter.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We will be retiring this app on Nov 29, 2018. Please bookmark our Web App and continue using Teams.",,"Diese App wird am 29. November 2018 zurückgezogen. Bitte setzen Sie ein Lesezeichen für unsere Web-App und verwenden Sie Teams weiter.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Download now!",,"Jetzt herunterladen!",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Go to Web App!",,"Gehn Sie zur WebApp!",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"D'oh! Something went wrong...",,"Oje! Leider ist etwas schiefgegangen ...",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your app has been successfully updated to version {0} on {1}.",,"Die App wurde erfolgreich auf Version {0} auf {1} aktualisiert.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App Updated",,"App aktualisiert",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Could not connect to Account Provider. Please check your connection and try again.",,"Verbindung zum Kontoanbieter nicht möglich. Überprüfen Sie Ihre Verbindung und versuchen Sie es erneut.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Unexpected user credentials. Please try to log in again.",,"Unerwartete Benutzeranmeldeinformationen. Versuchen Sie erneut, sich anzumelden.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The token received is not valid. Please try again later.",,"Der erhaltene Token ist ungültig. Bitte versuchen Sie es später erneut.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an app state issue. Please try again.",,"Die Authentifizierung konnte aufgrund eines App-Statusproblems nicht abgeschlossen werden. Bitte versuchen Sie es erneut.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication Error",,"Authentifizierungsfehler",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Received an expired authentication token. Please try to log in again.",,"Es wurde ein abgelaufener Authentifizierungstoken empfangen. Versuchen Sie erneut, sich anzumelden.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Intended authentication failure due to user setting.",,"Fehler bei vorgesehener Authentifizierung aufgrund einer Benutzereinstellung.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App is missing important authentication settings. Please make sure to use the latest version.",,"In der App fehlen wichtige Authentifizierungseinstellungen. Stellen Sie sicher, dass Sie die neueste Version verwenden.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The Account Provider encountered an error while authenticating.",,"Der Kontoanbieter hat einen Fehler beim Authentifizieren festgestellt.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
