PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"About Skype TX",,"Über Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Switch user",,"Benutzer wechseln",,"Button",,"All",,"Skype TX Client V2",,""
"My Account online",,"Mein Konto online",,"Button",,"All",,"Skype TX Client V2",,""
"Exit Skype TX",,"Skype TX beenden",,"Button",,"All",,"Skype TX Client V2",,""
"Sign in with saved user credentials",,"Mit gespeicherten Anmeldeinformationen anmelden",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove user and forget saved credentials",,"Benutzer entfernen und gespeicherte Anmeldeinformationen verwerfen",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Main Menu",,"Hauptmenü",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Sign in with a different username and password",,"Mit einem anderen Benutzernamen und Kennwort anmelden",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"For more information about",,"Weitere Informationen zur",,"Text",,"All",,"Skype TX Client V2",,""
"using Skype in Media visit",,"Verwendung von Skype in Media finden Sie unter",,"Text",,"All",,"Skype TX Client V2",,""
"media.skype.com",,"media.skype.com",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Allgemeine Geschäftsbedingungen für Broadcasts",,"Text",,"All",,"Skype TX Client V2",,""
"Privacy Statement",,"Datenschutzrichtlinien",,"Text",,"All",,"Skype TX Client V2",,""
"Find out more about Skype in Media",,"Erfahren Sie mehr über „Skype in Media“",,"Text",,"All",,"Skype TX Client V2",,""
"Heartbeat (Skype Status)",,"Herzschlag (Skype-Status)",,"Text",,"All",,"Skype TX Client V2",,""
"View Privacy Statement",,"Datenschutzrichtlinien anzeigen",,"Text",,"All",,"Skype TX Client V2",,""
""<run Uid=""Run_10"">Skype TX is a specialized application for the broadcast industry and does not contain the full set of features provided by Skype. For full Skype functionality, please download the latest version at</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,""<run Uid=""Run_10"">Skype TX ist eine spezielle Anwendung für die Übertragungsbranche und enthält nicht den vollen Funktionsumfang von Skype. Um alle Skype-Funktionen nutzen zu können, laden Sie die neueste Version unter</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a> herunter"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Start Over",,"Neu beginnen",,"Text",,"All",,"Skype TX Client V2",,""
"Choose an account to sign in:",,"Wählen Sie ein Konto, um sich anzumelden:",,"Text",,"All",,"Skype TX Client V2",,""
"Other user...",,"Anderer Benutzer...",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Signing in to Skype...",,"Die Anmeldung bei Skype wird durchgeführt...",,"Text",,"All",,"Skype TX Client V2",,""
"© Microsoft 2015-2018",,"© Microsoft 2015-2018",,"Text",,"All",,"Skype TX Client V2",,""
"Configuration",,"Konfiguration",,"Text",,"All",,"Skype TX Client V2",,""
"Channel View",,"Kanalansicht",,"Text",,"All",,"Skype TX Client V2",,""
"Full",,"Vollbild",,"Text",,"All",,"Skype TX Client V2",,""
"Compact",,"Kompakt",,"Text",,"All",,"Skype TX Client V2",,""
"End User License Agreement",,"Endbenutzer-Lizenzvertrag",,"Button",,"All",,"Skype TX Client V2",,""
"Return to About SkypeTX screen",,"Zurück zum Bildschirm „Über Skype TX“",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Version",,"Version",,"Text",,"All",,"Skype TX Client V2",,""
"Review EULA",,"Endbenutzer-Lizenzvertrag lesen",,"Text",,"All",,"Skype TX Client V2",,""
"© 2015-2018 Skype and/or Microsoft",,"© 2015-2018 Skype und/oder Microsoft",,"Text",,"All",,"Skype TX Client V2",,""
"The Skype name and Skype TX name, associated trademarks, logos and &apos;S&apos; logo are trademarks of Skype or related entities.",,"Der Name Skype und Skype TX, zugehörige Marken, Logos und das „S“-Logo sind Marken von Skype oder angeschlossenen Unternehmen.",,"Text",,"All",,"Skype TX Client V2",,""
"Warning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portions of it, may result in severe civil and criminal penalties and will be prosecuted to the maximum extent possible under the law.",,"Warnung: Dieses Programm ist durch Urheberrechte und internationale Abkommen geschützt. Die nicht autorisierte Reproduktion und der nicht autorisierte Vertrieb dieses Programms oder von Teilen dieses Programms können schwerwiegende zivilrechtliche und strafrechtliche Folgen haben und werden im maixmalen gesetzlich zulässigen Rahmen verfolgt.",,"Text",,"All",,"Skype TX Client V2",,""
"Logo Enabled",,"Logo aktiviert",,"Check Box",,"All",,"Skype TX Client V2",,""
"Show Clock",,"Uhr anzeigen",,"Check Box",,"All",,"Skype TX Client V2",,""
"Show Logo",,"Logo anzeigen",,"Check Box",,"All",,"Skype TX Client V2",,""
"Copy information to clipboard",,"Informationen in Zwischenablage kopieren",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Disable all Skype audio processing.",,"Deaktiviert sämtliche Audioverarbeitung durch Skype",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 9x16 input aspect ratio:  -1 = Left ... 1 = Right",,"Horizontale Position des Logos für das Eingabeseitenverhältnis 9 x 16 festlegen: -1 = links ... 1 = rechts",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 9x16 input aspect ratio: -1 = Top ... 1 = Bottom",,"Vertikale Position des Logos für das Eingabeseitenverhältnis 9 x 16 festlegen: -1 = oben ... 1 = unten",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 3x4 input aspect ratio:  -1 = Left ... 1 = Right",,"Horizontale Position des Logos für das Eingabeseitenverhältnis 3 x 4 festlegen: -1 = links ... 1 = rechts",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 3x4 input aspect ratio: -1 = Top ... 1 = Bottom",,"Vertikale Position des Logos für das Eingabeseitenverhältnis 3 x 4 festlegen: -1 = oben ... 1 = unten",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 4x3 input aspect ratio:  -1 = Left ... 1 = Right",,"Horizontale Position des Logos für das Eingabeseitenverhältnis 4 x 3 festlegen: -1 = links ... 1 = rechts",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 4x3 input aspect ratio: -1 = Top ... 1 = Bottom",,"Vertikale Position des Logos für das Eingabeseitenverhältnis 4 x 3 festlegen: -1 = oben ... 1 = unten",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 16x9 input aspect ratio:  -1 = Left ... 1 = Right",,"Horizontale Position des Logos für das Eingabeseitenverhältnis 16 x 9 festlegen: -1 = links ... 1 = rechts",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 16x9 input aspect ratio: -1 = Top ... 1 = Bottom",,"Vertikale Position des Logos für das Eingabeseitenverhältnis 16 x 9 festlegen: -1 = oben ... 1 = unten",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show the System time with frame count",,"Zeigt die Systemzeit und Bildanzahl an",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show the animated Skype logo when not on a call",,"Zeigt außerhalb von Gesprächen das animierte Skype-Logo an",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"When not on a call, show a solid color",,"Außerhalb von Anrufen eine Volltonfarbe anzeigen",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to always fit within the height of the output resolution",,"Eingehendes Video wird immer an die Höhe der Ausgabeauflösung angepasst",,"Tool Tip",,"All",,"Skype TX Client V2",,""
