PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Share button language",,"Sprache der Freigabeschaltfläche",,"None",,"All",,"Skype Web App",,""
"Show share button at",,"Position der Freigabeschaltfläche",,"None",,"All",,"Skype Web App",,""
"both bottom and top",,"Oben und unten",,"None",,"All",,"Skype Web App",,""
"bottom of article",,"Unten im Artikel",,"None",,"All",,"Skype Web App",,""
"top of article",,"Oben im Artikel",,"None",,"All",,"Skype Web App",,""
"Button style",,"Schaltflächenformat",,"None",,"All",,"Skype Web App",,""
"Circle Icon",,"Kreissymbol",,"None",,"All",,"Skype Web App",,""
"Large Share",,"Große Freigabeschaltfläche",,"None",,"All",,"Skype Web App",,""
"Small Share",,"Kleine Freigabeschaltfläche",,"None",,"All",,"Skype Web App",,""
"Square Icon",,"Quadratisches Symbol",,"None",,"All",,"Skype Web App",,""
"Enable share button",,"Freigabeschaltfläche aktivieren",,"None",,"All",,"Skype Web App",,""
"Learn more, check out the {href_start}FAQ{href_end}.",,"Weitere Informationen finden Sie in den {href_start}häufig gestellten Fragen (FAQ){href_end}.",,"None",,"All",,"Skype Web App",,""
"Get people sharing and talking about your website on Skype. We've made it faster and easier for people to share content from your site, straight into a Skype chat. It is easy to integrate and supports both desktop and mobile sites.",,"Sorgen Sie dafür, dass auf Skype über Ihre Website gesprochen und sie geteilt wird. Es geht jetzt schneller und einfacher, Inhalte von Ihrer Website direkt in einem Skype-Chat zu teilen. Die Integrierung ist ganz einfach und es werden sowohl Desktop-Websites als auch mobile Websites unterstützt. ",,"None",,"All",,"Skype Web App",,""
"Skype share button options",,"Optionen für die Skype-Freigabeschaltfläche",,"None",,"All",,"Skype Web App",,""
"Skype share button",,"Skype-Freigabeschaltfläche",,"None",,"All",,"Skype Web App",,""
"Settings",,"Einstellungen",,"None",,"All",,"Skype Web App",,""
"Your use of Skype buttons is subject to the {href_start}Terms of Use{href_end}.",,"Die Nutzung von Skype-Schaltflächen unterliegt den {href_start}Nutzungsbedingungen{href_end}.",,"None",,"All",,"Skype Web App",,""
""Accessibility label describing how many mutual friends the contact has with the current user. {Locked=""{count}""}"",,""Barrierefreiheitsbezeichnung, die beschreibt, wie viele gemeinsame Freunde der Kontakt mit dem aktuellen Benutzer hat. {Locked=""{count}""}"",,"None",,"All",,"Skype Web App",,""
"An accessibility label for the invisible container which contains a history of the notifications announced by the screen reader (like 'Message sent.')",,""Eine Barrierefreiheitsbezeichnung für den unsichtbaren Container, der einen Verlauf der Benachrichtigungen enthält, die von der Bildschirmsprachausgabe vorgelesen wird (z. B. ""Nachricht gesendet"")."",,"None",,"All",,"Skype Web App",,""
"Accept",,"Annehmen",,"None",,"All",,"Skype Web App",,""
"Accept the call",,"Anruf annehmen",,"None",,"All",,"Skype Web App",,""
"Click to {swiftAction}",,"Klicken, um {swiftAction}",,"None",,"All",,"Skype Web App",,""
"Add to favorites",,"Zu Favoriten hinzufügen",,"None",,"All",,"Skype Web App",,""
"Send",,"Senden",,"None",,"All",,"Skype Web App",,""
"Delete conversation",,"Unterhaltung löschen",,"None",,"All",,"Skype Web App",,""
"Leave conversation",,"Unterhaltung verlassen",,"None",,"All",,"Skype Web App",,""
"Mark as read",,"Als gelesen markieren",,"None",,"All",,"Skype Web App",,""
"Mark as unread",,"Als ungelesen markieren",,"None",,"All",,"Skype Web App",,""
"Remove from favorites",,"Aus Favoriten entfernen",,"None",,"All",,"Skype Web App",,""
"Turn notifications off",,"Benachrichtigungen aus",,"None",,"All",,"Skype Web App",,""
"Turn notifications on",,"Benachrichtigungen einschalten",,"None",,"All",,"Skype Web App",,""
"Add to new group",,"Zu neuer Gruppe hinzufügen",,"None",,"All",,"Skype Web App",,""
"Currently unable to chat.",,"Momentan ist kein Chat möglich.",,"None",,"All",,"Skype Web App",,""
"Type to chat...",,"Eingeben, um zu chatten...",,"None",,"All",,"Skype Web App",,""
"Avatar of {title}",,"Avatar von {title}",,"None",,"All",,"Skype Web App",,""
"Block",,"Blockieren",,"None",,"All",,"Skype Web App",,""
"Delete",,"Löschen",,"None",,"All",,"Skype Web App",,""
"Leave",,"Verlassen",,"None",,"All",,"Skype Web App",,""
"Yes",,"Ja",,"None",,"All",,"Skype Web App",,""
"Remove",,"Entfernen",,"None",,"All",,"Skype Web App",,""
"Bot ID",,"Bot-ID",,"None",,"All",,"Skype Web App",,""
"Button image",,"Schaltflächensymbol",,"None",,"All",,"Skype Web App",,""
"Button label",,"Schaltflächenbeschriftung",,"None",,"All",,"Skype Web App",,""
