PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Launching Skype for Business Client",,"Skype for Business Client wird gestartet",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please check with your event organizer if this continues to happen.",,"Die Verbindung zum Ereignis konnte nicht hergestellt werden. Dieses Problem besteht möglicherweise nur vorübergehend. Wenden Sie sich an den Organisator des Ereignisses, falls das Problem weiterhin bestehen bleibt.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to manage the event",,"Zur Verwaltung des Ereignisses",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join Meeting",,"An Besprechung teilnehmen",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the event isn’t valid. Please check with your event organizer.",,"Der Link, über den Sie teilnehmen möchten, ist ungültig. Wenden Sie sich an den Organisator des Ereignisses.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invalid Name or Email address",,"Ungültiger Name bzw. ungültige E-Mail-Adresse",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join The Meeting",,"An der Besprechung teilnehmen",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Microsoft Corporation. All rights reserved.",,"Microsoft Corporation. Alle Rechte vorbehalten.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble helping you join as Event team member.",,"Es gibt Probleme, Sie als Ereignisteammitglied teilnehmen zu lassen.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble activating broadcast meeting.",,"Es gibt Probleme beim Aktivieren der Übertragungsbesprechung.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join the event",,"An der Veranstaltung teilnehmen",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Open the event dashboard",,"Ereignis-Dashboard öffnen",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"if you don't have Skype for Business installed",,"Falls Sie Skype for Business nicht installiert haben",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"English",,"Englisch",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting as event team member. Please request access from the meeting organizer or sign in using a different account.",,"Sie sind nicht berechtigt, als Ereignisteammitglied an der Besprechung teilzunehmen. Fordern Sie einen Zugriff vom Besprechungsorganisator an oder melden Sie sich mit einem anderen Konto an.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Have you successfully launched the app? Feel free to close this page.",,"Haben Sie die App erfolgreich gestartet? Dann können Sie diese Seite schließen.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"You're about to join the meeting ${meetingName} as a guest",,"Sie nehmen in Kürze als Gast an der Besprechung ${meetingName} teil",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event due to network issues. Please try again later.",,"Die Verbindung zum Ereignis konnte aufgrund von Netzwerkproblemen nicht hergestellt werden. Versuchen Sie es später erneut.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please try it again.",,"Die Verbindung zum Ereignis konnte nicht hergestellt werden. Dieses Problem ist möglicherweise nur vorübergehend. Versuchen Sie es erneut.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Privacy and Cookies",,"Datenschutz und Cookies",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Launching ...",,"Wird gestartet...",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The operating system or browser that you are using to join the meeting is not supported.",,"Das Betriebssystem bzw. der Browser, das/den Sie zur Teilnahme an der Besprechung verwenden, wird nicht unterstützt.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Let's go!",,"Hier entlang!",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. The meeting may have ended. Please check with your event organizer.",,"Die Verbindung zum Ereignis konnte nicht hergestellt werden. Möglicherweise ist die Besprechung beendet. Wenden Sie sich an den Organisator des Ereignisses.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble launching Skype For Business.",,"Es gibt Probleme beim Starten von Skype for Business.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The meeting you are trying to join has expired. Please check with the meeting organizer.",,"Die Besprechung, an der Sie teilnehmen möchten, ist abgelaufen. Bitte wenden Sie sich an den Besprechungsorganisator.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype for Business",,"Skype for Business",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The meeting you are trying to join can’t be found. Please check with the meeting organizer.",,"Die Besprechung, an der Sie teilnehmen möchten, konnte nicht gefunden werden. Bitte wenden Sie sich an den Besprechungsorganisator.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to see what your audience is seeing",,"Zur Anzeige aus der Sicht Ihrer Teilnehmer",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Video on demand was disabled for this meeting.",,"Video auf Abruf wurde für diese Besprechung deaktiviert.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Install Skype for Business and enjoy one-click join from your phone!",,"Installieren Sie Skype for Business, um mit nur einem Tippen von Ihrem Smartphone aus teilzunehmen!",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Your session has expired. Please refresh the initial join web page.",,"Ihre Sitzung ist abgelaufen. Aktualisieren Sie die ursprüngliche Teilnahmewebseite.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting. Please request access from the meeting organizer or sign in using a different account.",,"Sie sind nicht berechtigt, an der Besprechung teilzunehmen. Fordern Sie einen Zugriff vom Besprechungsorganisator an oder melden Sie sich mit einem anderen Konto an.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invitation from:",,"Einladung von:",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype Meeting Broadcast",,"Skype-Livekonferenz",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The event you are trying to join can’t be found. Please check with the event organizer.",,"Das Ereignis, an dem Sie teilnehmen möchten, wurde nicht gefunden. Wenden Sie sich an den Organisator des Ereignisses.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
