PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"Info",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"Info zu Komponenten von Drittanbietern",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"Zu viele Ergebnisse – verfeinern Sie Ihre Suchparameter.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"Es konnte keine Serververbindung hergestellt werden. Wiederholen Sie den Vorgang später.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"Keine Ergebnisse",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Melden Sie sich an, um das Firmenverzeichnis zu durchsuchen.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Das Firmenverzeichnis wird durchsucht...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Annehmen",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Wichtig",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Vertraulich",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Ungelesene Nachricht",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Status auswählen",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Swipe down to dismiss",,"Zum Schließen streifen",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on Bluetooth",,"Bluetooth EIN",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on speaker",,"Lautsprecher EIN",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"urgent interuptions only",,"Nur dringende Unterbrechungen",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a call",,"Am Telefon",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a conference call",,"In einem Konferenzanruf",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a meeting",,"In Besprechung",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"inactive",,"Inaktiv",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"off work",,"Nicht bei der Arbeit",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out of office",,"Abwesend",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out to lunch",,"Mittagspause",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"presenting",,"Präsentation",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Add Contact",,"Kontakt hinzufügen",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ADD TO GROUP",,"ZU GRUPPE HINZUFÜGEN",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"You've been admitted. We're calling you now...",,"Sie wurden zugelassen. Wir rufen Sie jetzt an...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
