PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"In Progress",,"In Bearbeitung",,"None",,"All",,"Skype for Business for iOS",,""
"No thanks, continue to calendar",,"Nein danke, weiter zum Kalender",,"None",,"All",,"Skype for Business for iOS",,""
"Get Outlook for iOS",,"Outlook für iOS herunterladen",,"None",,"All",,"Skype for Business for iOS",,""
"Outlook for iOS",,"Outlook für iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Use Outlook to access all your Skype Meetings with just a tap",,"Verwenden Sie Outloook, um mit nur einem Tippen auf all Ihre Skype-Besprechungen zuzugreifen",,"None",,"All",,"Skype for Business for iOS",,""
"days",,"Tage",,"None",,"All",,"Skype for Business for iOS",,""
"day",,"Tag",,"None",,"All",,"Skype for Business for iOS",,""
"hours",,"Stunden",,"None",,"All",,"Skype for Business for iOS",,""
"hour",,"Stunde",,"None",,"All",,"Skype for Business for iOS",,""
"minutes",,"Minuten",,"None",,"All",,"Skype for Business for iOS",,""
"minute",,"Minute",,"None",,"All",,"Skype for Business for iOS",,""
"seconds",,"Sekunden",,"None",,"All",,"Skype for Business for iOS",,""
"second",,"Sekunde",,"None",,"All",,"Skype for Business for iOS",,""
"d",,"Tage",,"None",,"All",,"Skype for Business for iOS",,""
"d",,"Tag",,"None",,"All",,"Skype for Business for iOS",,""
"h",,"Std.",,"None",,"All",,"Skype for Business for iOS",,""
"min",,"Min.",,"None",,"All",,"Skype for Business for iOS",,""
"s",,"Sek.",,"None",,"All",,"Skype for Business for iOS",,""
"Call Ended",,"Anruf beendet",,"None",,"All",,"Skype for Business for iOS",,""
"Cancel",,"Abbrechen",,"None",,"All",,"Skype for Business for iOS",,""
"Add participants",,"Teilnehmer hinzufügen",,"None",,"All",,"Skype for Business for iOS",,""
"Your conversations will appear here",,"Ihre Unterhaltungen werden hier angezeigt",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to %@",,"Begrüßen Sie %@",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to the group",,"Begrüßen Sie die Gruppe",,"None",,"All",,"Skype for Business for iOS",,""
"Type a message here",,"Nachricht hier eingeben",,"None",,"All",,"Skype for Business for iOS",,""
"Chat is available in Teams",,"Chat ist in Teams verfügbar",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and %d others are typing...",,"%@, %@ und %d weitere Personen geben eine Nachricht ein...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is typing...",,"%@ gibt eine Nachricht ein...",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and one other are typing...",,"%@, %@ und eine weitere Person geben eine Nachricht ein...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ and %@ are typing...",,"%@ und %@ geben eine Nachricht ein...",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't send this message: %@",,"Diese Nachricht konnte nicht gesendet werden: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Conference ended",,"Konferenz beendet",,"None",,"All",,"Skype for Business for iOS",,""
"Participants",,"Teilnehmer",,"None",,"All",,"Skype for Business for iOS",,""
"Show Contact Profile",,"Kontaktprofil anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"Send message",,"Nachricht senden",,"None",,"All",,"Skype for Business for iOS",,""
"Incoming",,"Eingehend",,"None",,"All",,"Skype for Business for iOS",,""
"Outgoing",,"Ausgehend",,"None",,"All",,"Skype for Business for iOS",,""
