PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Video problem",,"Videoproblem",,"None",,"All",,"Skype for Surface RT",,""
"Video problem. Send audio/video from your last call plus logs.",,"Videoproblem. Senden Sie Audio-/Videoinhalte aus Ihrem letzten Anruf sowie Protokolle.",,"None",,"All",,"Skype for Surface RT",,""
"I accept the terms and conditions",,"Ich akzeptiere die Bedingungen",,"None",,"All",,"Skype for Surface RT",,""
"{0} - Press enter or space for call controls",,"{0} – Drücken Sie die EINGABETASTE oder die LEERTASTE für Anrufsteuerungen.",,"None",,"All",,"Skype for Surface RT",,""
"Call",,"Anrufen",,"None",,"All",,"Skype for Surface RT",,""
"Add all invitees",,"Alle Eingeladenen hinzufügen",,"None",,"All",,"Skype for Surface RT",,""
"All Invitees",,"Alle Eingeladenen",,"None",,"All",,"Skype for Surface RT",,""
"Add",,"Hinzufügen",,"None",,"All",,"Skype for Surface RT",,""
"People",,"Kontakte",,"None",,"All",,"Skype for Surface RT",,""
"Find someone or dial a number",,"Jemanden suchen o. Rufnr. wählen",,"None",,"All",,"Skype for Surface RT",,""
"Find someone or dial a number",,"Person suchen/Tel.nr. wählen",,"None",,"All",,"Skype for Surface RT",,""
