PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Account",,"Konto",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Available",,"Verfügbar",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Unable to change your profile picture, please try again.",,"Ihr Profilbild konnte nicht geändert werde. Versuchen Sie es erneut.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close settings",,"Einstellungen schließen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Disable automatic Skype plugin updates",,"Automatische Aktualisierung für Skype-Plugins deaktivieren",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Display settings",,"Einstellungen anzeigen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype plugin",,"Skype-Plugin herunterladen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable automatic Skype plugin updates",,"Automatische Aktualisierung für Skype-Plugins aktivieren",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"The image type you tried to upload is not supported",,"Der Typ der Datei, die Sie hochladen wollten, wird nicht unterstützt.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Not available",,"Nicht verfügbar",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications off",,"Benachrichtigungen deaktiviert",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications on",,"Benachrichtigungen aktiviert",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"off",,"aus",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"on",,"an",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Automatic Skype plugin updates are",,"Die Automatische Aktualisierung für Skype-Plugins ist",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Online presence set to available (notifications on)",,"Der Online-Status lautet „Verfügbar“ (Benachrichtigungen sind aktiviert)",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign out",,"Abmelden",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Upload a profile picture",,"Anzeigebild hochladen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept the call using Alt + PgUp",,"Den Anruf mit ALT + BILD-AUF annehmen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
