PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"Ενεργοποίηση ειδοποιήσεων μέσω SMS",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"Η Πίστωση Skype σας είναι",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Προσθέστε το σταθερό σας τηλέφωνο για να μπορούν οι φίλοι σας να επικοινωνούν μαζί σας με περισσότερους τρόπους",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Προσθέστε το κινητό σας τηλέφωνο για να μπορούν οι φίλοι σας να επικοινωνούν μαζί σας με περισσότερους τρόπους",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Προσθέστε το τηλέφωνο του γραφείου σας για να μπορούν οι φίλοι σας να επικοινωνούν μαζί σας με περισσότερους τρόπους",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Πίσω στην υποσημείωση 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Πίσω στην υποσημείωση 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Πίσω στην υποσημείωση 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Πίσω στην υποσημείωση 4",,"Text",,"All",,"Commerce Server",,""
"Delete phone number: {NUMBER}",,"Διαγραφή τηλεφωνικού αριθμού: {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"No, don't delete number {NUMBER}",,"Όχι, να μην διαγραφεί ο αριθμός {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Yes, delete number {NUMBER}",,"Ναι, να διαγραφεί ο αριθμός {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Cancel and return to account overview page",,"Ακύρωση και επιστροφή στη σελίδα επισκόπησης λογαριασμού",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,"Ακύρωση συνδρομής {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Επαναφορά ή αλλαγή κωδικού πρόσβασης Facebook",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Επαναφορά ή αλλαγή κωδικού πρόσβασης Microsoft",,"Text",,"All",,"Commerce Server",,""
"Change Skype password",,"Αλλαγή κωδικού πρόσβασης Skype",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Αριθμός που θα εμφανίζεται όταν καλώ τηλέφωνα",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Κωδικός ασφαλείας",,"Text",,"All",,"Commerce Server",,""
"Close pop-up",,"Κλείσιμο αναδυόμενων παραθύρων",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Χώρα/περιοχή",,"Text",,"All",,"Commerce Server",,""
"Country/region or Skype Name",,"Χώρα/Περιοχή ή Όνομα Skype",,"Text",,"All",,"Commerce Server",,""
"Delete number {number}",,"Διαγραφή του αριθμού {number}",,"Text",,"All",,"Commerce Server",,""
"Disable Caller id",,"Απενεργοποίηση ταυτότητας καλούντος",,"Text",,"All",,"Commerce Server",,""
"Disable call forwarding",,"Απενεργοποίηση προώθησης κλήσεων",,"Text",,"All",,"Commerce Server",,""
"Disable voice messages",,"Απενεργοποίηση φωνητικών μηνυμάτων",,"Text",,"All",,"Commerce Server",,""
"Display billings and payments",,"Εμφάνιση τιμολόγησης και πληρωμών",,"Text",,"All",,"Commerce Server",,""
"Display settings and preferences",,"Εμφάνιση ρυθμίσεων και προτιμήσεων",,"Text",,"All",,"Commerce Server",,""
"Display subscriptions.",,"Εμφάνιση συνδρομών.",,"Text",,"All",,"Commerce Server",,""
"Edit phone number",,"Επεξεργασία αριθμού τηλεφώνου",,"Text",,"All",,"Commerce Server",,""
"Learn more about using your Facebook account to sign in to Skype",,"Μάθετε περισσότερα για τη χρήση του λογαριασμού σας Facebook για σύνδεση στο Skype",,"Text",,"All",,"Commerce Server",,""
"Unlink your Facebook account ",,"Αποσύνδεση του λογαριασμού σας Facebook ",,"Text",,"All",,"Commerce Server",,""
"Find a new subscription",,"Βρείτε μια νέα συνδρομή",,"Text",,"All",,"Commerce Server",,""
"Footnote 1",,"Υποσημείωση 1",,"Text",,"All",,"Commerce Server",,""
"Footnote 2",,"Υποσημείωση 2",,"Text",,"All",,"Commerce Server",,""
"Footnote 3",,"Υποσημείωση 3",,"Text",,"All",,"Commerce Server",,""
"Footnote 4",,"Υποσημείωση 4",,"Text",,"All",,"Commerce Server",,""
"Get {PACKAGE_NAME} subscription",,"Αποκτήστε συνδρομή στο πακέτο {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Previous page",,"Προηγούμενη σελίδα",,"Text",,"All",,"Commerce Server",,""
"Select country/region for your Skype Number",,"Επιλέξτε χώρα/περιοχή για τον Αριθμό Skype σας",,"Text",,"All",,"Commerce Server",,""
"Select Your Skype Number",,"Επιλέξτε τον Αριθμό Skype σας",,"Text",,"All",,"Commerce Server",,""
"Hide billing and payments",,"Απόκρυψη τιμολόγησης και πληρωμών",,"Text",,"All",,"Commerce Server",,""
"Hide settings and preferences",,"Απόκρυψη ρυθμίσεων και προτιμήσεων",,"Text",,"All",,"Commerce Server",,""
"Hide subscriptions.",,"Απόκρυψη συνδρομών.",,"Text",,"All",,"Commerce Server",,""
"Link opens in {SPAN_START}iFrame{SPAN_END}.",,"Ο σύνδεσμος ανοίγει σε {SPAN_START}iFrame{SPAN_END}.",,"Text",,"All",,"Commerce Server",,""
"Change Caller ID number",,"Αλλαγή αριθμού ταυτότητας καλούντος",,"Text",,"All",,"Commerce Server",,""
"We'll display a number local to the place you're calling, if you have one.",,"Θα εμφανίσουμε έναν τοπικό αριθμό από το μέρος από το οποίο καλείτε, εάν διαθέτετε τέτοιο αριθμό.",,"Text",,"All",,"Commerce Server",,""
"Why you should complete your profile",,"Γιατί χρειάζεται να συμπληρώσετε το προφίλ σας",,"Text",,"All",,"Commerce Server",,""
"over 50 countries/regions for {PLAN_NAME}.",,"περισσότερες από 50 χώρες/περιοχές για τη συνδρομή {PLAN_NAME}.",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minute left",,"Απομένει {COUNT} λεπτό",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minutes left",,"Απομένουν {COUNT} λεπτά",,"Text",,"All",,"Commerce Server",,""
"minute of Skype WiFi.",,"λεπτό Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minutes of Skype WiFi.",,"λεπτά Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minute to mobiles and landlines.",,"λεπτό προς κινητά και σταθερά.",,"Text",,"All",,"Commerce Server",,""
"minutes to mobiles and landlines.",,"λεπτά προς κινητά και σταθερά.",,"Text",,"All",,"Commerce Server",,""
"Learn more about using your Microsoft account to sign in to Skype",,"Μάθετε περισσότερα για τη χρήση του λογαριασμού σας Microsoft για σύνδεση στο Skype",,"Text",,"All",,"Commerce Server",,""
"Unlink your Microsoft account",,"Αποσύνδεση του λογαριασμού σας Microsoft",,"Text",,"All",,"Commerce Server",,""
"Next page",,"Επόμενη σελίδα",,"Text",,"All",,"Commerce Server",,""
"You have",,"Έχετε",,"Text",,"All",,"Commerce Server",,""
"You have no subscriptions",,"Δεν έχετε συνδρομές",,"Text",,"All",,"Commerce Server",,""
"Page {NUMBER}",,"Σελίδα {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Page {NUMBER}. Selected",,"Σελίδα {NUMBER}. Επιλεγμένη",,"Text",,"All",,"Commerce Server",,""
"Feature is active.",,"Η λειτουργία είναι ενεργή.",,"Text",,"All",,"Commerce Server",,""
"Feature is inactive.",,"Η λειτουργία είναι ανενεργή.",,"Text",,"All",,"Commerce Server",,""
"Attention is needed.",,"Απαιτείται προσοχή.",,"Text",,"All",,"Commerce Server",,""
"Phone number",,"Αριθμός τηλεφώνου",,"Text",,"All",,"Commerce Server",,""
"Send me emails about special offers",,"Να μου αποστέλλονται email σχετικά με ειδικές προσφορές",,"Text",,"All",,"Commerce Server",,""
"Participate in occasional marketing research",,"Να συμμετέχω σε περιστασιακές έρευνες αγοράς",,"Text",,"All",,"Commerce Server",,""
"Send me SMS messages about special offers",,"Να μου αποστέλλονται μηνύματα SMS σχετικά με ειδικές προσφορές",,"Text",,"All",,"Commerce Server",,""
"Recover your account",,"Ανάκτηση του λογαριασμού σας",,"Text",,"All",,"Commerce Server",,""
"Request more credit",,"Ζητήστε επιπλέον πίστωση",,"Text",,"All",,"Commerce Server",,""
"Skype Number setup steps",,"Βήματα ενεργοποίησης Αριθμού Skype",,"Text",,"All",,"Commerce Server",,""
"payment settings for Skype Number {NUMBER}",,"Ρυθμίσεις πληρωμών για τον Αριθμό Skype {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Reactivate Skype Number {NUMBER}",,"Επανενεργοποίηση Αριθμού Skype {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Skype Number {NUMBER} settings",,"Ρυθμίσεις Αριθμού Skype {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Step 1",,"Βήμα 1",,"Text",,"All",,"Commerce Server",,""
"Step 2",,"Βήμα 2",,"Text",,"All",,"Commerce Server",,""
"Step 3",,"Βήμα 3",,"Text",,"All",,"Commerce Server",,""
"Part 3 Confirmation",,"Μέρος 3 Επιβεβαίωση",,"Text",,"All",,"Commerce Server",,""
"Part 1 Country/Region",,"Μέρος 1 Χώρα/Περιοχή",,"Text",,"All",,"Commerce Server",,""
"Part 2 Area code, number, subscription",,"Μέρος 2 Κωδικός περιοχής, αριθμός, συνδρομή",,"Text",,"All",,"Commerce Server",,""
"payment settings for {PACKAGE_NAME}",,"Ρυθμίσεις πληρωμών για το πακέτο {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Reactivate {PACKAGE_NAME}",,"Επανενεργοποίηση πακέτου {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"{PACKAGE_NAME} settings",,"Ρυθμίσεις πακέτου {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Payment details for Premium offer",,"Στοιχεία πληρωμής για προσφορά Premium",,"Text",,"All",,"Commerce Server",,""
"Premium offer billing information",,"Στοιχεία τιμολόγησης προσφοράς Premium",,"Text",,"All",,"Commerce Server",,""
"To change your password, please type your old password first",,"Για να αλλάξετε τον κωδικό πρόσβασής σας, πληκτρολογήστε πρώτα τον παλιό σας κωδικό πρόσβασης",,"Text",,"All",,"Commerce Server",,""
"Try again",,"Δοκιμάστε ξανά",,"Text",,"All",,"Commerce Server",,""
"Update email now",,"Ενημέρωση του email τώρα",,"Text",,"All",,"Commerce Server",,""
"Update payment method",,"Ενημέρωση τρόπου πληρωμής",,"Text",,"All",,"Commerce Server",,""
"Updating, please wait.",,"Ενημερώνεται, παρακαλούμε περιμένετε.",,"Text",,"All",,"Commerce Server",,""
"usage",,"χρήση",,"Text",,"All",,"Commerce Server",,""
"Phone usage:",,"Χρήση τηλεφώνου:",,"Text",,"All",,"Commerce Server",,""
"SMS usage:",,"Χρήση SMS:",,"Text",,"All",,"Commerce Server",,""
"View details.",,"Προβολή λεπτομερειών.",,"Text",,"All",,"Commerce Server",,""
"Skype Wifi usage:",,"Χρήση Skype WiFi:",,"Text",,"All",,"Commerce Server",,""
"Use address {ADDRESS}",,"Να χρησιμοποιείται η διεύθυνση {ADDRESS}",,"Text",,"All",,"Commerce Server",,""
"You have Skype Premium. Manage your Premium subscription.",,"Έχετε αγοράσει το Skype Premium. Διαχειριστείτε την Premium συνδρομή σας.",,"Text",,"All",,"Commerce Server",,""
"You have {COUNT} subscription. Manage your subscription.",,"Έχετε {COUNT} συνδρομή. Διαχειριστείτε τη συνδρομή σας.",,"Text",,"All",,"Commerce Server",,""
"You have {COUNT} subscriptions. Manage your subscriptions.",,"Έχετε {COUNT} συνδρομές. Διαχειριστείτε τις συνδρομές σας.",,"Text",,"All",,"Commerce Server",,""
"Voice message check button disabled, hit space to Enable",,"Το κουμπί ελέγχου φωνητικού μηνύματος είναι απενεργοποιημένο. Πατήστε το πλήκτρο διαστήματος για ενεργοποίηση",,"Text",,"All",,"Commerce Server",,""
"Voice message check button enabled, hit space to Disable",,"Το κουμπί ελέγχου φωνητικού μηνύματος είναι ενεργοποιημένο. Πατήστε το πλήκτρο διαστήματος για απενεργοποίηση",,"Text",,"All",,"Commerce Server",,""
"Warning",,"Προειδοποίηση",,"Text",,"All",,"Commerce Server",,""
