PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Category",,"Κατηγορία",,"None",,"All",,"InfoPath",,""
"Specify the category of this file.",,"Καθορίστε την κατηγορία αυτού του αρχείου.",,"None",,"All",,"InfoPath",,""
"Upload Data Connection File",,"Αποστολή αρχείου σύνδεσης δεδομένων",,"None",,"All",,"InfoPath",,""
"Select File",,"Επιλογή αρχείου",,"None",,"All",,"InfoPath",,""
"Browse to the data connection file you intend to upload.",,"Αναζητήστε το αρχείο σύνδεσης δεδομένων που σκοπεύετε να αποστείλετε.",,"None",,"All",,"InfoPath",,""
"File name:",,"Όνομα αρχείου:",,"None",,"All",,"InfoPath",,""
"Choose a file to upload",,"Επιλέξτε ένα αρχείο για αποστολή",,"None",,"All",,"InfoPath",,""
"Overwrite the file if it already exists",,"Αντικατάσταση του αρχείου, εάν υπάρχει ήδη",,"None",,"All",,"InfoPath",,""
"u",,"u",,"None",,"All",,"InfoPath",,""
"Upload",,"Αποστολή",,"None",,"All",,"InfoPath",,""
"Allow HTTP access to this file",,"Να επιτρέπεται η πρόσβαση μέσω HTTP σε αυτό το αρχείο",,"None",,"All",,"InfoPath",,""
"Web Accessibility",,"Με δυνατότητα πρόσβασης στο Web",,"None",,"All",,"InfoPath",,""
"Select whether clients such as Microsoft InfoPath can access this file over HTTP.",,"Επιλέξτε εάν τα προγράμματα-πελάτες, όπως το Microsoft InfoPath, θα έχουν πρόσβαση σε αυτό το αρχείο μέσω HTTP.",,"None",,"All",,"InfoPath",,""
"Activate to a Site Collection",,"Ενεργοποίηση σε συλλογή τοποθεσιών",,"None",,"All",,"InfoPath",,""
"Deactivate from a Site Collection",,"Απενεργοποίηση από συλλογή τοποθεσιών",,"None",,"All",,"InfoPath",,""
"Edit Data Connection File",,"Επεξεργασία αρχείου σύνδεσης δεδομένων",,"None",,"All",,"InfoPath",,""
"View Properties",,"Προβολή ιδιοτήτων",,"None",,"All",,"InfoPath",,""
"Configure InfoPath Forms Services",,"Διαμόρφωση παραμέτρων υπηρεσιών InfoPath Forms Services",,"None",,"All",,"InfoPath",,""
"Manage Data Connection Files",,"Διαχείριση αρχείων σύνδεσης δεδομένων",,"None",,"All",,"InfoPath",,""
"Configure InfoPath Forms Services Web Service Proxy",,"Ρύθμιση παραμέτρων του διακομιστή μεσολάβησης υπηρεσίας Web των υπηρεσιών InfoPath Forms Services",,"None",,"All",,"InfoPath",,""
"Manage Form Templates",,"Διαχείριση προτύπων φόρμας",,"None",,"All",,"InfoPath",,""
"Quiesce Form Template",,"Σταδιακή μεταφορά προτύπου φόρμας εκτός σύνδεσης",,"None",,"All",,"InfoPath",,""
"Remove Data Connection File",,"Κατάργηση αρχείου σύνδεσης δεδομένων",,"None",,"All",,"InfoPath",,""
"Remove",,"Κατάργηση",,"None",,"All",,"InfoPath",,""
"Upload Form Template",,"Αποστολή προτύπου φόρμας",,"None",,"All",,"InfoPath",,""
"User Browser-enabled Form Templates",,"Πρότυπα φόρμας με ενεργοποίηση της δυνατότητας προγράμματος περιήγησης από το χρήστη",,"None",,"All",,"InfoPath",,""
"Allow users to browser-enable form templates",,"Να επιτρέπεται στους χρήστες η ενεργοποίηση της δυνατότητας προγράμματος περιήγησης των προτύπων φόρμας",,"None",,"All",,"InfoPath",,""
"Render form templates that are browser-enabled by users",,"Απόδοση προτύπων φόρμας με δυνατότητα προγράμματος περιήγησης από το χρήστη",,"None",,"All",,"InfoPath",,""
"Allow embedded SQL authentication",,"Να επιτρέπεται ο ενσωματωμένος έλεγχος ταυτότητας SQL",,"None",,"All",,"InfoPath",,""
"Forms that connect to databases may embed SQL username and password in the connection string. The connection string can be read in cleartext in the UDC file associated with the solution, or in the solution manifest. Uncheck this box to block forms from using embedded SQL credentials.",,"Οι φόρμες που συνδέονται με βάσεις δεδομένων ενδέχεται να ενσωματώνουν όνομα χρήστη και κωδικό πρόσβασης SQL στη συμβολοσειρά σύνδεσης. Η συμβολοσειρά σύνδεσης μπορεί να διαβαστεί σε απλό κείμενο στο αρχείο UDC που σχετίζεται με τη λύση ή στη διακήρυξη της λύσης. Καταργήστε την επιλογή από αυτό το πλαίσιο για να εμποδίσετε τις φόρμες να χρησιμοποιούν ενσωματωμένα πιστοποιητικά SQL.",,"None",,"All",,"InfoPath",,""
"Embedded SQL Authentication",,"Ενσωματωμένος έλεγχος ταυτότητας SQL",,"None",,"All",,"InfoPath",,""
"Allow cross-domain data access for user form templates that use connection settings in a data connection file",,"Να επιτρέπεται η πρόσβαση σε δεδομένα μεταξύ τομέων για τα πρότυπα φόρμας χρήστη που χρησιμοποιούν ρυθμίσεις σύνδεσης σε ένα αρχείο σύνδεσης δεδομένων",,"None",,"All",,"InfoPath",,""
"Form templates can contain data connections that access data from other domains. Select this check box to allow user form templates to access data from another domain.",,"Τα πρότυπα φόρμας ενδέχεται να περιέχουν συνδέσεις δεδομένων που έχουν πρόσβαση σε δεδομένα από άλλους τομείς. Επιλέξτε αυτό το πλαίσιο ελέγχου για να επιτρέψετε στα πρότυπα φόρμας χρήστη να έχουν πρόσβαση σε δεδομένα από άλλους τομείς.",,"None",,"All",,"InfoPath",,""
"Cross-Domain Access for User Form Templates",,"Πρόσβαση μεταξύ τομέων για πρότυπα φόρμας χρήστη",,"None",,"All",,"InfoPath",,""
"Allow user form templates to use authentication information contained in data connection files",,"Να επιτρέπεται στα πρότυπα φόρμας χρήστη η χρήση των πληροφοριών ελέγχου ταυτότητας που περιέχονται στα αρχεία σύνδεσης δεδομένων",,"None",,"All",,"InfoPath",,""
