PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"File name:",,"Όνομα αρχείου:",,"Text",,"All",,"Office Online Group",,""
"broken heart",,"ραγισμένη καρδιά",,"Text",,"All",,"Office Online Group",,""
"winking face",,"κλείσιμο ματιού",,"Text",,"All",,"Office Online Group",,""
"A",,"Α",,"Text",,"All",,"Office Online Group",,""
"We're opening this in {richclientfull}...",,"Άνοιγμα στο {richclientfull}...",,"Text",,"All",,"Office Online Group",,""
"New!",,"Νέα!",,"Text",,"All",,"Office Online Group",,""
"creature face",,"πρόσωπο πλάσματος",,"Text",,"All",,"Office Online Group",,""
"optical disk",,"οπτικός δίσκος",,"Text",,"All",,"Office Online Group",,""
"face without mouth",,"πρόσωπο χωρίς στόμα",,"Text",,"All",,"Office Online Group",,""
"crystal ball",,"κρυστάλλινη σφαίρα",,"Text",,"All",,"Office Online Group",,""
"crescent moon",,"ημισέληνος",,"Text",,"All",,"Office Online Group",,""
"martial arts uniform",,"στολή πολεμικών τεχνών",,"Text",,"All",,"Office Online Group",,""
"face with head-bandage",,"επίδεσμος στο κεφάλι",,"Text",,"All",,"Office Online Group",,""
"left luggage",,"φύλαξη αποσκευών",,"Text",,"All",,"Office Online Group",,""
"sunrise over mountains",,"αυγή πάνω από βουνά",,"Text",,"All",,"Office Online Group",,""
"newspaper",,"εφημερίδα",,"Text",,"All",,"Office Online Group",,""
